display_order,dataset_index,sample_id,label,IoU_AUD,IoU_IMG_QUERY,IoU_IQR,IoU_OBJ_PRIOR,IoU_OGL,IoU_EXTRA_IQR_OGL
0,0,10000130166,_,0.7799915218312844,0.7042819190498515,0.7857772642972242,0.3419621084224348,0.7098794279839238,0.760961745275772
1,27,10221582415,_,0.6668695055478592,0.6198351453324044,0.6362320140428204,0.27028889216989027,0.7596522806870666,0.71061386913693
2,55,10555704135,_,0.4367856159985322,0.44824975246083054,0.4405610098176718,0.3870029656502836,0.4836156153447148,0.4786468379897538
3,83,11101358996,_,0.7313432835820896,0.7240653946931395,0.7303727786603613,0.4016104568165596,0.7297403294389629,0.7468938032351332
4,110,13721325644,_,0.6886973833126525,0.6479205983085203,0.6734201439447518,0.08118196442237112,0.5848135713546212,0.6363688145247419
5,138,17140316339,_,0.6429910747768695,0.6252643862592079,0.6263607803024768,0.5283138783551893,0.7646835236836865,0.6827724729400138
6,166,3052033339,_,0.3944070429829104,0.4113310469606546,0.400336417157275,0.04097103310502283,0.262557141655215,0.4038604305864885
7,193,4351373013,_,0.6901762859911206,0.6919409197508813,0.6983573474202787,0.6128945465552323,0.7021825790783988,0.7027577160261146
8,221,5801923729,_,0.5993258623708633,0.6451521362131484,0.6177348366091885,0.8633140208574739,0.7514741209871151,0.6701626016260163
9,249,9761803312,_,0.6226318973477251,0.5457002787011853,0.5930202302738568,0.43318490855118263,0.7020931297074612,0.6298112938322691
