display_order,dataset_index,sample_id,label,IoU_AUD,IoU_IMG_QUERY,IoU_IQR,IoU_OBJ_PRIOR,IoU_OGL,IoU_EXTRA_IQR_OGL
0,0,-0BIyqJj9ZU_000030,people belly laughing,0.2991450254571072,0.25156693030890914,0.2997218358831711,0.4227056840815076,0.34183038184836745,0.32202140726443235
1,573,4vsI0Kwn8jY_000030,playing banjo,0.33250044618954133,0.3501550606146039,0.34917064942367165,0.4069093691920848,0.3488110840666542,0.34789915966386553
2,1146,B5XbkI3zj3U_000059,coyote howling,0.6454332360077312,0.6503456919904581,0.6491671078890563,0.5476925791935057,0.6216472617507547,0.6438246339507996
3,1719,HQAaW-5IwHo_000002,cricket chirping,0.49286872867610043,0.47934215804251906,0.49360705924725373,0.4899746934008176,0.5005477784540475,0.4960350835035444
4,2292,NvN2PoU3Pzs_000678,people slurping,0.14932796719568683,0.14897070467141726,0.15272007144798663,0.058897898683407446,0.12457912457912458,0.16344591705857203
5,2865,VAfO711tnQA_000030,playing acoustic guitar,0.4684917108594907,0.38189031505250876,0.4523781561949501,0.259192077654672,0.35599078341013823,0.4289006794228507
6,3438,asrePkOXpU0_000049,sea lion barking,0.4375860576733939,0.5018080131141218,0.47286585365853656,0.46934637404580154,0.49712307143948264,0.493667872786136
7,4011,i6G_2fsacJc_000062,warbler chirping,0.6705376711353997,0.6238944265056858,0.6464369505610991,0.6278956500563149,0.6624992798294637,0.6571216913126479
8,4584,q797zkZNePo_000206,sharpen knife,0.4134593597255042,0.5322717536272885,0.4398845892735913,0.3729229674435154,0.4349903784477229,0.44176614881439086
9,5157,zzvCPtdNxNo_000068,civil defense siren,0.3241901915790597,0.31418624891209745,0.32424669412529805,0.4307957182423834,0.3762308788010157,0.3511825594171052
