experiment,method,cIoU,AUC
VGGSS-10k,AUD_L4,0.4015122140364482,0.40737689026754553
VGGSS-10k,AUD_FINE,0.4063590538968592,0.41048856145792945
VGGSS-10k,IMG_L4,0.4063590538968592,0.4093544009305933
VGGSS-10k,IMG_FINE,0.4156649864288484,0.41356145792943005
VGGSS-10k,IQR_FINE,0.4133385032958511,0.41240791004265226
Flickr-10k,AUD_L4,0.764,0.5916000000000001
Flickr-10k,AUD_FINE,0.804,0.6116
Flickr-10k,IMG_L4,0.752,0.5890000000000001
Flickr-10k,IMG_FINE,0.78,0.6056
Flickr-10k,IQR_FINE,0.784,0.6116
VGGSS-144k,AUD_L4,0.40015509887553313,0.4127471888328809
VGGSS-144k,AUD_FINE,0.42109344707250873,0.4202210158976348
VGGSS-144k,IMG_L4,0.4069406746801086,0.416614967041489
VGGSS-144k,IMG_FINE,0.42070569988367584,0.42132609538580845
VGGSS-144k,IQR_FINE,0.42574641333850327,0.423361768127181
Flickr-144k,AUD_L4,0.804,0.6228
Flickr-144k,AUD_FINE,0.8,0.6326
Flickr-144k,IMG_L4,0.804,0.6165999999999998
Flickr-144k,IMG_FINE,0.816,0.6254
Flickr-144k,IQR_FINE,0.808,0.6359999999999999
