sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
0,10000130166,0.7799756972899652,0.7042819190498515,0.7216230579261621,0.7858076677510565,0.7897456159012856,0.7910630947330142,0.003937948150229076,0.009769918611320372,0.0013174788317286135,0.0,0.0,0.0,0.0,0.0
1,10007936344,0.643244233840354,0.7092784137994537,0.6820895100147109,0.6725950440804294,0.6607645276485229,0.6610047911647673,-0.011830516431906468,0.017520293808168885,0.0002402635162443989,0.0,0.0,0.0,0.0,0.0
2,10008553263,0.3685962111857362,0.3848758871635984,0.3767226459842318,0.38203445447087775,0.37343203146777343,0.3736069836552749,-0.00860242300310432,0.004835820282037218,0.0001749521875014648,0.0,0.0,0.0,0.0,0.0
3,10009662863,0.6527465584486593,0.6569641093184063,0.6674716866015025,0.6655182386299338,0.6605728967229517,0.6607458498658855,-0.004945341906982037,0.007826338274292466,0.00017295314293375164,0.0,0.0,0.0,0.0,0.0
4,10013411946,0.5230990753430599,0.48094597830291197,0.4803296072875198,0.49695030848464605,0.49755332389899576,0.49695833688336033,0.0006030154143497057,-0.025545751444064124,-0.0005949870156354287,0.0,0.0,0.0,0.0,0.0
5,10016382545,0.6273317650177264,0.4964880422120195,0.5934901105746768,0.6053913335572724,0.6139313899178611,0.6150022593764121,0.008540056360588744,-0.013400375099865247,0.0010708694585509493,0.0,0.0,0.0,0.0,0.0
6,10031203703,0.8400152418279306,0.8113295755082414,0.8379089675042247,0.8283055801356823,0.8406724067240673,0.841063858881444,0.01236682658838495,0.0006571648961366527,0.0003914521573766816,0.0,0.0,0.0,0.0,0.0
7,10035917404,0.681939433971851,0.638945962605301,0.6772030889181337,0.6680251662039277,0.6815122025010085,0.6819375031551315,0.013487036297080812,-0.0004272314708424485,0.0004253006541229398,0.0,0.0,0.0,0.0,0.0
8,10045181004,0.6421705522040332,0.6054505104305371,0.6145766132367294,0.6371030145376118,0.6363967156575804,0.6356247722555808,-0.0007062988800313752,-0.005773836546452804,-0.0007719434019995974,0.0,0.0,0.0,0.0,0.0
9,10060697266,0.86928011404134,0.7855379938216113,0.8075826176626976,0.8191800760087329,0.8485525874594836,0.8455676789622506,0.029372511450750705,-0.020727526581856393,-0.0029849084972329853,0.0,0.0,0.0,0.0,0.0
10,10061269855,0.6964758159998831,0.637073577847658,0.5959057976404779,0.6739031044908192,0.65051535750623,0.6553167037468138,-0.02338774698458923,-0.045960458493653045,0.004801346240583815,0.0,0.0,0.0,0.0,0.0
11,10067897816,0.3571332926665972,0.2754713601146491,0.32104780998154514,0.33872710767856373,0.34316052822357107,0.34242806699093836,0.004433420545007338,-0.013972764443026142,-0.0007324612326327085,0.0,0.0,0.0,0.0,0.0
12,10069511285,0.8027168069650958,0.7510930848003682,0.801850115804566,0.7868867975553031,0.8031316631130064,0.8032926861808576,0.016244865557703325,0.00041485614791059167,0.0001610230678511515,0.0,0.0,0.0,0.0,0.0
13,10079676496,0.7591026527932685,0.7305342219075616,0.7754373898465374,0.773411141198106,0.7616464986546833,0.7616694124107634,-0.011764642543422688,0.002543845861414762,2.291375608010071e-05,0.0,0.0,0.0,0.0,0.0
14,10080652613,0.8630861423220973,0.7438118811881188,0.8106810909644979,0.8363178259695851,0.8502837650184145,0.8482687775696417,0.013965939048829368,-0.012802377303682833,-0.0020149874487728203,0.0,0.0,0.0,0.0,0.0
15,10106776154,0.6832728927374764,0.4098365141254532,0.6380600575221842,0.5525710745508364,0.6667261373773417,0.6683875928544948,0.11415506282650523,-0.016546755360134724,0.0016614554771531287,0.0,0.0,0.0,0.0,0.0
16,10109936483,0.5154831567294006,0.5392775330396475,0.5493135525815265,0.53554786313407,0.5333399157451291,0.5346307484071177,-0.002207947388940923,0.017856759015728474,0.0012908326619885946,0.0,0.0,0.0,0.0,0.0
17,10110769444,0.6744996400287977,0.6947876241677644,0.6931849118243141,0.6999369085173501,0.6808183018037836,0.6808370237850837,-0.019118606713566577,0.0063186617749858565,1.872198130015157e-05,0.0,0.0,0.0,0.0,0.0
18,10111706074,0.6329745749493059,0.5963349539319348,0.649418421879912,0.6255997088310228,0.638261691072272,0.6381123284221131,0.012661982241249259,0.005287116122966173,-0.00014936265015896844,0.0,0.0,0.0,0.0,0.0
