sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
0,-0BIyqJj9ZU_000030,0.299209068494028,0.25156669650850494,0.2804748195764483,0.29972884655496074,0.30712496521013083,0.3071522286443743,0.007396118655170092,0.007915896716102822,2.7263434243474105e-05,0.0,0.0,0.0,0.0,0.0
1,-0UuUoXQUoI_000107,0.6284455632473254,0.500818094321463,0.5211772798742138,0.5812614051094891,0.6171157654684031,0.6169676606467871,0.035854360358913984,-0.01132979777892229,-0.0001481048216159797,0.0,0.0,0.0,0.0,0.0
2,-2-wdcN5vOw_000017,0.6180354539500095,0.5655701148937073,0.5773110668418598,0.5951922058667797,0.6023224823910147,0.6020941300898995,0.007130276524235035,-0.01571297155899476,-0.00022835230111517557,0.0,0.0,0.0,0.0,0.0
3,-23CeprtibU_000030,0.35660546925150854,0.3180734517795311,0.32986458717529904,0.34407841287312946,0.34999223562296183,0.34866307389366774,0.005913822749832376,-0.006613233628546711,-0.0013291617292940927,0.0,0.0,0.0,0.0,0.0
4,-2Dm0VjW8oM_000001,0.5905244122965642,0.5328180918297418,0.5445670469422106,0.5621723399542199,0.5725504587155963,0.571559700396534,0.010378118761376398,-0.017973953580967872,-0.000990758319062257,0.0,0.0,0.0,0.0,0.0
5,-2sOH8XovEE_000484,0.15380407338831847,0.12690531578764627,0.13899980984978133,0.14119055896782168,0.1473552652797936,0.14730775431242946,0.0061647063119719125,-0.006448808108524884,-4.751096736413385e-05,0.0,0.0,0.0,0.0,0.0
6,-3Kv4fdm7Uk_000030,0.21268510538274701,0.4332801276935355,0.34852667394235093,0.277159485399224,0.24550058786289228,0.25490656399661943,-0.03165889753633175,0.032815482480145264,0.00940597613372715,0.0,0.0,0.0,0.0,0.0
7,-4bPiXbovf0_000008,0.3683596786732314,0.49113375243876,0.4537219377707759,0.4086641823133152,0.3878021493711225,0.3954966155546346,-0.020862032942192688,0.019442470697891123,0.007694466183512105,0.0,0.0,0.0,0.0,0.0
8,-5CGQGSFGyg_000060,0.2660986547085202,0.42615760713258555,0.3687775775278106,0.3601602330662782,0.30727009113504555,0.31161056556214883,-0.05289014193123265,0.041171436426525376,0.00434047442710328,0.0,0.0,0.0,0.0,0.0
9,-5z9IXBJefc_000227,0.23364234851538357,0.272206463095834,0.2849105434904917,0.26163964990418975,0.26749934946656256,0.2665111456713323,0.005859699562372811,0.033857000951178995,-0.0009882037952302913,0.0,0.0,0.0,0.0,0.0
10,-79qo5MUYBk_000207,0.312241923730872,0.33263403263403263,0.3240508898964607,0.32220586853724986,0.31838963677927357,0.3182249194007207,-0.003816231757976296,0.00614771304840156,-0.00016471737855289215,0.0,0.0,0.0,0.0,0.0
11,-7TanrCbmME_000030,0.3091935329570458,0.3003360041354355,0.3025074764205199,0.3068509109737549,0.30780026109660574,0.3075993204391009,0.0009493501228508561,-0.0013932718604400818,-0.00020094065750486667,0.0,0.0,0.0,0.0,0.0
12,-7sg--aJdrc_000049,0.39946166157427615,0.30182654672800935,0.41154391110890154,0.38458015678456936,0.4037121839528426,0.40382507004507245,0.019132027168273225,0.004250522378566435,0.00011288609222986912,0.0,0.0,0.0,0.0,0.0
13,-7tYmeOmsRg_000058,0.12137356261208988,0.1536463603858868,0.1341175097049123,0.12910204540346146,0.1248778899381309,0.12476278262755516,-0.004224155465330559,0.003504327326041015,-0.00011510731057573498,0.0,0.0,0.0,0.0,0.0
14,-7tYmeOmsRg_000180,0.20510733543595483,0.3071050171392957,0.30456387126366485,0.281975517095821,0.28101424979044426,0.27921176797113517,-0.0009612673053767673,0.07590691435448943,-0.0018024818193090875,0.0,0.0,0.0,0.0,0.0
15,-86gl1hp1Aw_000105,0.5758606034849129,0.604832141887612,0.616547880116959,0.5927405196629213,0.5969648844185637,0.5957212660122375,0.0042243647556423625,0.0211042809336508,-0.0012436184063261413,0.0,0.0,0.0,0.0,0.0
16,-8cgbhIR_pw_000030,0.31353276353276355,0.2776282521817144,0.2905676483141272,0.2884623532901148,0.29785186157413485,0.29672245467224545,0.00938950828402002,-0.0156809019586287,-0.001129406901889396,0.0,0.0,0.0,0.0,0.0
17,-A3zsFeU_OI_000030,0.14834959518372431,0.1757566823899371,0.15976448468655682,0.1592193808882907,0.15225050647405972,0.1523923339087328,-0.006968874414230997,0.0039009112903354015,0.00014182743467308634,0.0,0.0,0.0,0.0,0.0
18,-ANxUxvGASw_000010,0.06107448662574828,0.06745616604594719,0.07136532672215336,0.06416942000716531,0.06726756801869471,0.0668824163969795,0.0030981480115293974,0.006193081392946435,-0.00038515162171520734,0.0,0.0,0.0,0.0,0.0
19,-ByoSbgzr4M_000000,0.600633985177248,0.5500123690937577,0.5470344948961633,0.6220438083602409,0.5843727726300784,0.5817421106511773,-0.037671035730162505,-0.016261212547169612,-0.00263066197890105,0.0,0.0,0.0,0.0,0.0
20,-CZ1LIc8aos_000020,0.3108935921952484,0.3667368613806995,0.375871224692997,0.35919767748746373,0.3482802547770701,0.3458176827506501,-0.010917422710393643,0.03738666258182166,-0.0024625720264199735,0.0,0.0,0.0,0.0,0.0
21,-Cr0WQoFQQs_000045,0.2986236618935076,0.29860982391102875,0.3161302982731554,0.29794710560384685,0.3056780987619183,0.3055186800682723,0.007730993158071464,0.0070544368684107295,-0.00015941869364599626,0.0,0.0,0.0,0.0,0.0
22,-Cv3gOXEoxA_000040,0.3475189426308893,0.35215752534442424,0.35231337944192703,0.35997781338592383,0.3525584666783893,0.3523558677202224,-0.007419346707534524,0.005039524047500021,-0.00020259895816687745,0.0,0.0,0.0,0.0,0.0
