sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IMG_VALUE,IoU_IMG_VALUE_RES,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_VALUE,IoU_IQR_VALUE_RES,delta_IMG_VALUE_vs_IMG_FINE,delta_IMG_VALUE_RES_vs_IMG_FINE,delta_IQR_VALUE_vs_IQR_FINE,delta_IQR_VALUE_RES_vs_IQR_FINE,delta_IQR_VALUE_vs_AUD_FINE,delta_IQR_VALUE_RES_vs_AUD_FINE,IMG_FINE_vs_IMG_VALUE_pixel_pearson,IMG_FINE_vs_IMG_VALUE_pixel_cosine,IMG_FINE_vs_IMG_VALUE_mean_absolute_difference,IMG_FINE_vs_IMG_VALUE_RES_pixel_pearson,IMG_FINE_vs_IMG_VALUE_RES_pixel_cosine,IMG_FINE_vs_IMG_VALUE_RES_mean_absolute_difference
0,10000130166,0.7799756972899652,0.7042819190498515,0.7216230579261621,0.5574387389255978,0.725458636747195,0.7858076677510565,0.7897456159012856,0.7824858757062146,0.7912785774767146,-0.1641843190005643,0.0038355788210329145,-0.007259740195070918,0.001532961575429037,0.0025101784162494534,0.011302880186749409,0.514437995691608,0.9335539108747818,0.16576086114314312,0.9999664662187651,0.9999861623432369,0.0035763114691868786
1,10007936344,0.643244233840354,0.7092784137994537,0.6820895100147109,0.5565858297669996,0.6810140176350893,0.6725950440804294,0.6607645276485229,0.6441100128470675,0.6589382536214291,-0.1255036802477113,-0.0010754923796215676,-0.01665451480145541,-0.0018262740270937883,0.0008657790067134741,0.015694019781075097,0.24024259076479906,0.9515009079226051,0.1789873588894533,0.9999287819642414,0.9999927475158756,0.0025127040255269123
2,10008553263,0.3685962111857362,0.3848758871635984,0.3767226459842318,0.22798408091205602,0.3781666020421352,0.38203445447087775,0.37343203146777343,0.3688536953242836,0.37342399553917166,-0.14873856507217575,0.0014439560579034283,-0.004578336143489847,-8.035928601768383e-06,0.0002574841385473703,0.004827784353435449,0.2162308002064614,0.9363549919806422,0.2008419750393659,0.9991885577830406,0.9999468740698692,0.006509968951112156
3,10009662863,0.6527465584486593,0.6569641093184063,0.6674716866015025,0.5127255256470231,0.6678938214870578,0.6655182386299338,0.6605728967229517,0.653068666658563,0.6599923557769366,-0.15474616095447935,0.0004221348855553142,-0.007504230064388717,-0.0005805409460151179,0.00032210820990374867,0.007245797328277348,0.5911124610157429,0.9745527358236199,0.15304151711057548,0.9999836300100365,0.9999984227458205,0.001087324742133326
4,10013411946,0.5230990753430599,0.48094597830291197,0.4803296072875198,0.08008235610061767,0.4801519468186135,0.49695030848464605,0.49755332389899576,0.5218173328029608,0.5009649377487063,-0.4002472511869021,-0.00017766046890627107,0.024264008903965073,0.0034116138497105597,-0.0012817425400990512,-0.022134137594353565,0.3013462511827416,0.9293068463679461,0.20365517326333138,0.9996253528102458,0.9999517788901453,0.005539638671772495
5,10016382545,0.6273317650177264,0.4964880422120195,0.5934901105746768,0.41647493110161565,0.5955122803732484,0.6053913335572724,0.6139313899178611,0.6258711232949103,0.6157809723792602,-0.17701517947306117,0.002022169798571616,0.011939733377049233,0.0018495824613991019,-0.001460641722816014,-0.011550792638466145,0.7087091929438698,0.9805705966656555,0.12622102165573373,0.998755818903965,0.9999127873985727,0.007358095191391942
6,10031203703,0.8400152418279306,0.8113295755082414,0.8379089675042247,0.08573454263317014,0.8378984684410226,0.8283055801356823,0.8406724067240673,0.8402008545845467,0.8408445318474816,-0.7521744248710546,-1.0499063202162873e-05,-0.000471552139520548,0.00017212512341435726,0.00018561275661610477,0.00082929001955101,-0.3617177206768196,0.7830086587200474,0.41578149064067316,0.9999864172163534,0.9999986478698194,0.001190637849233832
7,10035917404,0.681939433971851,0.638945962605301,0.6772030889181337,0.027156894503833278,0.6778045329295236,0.6680251662039277,0.6815122025010085,0.6816276765983388,0.6819948513452122,-0.6500461944143004,0.00060144401138984,0.00011547409733025926,0.00048264884420368137,-0.00031175737351218924,5.541737336123287e-05,-0.5630202848281182,0.8459603347982817,0.371479366623884,0.9999006058171122,0.999992748151371,0.00236209231950084
8,10045181004,0.6421705522040332,0.6054505104305371,0.6145766132367294,0.04055205912917576,0.6132485287608807,0.6371030145376118,0.6363967156575804,0.6410473362767872,0.6367255731977907,-0.5740245541075536,-0.0013280844758487564,0.004650620619206847,0.00032885754021028113,-0.0011232159272459574,-0.005444979006242523,-0.5296615401379542,0.8094247542078844,0.3148394219777442,0.9999581288587599,0.9999893474422126,0.0038882377974922104
9,10060697266,0.86928011404134,0.7855379938216113,0.8075826176626976,0.4219328357297304,0.8139306683825304,0.8191800760087329,0.8485525874594836,0.8696669353946349,0.8547150259067358,-0.3856497819329672,0.0063480507198327984,0.021114347935151323,0.006162438447252172,0.0003868213532949305,-0.01456508813460422,-0.024071270570204997,0.9229704821670488,0.21549333024591175,0.999961951325063,0.9999866573593295,0.0035072710529646532
