sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IMG_VALUE,IoU_IMG_VALUE_RES,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_VALUE,IoU_IQR_VALUE_RES,delta_IMG_VALUE_vs_IMG_FINE,delta_IMG_VALUE_RES_vs_IMG_FINE,delta_IQR_VALUE_vs_IQR_FINE,delta_IQR_VALUE_RES_vs_IQR_FINE,delta_IQR_VALUE_vs_AUD_FINE,delta_IQR_VALUE_RES_vs_AUD_FINE,IMG_FINE_vs_IMG_VALUE_pixel_pearson,IMG_FINE_vs_IMG_VALUE_pixel_cosine,IMG_FINE_vs_IMG_VALUE_mean_absolute_difference,IMG_FINE_vs_IMG_VALUE_RES_pixel_pearson,IMG_FINE_vs_IMG_VALUE_RES_pixel_cosine,IMG_FINE_vs_IMG_VALUE_RES_mean_absolute_difference
0,-0BIyqJj9ZU_000030,0.299209068494028,0.25156669650850494,0.2804748195764483,0.0,0.2829270192382584,0.29972884655496074,0.30712496521013083,0.29920251096947764,0.30297083305136363,-0.2804748195764483,0.002452199661810095,-0.007922454240653187,-0.004154132158767199,-6.557524550365734e-06,0.003761764557335623,0.10624111370734385,0.8423004326027143,0.2627705499316335,0.9995616579034922,0.9997637251759149,0.011528643802657721
1,-0UuUoXQUoI_000107,0.6284455632473254,0.500818094321463,0.5211772798742138,0.0020550291129124328,0.5152321083172147,0.5812614051094891,0.6171157654684031,0.6288355130784709,0.6200108689088824,-0.5191222507613014,-0.00594517155699914,0.011719747610067777,0.002895103440479274,0.0003899498311454863,-0.008434694338443016,-0.30171399121250597,0.741520013502317,0.3238267850216432,0.9999617507930186,0.9999790187867773,0.004300352917396117
2,-2-wdcN5vOw_000017,0.6180354539500095,0.5655701148937073,0.5773110668418598,0.06715585307243392,0.5753569763993052,0.5951922058667797,0.6023224823910147,0.6174096767377985,0.6035230180380216,-0.510155213769426,-0.001954090442554679,0.015087194346783739,0.0012005356470068396,-0.0006257772122110206,-0.01451243591198792,-0.35065538827574827,0.7771354115659397,0.3840353390152043,0.999924937730727,0.9999912863531938,0.002587684575945617
3,-23CeprtibU_000030,0.35660546925150854,0.3180734517795311,0.32986458717529904,0.1131218924678052,0.33168407549935863,0.34407841287312946,0.34999223562296183,0.35643538951041775,0.3513869858586903,-0.21674269470749385,0.0018194883240595927,0.006443153887455921,0.0013947502357284924,-0.0001700797410907895,-0.005218483392818218,0.19479457803065353,0.9267677074908476,0.2226771187298508,0.9996447460392673,0.9999653701672329,0.0062758738842052025
4,-2Dm0VjW8oM_000001,0.5905244122965642,0.5328180918297418,0.5445670469422106,0.3950418297643718,0.5427899335374505,0.5621723399542199,0.5725504587155963,0.5897055631917818,0.5742617732079476,-0.1495252171778388,-0.0017771134047600556,0.017155104476185512,0.0017113144923512902,-0.0008188491047823598,-0.01626263908861658,0.815474015541177,0.9632013531937813,0.12295650973455287,0.9999837188849805,0.9999964747161814,0.0012672295300273724
5,-2sOH8XovEE_000484,0.15380407338831847,0.12690531578764627,0.13899980984978133,0.0,0.13796617846897177,0.14119055896782168,0.1473552652797936,0.15381701876946385,0.1476827346559457,-0.13899980984978133,-0.0010336313808095576,0.006461753489670263,0.00032746937615210636,1.2945381145379464e-05,-0.0061213387323727775,-0.32051754128386983,0.7581216033004409,0.36737904716714004,0.9999388988379331,0.999989201030891,0.0027531860451032878
6,-3Kv4fdm7Uk_000030,0.21268510538274701,0.4332801276935355,0.34852667394235093,0.20037535439044843,0.32805607589582453,0.277159485399224,0.24550058786289228,0.21292701102090442,0.23802007979306414,-0.1481513195519025,-0.0204705980465264,-0.03257357684198786,-0.00748050806982814,0.00024190563815740251,0.025334974410317124,0.5987824981454476,0.9514742201386513,0.16587441092398525,0.9998331308649411,0.9999562657109192,0.00834803983566701
7,-4bPiXbovf0_000008,0.3683596786732314,0.49113375243876,0.4537219377707759,0.5909272240268992,0.4714508069140657,0.4086641823133152,0.3878021493711225,0.3695687497968867,0.38911393266841404,0.13720528625612333,0.017728869143289805,-0.01823339957423581,0.0013117832972915355,0.0012090711236553142,0.02075425399518266,0.7451876754621063,0.9424094226252875,0.18045556387201425,0.9987285362927297,0.9997973358747738,0.011619676357521971
8,-5CGQGSFGyg_000060,0.2660986547085202,0.42615760713258555,0.3687775775278106,0.1926152978895818,0.37013473053892215,0.3601602330662782,0.30727009113504555,0.2680095749966126,0.3031417624521073,-0.1761622796382288,0.001357153011111556,-0.039260516138432955,-0.004128328682938276,0.0019109202880924214,0.0370431077435871,0.21940926512344036,0.9010611687568876,0.22079777274608872,0.9999109470371338,0.9999883142584034,0.002034571472054314
9,-5z9IXBJefc_000227,0.23364234851538357,0.272206463095834,0.2849105434904917,0.19249846473617083,0.28517686692869176,0.26163964990418975,0.26749934946656256,0.23466666666666666,0.2647603373791401,-0.09241207875432089,0.00026632343820004456,-0.0328326827998959,-0.0027390120874224433,0.0010243181512830934,0.03111798886375655,0.2131102897174171,0.8557763951744658,0.23662146035350165,0.9999860657586118,0.9999909120681784,0.002451822917720682
