experiment,dataset,split,checkpoint,method,native_resolution,tau_aff,alpha,cIoU,AUC,mean_sample_cIoU,num_samples,delta_cIoU_vs_AUD,delta_AUC_vs_AUD
vggss_10k,vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_AFFINITY,14x14,0.2,,0.00038774718883288094,0.07616324156649865,0.06667565228524427,5158,-0.4011244668476153,-0.33121364870104686
vggss_10k,vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.75,0.01609150833656456,0.16045948041876698,0.15605022569864413,5158,-0.3854207056998836,-0.24691740984877855
vggss_10k,vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.75,0.11070182241178751,0.24250678557580457,0.23989892867986798,5158,-0.2908103916246607,-0.16487010469174096
vggss_144k,vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_AFFINITY,14x14,0.2,,0.00019387359441644047,0.07286739046141917,0.06285616541986236,5158,-0.3999612252811167,-0.33987979837146176
vggss_144k,vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.75,0.005622334238076774,0.1282376890267546,0.12223882773265263,5158,-0.39453276463745635,-0.28450949980612633
vggss_144k,vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.75,0.06863125242341993,0.20287902287708415,0.1992335405661012,5158,-0.3315238464521132,-0.20986816595579677
flickr_10k,flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_AFFINITY,14x14,0.2,,0.0,0.1182,0.11702909000696346,250,-0.764,-0.47340000000000015
flickr_10k,flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.75,0.112,0.27860000000000007,0.27774030303982283,250,-0.652,-0.31300000000000006
flickr_10k,flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.75,0.332,0.3976,0.3982884703144506,250,-0.432,-0.19400000000000012
flickr_144k,flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_AFFINITY,14x14,0.2,,0.0,0.10120000000000001,0.09987617008737129,250,-0.804,-0.5216000000000001
flickr_144k,flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.75,0.04,0.19400000000000003,0.19364472081752665,250,-0.764,-0.42879999999999996
flickr_144k,flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.75,0.224,0.3268,0.3266857395680872,250,-0.5800000000000001,-0.29600000000000004
