dataset,split,dataset_index,sample_id,selection_rule,AUD_L4_sample_IoU,L3_NATIVE_REFINED_sample_IoU,delta_sample_IoU
flickr,144k,0,10000130166,10 evenly spaced indices in sorted test split,0.7652128412693527,0.005471418639097972,-0.7597414226302548
flickr,144k,27,10221582415,10 evenly spaced indices in sorted test split,0.6476474550178004,0.00016873128137347263,-0.6474787237364269
flickr,144k,55,10555704135,10 evenly spaced indices in sorted test split,0.4462164518941963,0.006275494195167869,-0.4399409576990284
flickr,144k,83,11101358996,10 evenly spaced indices in sorted test split,0.704062135097838,0.007958664944372681,-0.6961034701534653
flickr,144k,110,13721325644,10 evenly spaced indices in sorted test split,0.6325438509562977,0.08690985204930497,-0.5456339989069927
flickr,144k,138,17140316339,10 evenly spaced indices in sorted test split,0.6835323946357098,0.0004996025888497785,-0.6830327920468601
flickr,144k,166,3052033339,10 evenly spaced indices in sorted test split,0.41579996178309175,0.0,-0.41579996178309175
flickr,144k,193,4351373013,10 evenly spaced indices in sorted test split,0.6205995534229655,0.025256483949068993,-0.5953430694738965
flickr,144k,221,5801923729,10 evenly spaced indices in sorted test split,0.5683855557116763,0.028040540540540542,-0.5403450151711358
flickr,144k,249,9761803312,10 evenly spaced indices in sorted test split,0.6179450772854884,0.00970298833819242,-0.608242088947296
