dataset,split,checkpoint,method,native_resolution,tau_aff,alpha,cIoU,AUC,mean_sample_cIoU,num_samples,delta_cIoU_vs_AUD,delta_AUC_vs_AUD
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,AUD_L4,7x7,,,0.4015122140364482,0.40737689026754553,0.40747255557495266,5158,0.0,0.0
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_AFFINITY,14x14,0.05,,0.0,0.027714230321830166,0.010536181483753997,5158,-0.4015122140364482,-0.37966265994571535
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.25,0.0,0.027772392400155096,0.010621163705437633,5158,-0.4015122140364482,-0.3796044978673904
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.25,0.00019387359441644047,0.046180690189996126,0.032399670710134845,5158,-0.4013183404420318,-0.3611962000775494
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.5,0.0,0.02791779759596743,0.010846300747888178,5158,-0.4015122140364482,-0.3794590926715781
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.5,0.00019387359441644047,0.04746994959286545,0.034115818402621984,5158,-0.4013183404420318,-0.3599069406746801
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.75,0.0,0.028567274137262507,0.012077019797485869,5158,-0.4015122140364482,-0.378809616130283
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.75,0.00038774718883288094,0.055021326095385806,0.04276911432550214,5158,-0.4011244668476153,-0.35235556417215974
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_AFFINITY,14x14,0.1,,0.0,0.04096549050019387,0.02788848086303754,5158,-0.4015122140364482,-0.36641139976735165
vggss,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_10k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.25,0.0,0.04175067855758046,0.028857696336075322,5158,-0.4015122140364482,-0.36562621170996507
