dataset,slot_level,alpha_aud,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,L3,0.5,AUD_SLOT_L3_A0.5,0.2055060100814269,0.33247382706475387,0.3321186288938537,5158
vggss_144k,L3,0.6,AUD_SLOT_L3_A0.6,0.27801473439317564,0.3672547499030633,0.3672694693003908,5158
vggss_144k,L3,0.7,AUD_SLOT_L3_A0.7,0.3644823575029081,0.3997673516867003,0.399673596115009,5158
vggss_144k,L3,0.8,AUD_SLOT_L3_A0.8,0.4051958123303606,0.41570376114773167,0.41577590553582316,5158
vggss_144k,L3,0.9,AUD_SLOT_L3_A0.9,0.41876696393951146,0.42146180690189994,0.4212864092371869,5158
vggss_144k,L4,0.5,AUD_SLOT_L4_A0.5,0.35478867778208606,0.40582590151221415,0.40559106578074816,5158
vggss_144k,L4,0.6,AUD_SLOT_L4_A0.6,0.38580845288871657,0.4157231485071734,0.4151921720889653,5158
vggss_144k,L4,0.7,AUD_SLOT_L4_A0.7,0.4063590538968592,0.42238270647537807,0.4221361329765589,5158
vggss_144k,L4,0.8,AUD_SLOT_L4_A0.8,0.4183792167506786,0.42572702597906165,0.425556604917395,5158
vggss_144k,L4,0.9,AUD_SLOT_L4_A0.9,0.42458317177200466,0.42604691740984885,0.4256718320978508,5158
flickr_144k,L3,0.5,AUD_SLOT_L3_A0.5,0.648,0.5647999999999999,0.565327927613944,250
flickr_144k,L3,0.6,AUD_SLOT_L3_A0.6,0.724,0.5982000000000001,0.5977197944588378,250
flickr_144k,L3,0.7,AUD_SLOT_L3_A0.7,0.768,0.6258,0.6260074089369011,250
flickr_144k,L3,0.8,AUD_SLOT_L3_A0.8,0.808,0.6418,0.6416004639069356,250
flickr_144k,L3,0.9,AUD_SLOT_L3_A0.9,0.812,0.6422000000000001,0.6418688755380141,250
flickr_144k,L4,0.5,AUD_SLOT_L4_A0.5,0.828,0.6360000000000001,0.6355985257483515,250
flickr_144k,L4,0.6,AUD_SLOT_L4_A0.6,0.836,0.6396000000000001,0.6401379246762732,250
flickr_144k,L4,0.7,AUD_SLOT_L4_A0.7,0.832,0.6422000000000001,0.6424238525629051,250
flickr_144k,L4,0.8,AUD_SLOT_L4_A0.8,0.82,0.6424000000000001,0.6423627772176176,250
flickr_144k,L4,0.9,AUD_SLOT_L4_A0.9,0.812,0.6398,0.6408594889838648,250
