dataset,map_pair,statistic,mean,std,median,valid_samples,total_samples
vggss_144k,AUD_FINE vs SLOT_L3,pearson,-0.10575759858978233,0.308393622951298,-0.12566320652267032,5158,5158
vggss_144k,AUD_FINE vs SLOT_L3,spearman,-0.1254497131703708,0.29281552455742543,-0.14120810689413096,5158,5158
vggss_144k,AUD_FINE vs SLOT_L3,js,0.03822312162705795,0.01485694800747979,0.03584973658424859,5158,5158
vggss_144k,AUD_FINE vs SLOT_L4,pearson,0.9075054437790675,0.04536410231534638,0.9156343069733259,5158,5158
vggss_144k,AUD_FINE vs SLOT_L4,spearman,0.9503866098776214,0.04295640007650402,0.9632330678469463,5158,5158
vggss_144k,AUD_FINE vs SLOT_L4,js,0.035703284948492266,0.019130377584378435,0.032873976810543146,5158,5158
vggss_144k,AUD_FINE vs OBJ_PRIOR,pearson,0.8051915968036087,0.16276882812009427,0.853940701826033,5158,5158
vggss_144k,AUD_FINE vs OBJ_PRIOR,spearman,0.8143475029321128,0.1695601847959433,0.8664624815580256,5158,5158
vggss_144k,AUD_FINE vs OBJ_PRIOR,js,0.023126553402466252,0.012669333187881326,0.020501900174313976,5158,5158
vggss_144k,SLOT_L3 vs OBJ_PRIOR,pearson,-0.14164703245199506,0.30697380928173806,-0.1654899584434799,5158,5158
vggss_144k,SLOT_L3 vs OBJ_PRIOR,spearman,-0.14910725276624043,0.2915832081460108,-0.17646964018100042,5158,5158
vggss_144k,SLOT_L3 vs OBJ_PRIOR,js,0.07712129546175746,0.027135972939428217,0.07384777509295497,5158,5158
vggss_144k,SLOT_L4 vs OBJ_PRIOR,pearson,0.7544329147778364,0.20171205738836914,0.8159129960493158,5158,5158
vggss_144k,SLOT_L4 vs OBJ_PRIOR,spearman,0.7765460135913221,0.18616048029337504,0.8355965565880896,5158,5158
vggss_144k,SLOT_L4 vs OBJ_PRIOR,js,0.03739587402831738,0.02388763273596446,0.03165862063225145,5158,5158
flickr_144k,AUD_FINE vs SLOT_L3,pearson,0.17703457610032683,0.26909736822455294,0.20631632628597374,250,250
flickr_144k,AUD_FINE vs SLOT_L3,spearman,0.16242848220203063,0.2559153328515655,0.1922727831500613,250,250
flickr_144k,AUD_FINE vs SLOT_L3,js,0.038453433771510316,0.015613241819154794,0.03608589731266127,250,250
flickr_144k,AUD_FINE vs SLOT_L4,pearson,0.9338637767091272,0.03864724329542428,0.9447729352436782,250,250
flickr_144k,AUD_FINE vs SLOT_L4,spearman,0.9376919964494391,0.05341481880251123,0.9552832776385297,250,250
flickr_144k,AUD_FINE vs SLOT_L4,js,0.015223573989807598,0.011417141941787142,0.01223243535905994,250,250
flickr_144k,AUD_FINE vs OBJ_PRIOR,pearson,0.7345405440982081,0.1749763958357022,0.7856073599623781,250,250
flickr_144k,AUD_FINE vs OBJ_PRIOR,spearman,0.7637672403356963,0.18864239270795474,0.8170417592842543,250,250
flickr_144k,AUD_FINE vs OBJ_PRIOR,js,0.02790768318845134,0.012363424606602941,0.025974935870635353,250,250
flickr_144k,SLOT_L3 vs OBJ_PRIOR,pearson,0.17122276005255332,0.26881348114387593,0.2006404704188487,250,250
flickr_144k,SLOT_L3 vs OBJ_PRIOR,spearman,0.1551081015218877,0.2649802863024943,0.18555774112936121,250,250
flickr_144k,SLOT_L3 vs OBJ_PRIOR,js,0.07013935422191661,0.026569796325822747,0.06411830418516105,250,250
flickr_144k,SLOT_L4 vs OBJ_PRIOR,pearson,0.6947804423500257,0.21360632859614692,0.7461759417524692,250,250
flickr_144k,SLOT_L4 vs OBJ_PRIOR,spearman,0.7111849053446231,0.21509566999118518,0.7679195936277141,250,250
flickr_144k,SLOT_L4 vs OBJ_PRIOR,js,0.029102731535900213,0.016191006528675774,0.02614181047542803,250,250
