slot_level,alpha_aud,method,cIoU,AUC,mean_sample_cIoU,num_samples
L3,0.5,AUD_SLOT_L3_A0.5,0.648,0.5647999999999999,0.565327927613944,250
L3,0.6,AUD_SLOT_L3_A0.6,0.724,0.5982000000000001,0.5977197944588378,250
L3,0.7,AUD_SLOT_L3_A0.7,0.768,0.6258,0.6260074089369011,250
L3,0.8,AUD_SLOT_L3_A0.8,0.808,0.6418,0.6416004639069356,250
L3,0.9,AUD_SLOT_L3_A0.9,0.812,0.6422000000000001,0.6418688755380141,250
L4,0.5,AUD_SLOT_L4_A0.5,0.828,0.6360000000000001,0.6355985257483515,250
L4,0.6,AUD_SLOT_L4_A0.6,0.836,0.6396000000000001,0.6401379246762732,250
L4,0.7,AUD_SLOT_L4_A0.7,0.832,0.6422000000000001,0.6424238525629051,250
L4,0.8,AUD_SLOT_L4_A0.8,0.82,0.6424000000000001,0.6423627772176176,250
L4,0.9,AUD_SLOT_L4_A0.9,0.812,0.6398,0.6408594889838648,250
