map_pair,statistic,mean,std,median,valid_samples,total_samples
AUD_FINE vs SLOT_L3,pearson,0.17703457610032683,0.26909736822455294,0.20631632628597374,250,250
AUD_FINE vs SLOT_L3,spearman,0.16242848220203063,0.2559153328515655,0.1922727831500613,250,250
AUD_FINE vs SLOT_L3,js,0.038453433771510316,0.015613241819154794,0.03608589731266127,250,250
AUD_FINE vs SLOT_L4,pearson,0.9338637767091272,0.03864724329542428,0.9447729352436782,250,250
AUD_FINE vs SLOT_L4,spearman,0.9376919964494391,0.05341481880251123,0.9552832776385297,250,250
AUD_FINE vs SLOT_L4,js,0.015223573989807598,0.011417141941787142,0.01223243535905994,250,250
AUD_FINE vs OBJ_PRIOR,pearson,0.7345405440982081,0.1749763958357022,0.7856073599623781,250,250
AUD_FINE vs OBJ_PRIOR,spearman,0.7637672403356963,0.18864239270795474,0.8170417592842543,250,250
AUD_FINE vs OBJ_PRIOR,js,0.02790768318845134,0.012363424606602941,0.025974935870635353,250,250
SLOT_L3 vs OBJ_PRIOR,pearson,0.17122276005255332,0.26881348114387593,0.2006404704188487,250,250
SLOT_L3 vs OBJ_PRIOR,spearman,0.1551081015218877,0.2649802863024943,0.18555774112936121,250,250
SLOT_L3 vs OBJ_PRIOR,js,0.07013935422191661,0.026569796325822747,0.06411830418516105,250,250
SLOT_L4 vs OBJ_PRIOR,pearson,0.6947804423500257,0.21360632859614692,0.7461759417524692,250,250
SLOT_L4 vs OBJ_PRIOR,spearman,0.7111849053446231,0.21509566999118518,0.7679195936277141,250,250
SLOT_L4 vs OBJ_PRIOR,js,0.029102731535900213,0.016191006528675774,0.02614181047542803,250,250
