map_pair,statistic,mean,std,median,valid_samples,total_samples
AUD_FINE vs SLOT_L3,pearson,-0.10575759858978233,0.308393622951298,-0.12566320652267032,5158,5158
AUD_FINE vs SLOT_L3,spearman,-0.1254497131703708,0.29281552455742543,-0.14120810689413096,5158,5158
AUD_FINE vs SLOT_L3,js,0.03822312162705795,0.01485694800747979,0.03584973658424859,5158,5158
AUD_FINE vs SLOT_L4,pearson,0.9075054437790675,0.04536410231534638,0.9156343069733259,5158,5158
AUD_FINE vs SLOT_L4,spearman,0.9503866098776214,0.04295640007650402,0.9632330678469463,5158,5158
AUD_FINE vs SLOT_L4,js,0.035703284948492266,0.019130377584378435,0.032873976810543146,5158,5158
AUD_FINE vs OBJ_PRIOR,pearson,0.8051915968036087,0.16276882812009427,0.853940701826033,5158,5158
AUD_FINE vs OBJ_PRIOR,spearman,0.8143475029321128,0.1695601847959433,0.8664624815580256,5158,5158
AUD_FINE vs OBJ_PRIOR,js,0.023126553402466252,0.012669333187881326,0.020501900174313976,5158,5158
SLOT_L3 vs OBJ_PRIOR,pearson,-0.14164703245199506,0.30697380928173806,-0.1654899584434799,5158,5158
SLOT_L3 vs OBJ_PRIOR,spearman,-0.14910725276624043,0.2915832081460108,-0.17646964018100042,5158,5158
SLOT_L3 vs OBJ_PRIOR,js,0.07712129546175746,0.027135972939428217,0.07384777509295497,5158,5158
SLOT_L4 vs OBJ_PRIOR,pearson,0.7544329147778364,0.20171205738836914,0.8159129960493158,5158,5158
SLOT_L4 vs OBJ_PRIOR,spearman,0.7765460135913221,0.18616048029337504,0.8355965565880896,5158,5158
SLOT_L4 vs OBJ_PRIOR,js,0.03739587402831738,0.02388763273596446,0.03165862063225145,5158,5158
