dataset,outcome,feature,count,mean,median,std
vggss_144k,Rescue,semantic_margin,355,0.027010883032803384,0.01862923800945282,0.02615777632158557
vggss_144k,Rescue,ownership_confidence,355,0.5368221744685105,0.548943042755127,0.12806913263416425
vggss_144k,Rescue,eval_soft_containment,355,12288.436178202024,11872.6240234375,3421.7325405127954
vggss_144k,Rescue,eval_seed_top10,355,0.8393565317274819,0.8479681015014648,0.06715495647354723
vggss_144k,Rescue,eval_seed_top20,355,0.7433350018212493,0.7524294257164001,0.08977129470498796
vggss_144k,Rescue,raw_seed_top10,355,0.37532187160891545,0.35720306634902954,0.17137770795117654
vggss_144k,Rescue,raw_seed_top20,355,0.33411395857241794,0.3209841847419739,0.155310723090544
vggss_144k,Rescue,centroid_distance,355,0.04019275043985059,0.03323270817290709,0.026675179320995834
vggss_144k,Rescue,js_divergence,355,0.04066615407616956,0.03960662196686546,0.01860771538879402
vggss_144k,Rescue,extent_ratio,355,0.6650440125120791,0.6596426519938325,0.10012169629495654
vggss_144k,Hurt,semantic_margin,567,0.028085165193084318,0.021944433450698853,0.02399140204409476
vggss_144k,Hurt,ownership_confidence,567,0.5414802857807705,0.5436750650405884,0.12380989762577452
vggss_144k,Hurt,eval_soft_containment,567,11561.127713534777,11296.7958984375,2960.130640695536
vggss_144k,Hurt,eval_seed_top10,567,0.8180951298439524,0.8248444199562073,0.07092489446351326
vggss_144k,Hurt,eval_seed_top20,567,0.7166748854218337,0.7167003750801086,0.08895594163224337
vggss_144k,Hurt,raw_seed_top10,567,0.37589412840244213,0.3578992187976837,0.1760950373338337
vggss_144k,Hurt,raw_seed_top20,567,0.3317305401979405,0.3130701780319214,0.15785161589610455
vggss_144k,Hurt,centroid_distance,567,0.043458287281594773,0.04065704237189362,0.02308245652882828
vggss_144k,Hurt,js_divergence,567,0.041499934698778676,0.039560179452434355,0.020088777961453877
vggss_144k,Hurt,extent_ratio,567,0.6677209907919377,0.6622174258775418,0.1119435645781255
vggss_144k,Neutral,semantic_margin,4236,0.027339416389929382,0.021018927916884422,0.023884070288419237
vggss_144k,Neutral,ownership_confidence,4236,0.5036539461699379,0.5068829655647278,0.13723324185708352
vggss_144k,Neutral,eval_soft_containment,4236,13298.349007668643,12964.35791015625,3756.3965079798854
vggss_144k,Neutral,eval_seed_top10,4236,0.8352757944981369,0.8439058661460876,0.07110348965050382
vggss_144k,Neutral,eval_seed_top20,4236,0.7515241585186453,0.759712427854538,0.08744556406041804
vggss_144k,Neutral,raw_seed_top10,4236,0.35949224329881574,0.3380867689847946,0.1673704361943156
vggss_144k,Neutral,raw_seed_top20,4236,0.32498106243470515,0.302654504776001,0.152817584203165
vggss_144k,Neutral,centroid_distance,4236,0.037108951256491766,0.032218703305100405,0.023840443580862798
vggss_144k,Neutral,js_divergence,4236,0.03451147216550412,0.031496426821744035,0.01883111742780904
vggss_144k,Neutral,extent_ratio,4236,0.7033829931296077,0.7071845144786024,0.11112928814878688
flickr_144k,Rescue,semantic_margin,11,0.02173348655924201,0.012296393513679504,0.019470934232937446
flickr_144k,Rescue,ownership_confidence,11,0.29823691736568103,0.2958980202674866,0.06361110868292046
flickr_144k,Rescue,eval_soft_containment,11,19124.339222301136,17450.54296875,4857.585722816338
flickr_144k,Rescue,eval_seed_top10,11,0.9014482714913108,0.90234375,0.04253516126591892
flickr_144k,Rescue,eval_seed_top20,11,0.8513420495119962,0.8536337614059448,0.06133139661800217
flickr_144k,Rescue,raw_seed_top10,11,0.7668538689613342,0.7662721872329712,0.0797295872194837
flickr_144k,Rescue,raw_seed_top20,11,0.7238482995466753,0.7179754376411438,0.09231183449639484
flickr_144k,Rescue,centroid_distance,11,0.029908931271000125,0.03231778296105904,0.007823178546862009
flickr_144k,Rescue,js_divergence,11,0.021196523068056305,0.019322790659205398,0.010747584500950097
