feature,vggss_144k_AUROC,flickr_144k_AUROC
semantic_margin,0.4704275032913531,0.21818181818181817
ownership_confidence,0.4857093176342002,0.7454545454545455
eval_soft_containment,0.5547606627418834,0.6363636363636364
eval_seed_top10,0.5935762724495118,0.6909090909090909
eval_seed_top20,0.5931341133219068,0.7454545454545455
raw_seed_top10,0.5021934073577267,0.8
raw_seed_top20,0.507717912412748,0.7818181818181817
centroid_distance,0.5610303798097226,0.6909090909090909
js_divergence,0.5078172740144571,0.509090909090909
extent_ratio,0.49554114812330774,0.43636363636363634
