dataset,outcome,feature,count,mean,median,std
vggss_144k,Rescue,semantic_margin,286,0.028450554990619943,0.019674458540976048,0.02713025835323739
vggss_144k,Rescue,ownership_confidence,286,0.5518671622226289,0.5602457523345947,0.126919111934566
vggss_144k,Rescue,soft_containment,286,12561.70188380955,12083.23193359375,3644.977929736701
vggss_144k,Rescue,seed_containment_top10,286,0.7439798196269707,0.8310559093952179,0.23417509874132375
vggss_144k,Rescue,seed_containment_top20,286,0.6741390377022587,0.7282564342021942,0.17550427233756313
vggss_144k,Rescue,centroid_distance,286,0.04582007195753102,0.03899612116784952,0.030607205824563208
vggss_144k,Rescue,js_divergence,286,0.04838224735246121,0.04389334296176138,0.02456116442281875
vggss_144k,Rescue,extent_ratio,286,0.7086969068131945,0.6722477074130848,0.16031068089991513
vggss_144k,Rescue,R1,286,0.01948475965626823,0.012701961647632043,0.01983621622237587
vggss_144k,Rescue,R2,286,0.3641521536769089,0.38397481565129077,0.1047341585303953
vggss_144k,Rescue,R3,286,0.01097051423565076,0.006699951870372178,0.012194780822191583
vggss_144k,Hurt,semantic_margin,727,0.02721384562682642,0.02168210968375206,0.022873223980130343
vggss_144k,Hurt,ownership_confidence,727,0.5351718191103562,0.5365095138549805,0.11954775416353464
vggss_144k,Hurt,soft_containment,727,13685.844185221802,13920.7802734375,3697.5213001243096
vggss_144k,Hurt,seed_containment_top10,727,0.5037282242489648,0.694867730140686,0.3376585674373799
vggss_144k,Hurt,seed_containment_top20,727,0.4895777457292503,0.5636096596717834,0.2513387152975774
vggss_144k,Hurt,centroid_distance,727,0.05644914344280316,0.05034312982795766,0.03315040885070878
vggss_144k,Hurt,js_divergence,727,0.06827046707996431,0.06541403788018521,0.03511257463723346
vggss_144k,Hurt,extent_ratio,727,0.803262633542414,0.81913174320107,0.18452180295151555
vggss_144k,Hurt,R1,727,0.014606956115546955,0.008445916515649854,0.016491268959449273
vggss_144k,Hurt,R2,727,0.2659197599552221,0.2898257580786847,0.14589984302517547
vggss_144k,Hurt,R3,727,0.008109544762939938,0.004479742654866465,0.009533205403252464
vggss_144k,Neutral,semantic_margin,4145,0.02735864788198909,0.0209942776709795,0.024036575202167558
vggss_144k,Neutral,ownership_confidence,4145,0.5028143278796078,0.5052767395973206,0.13814675976878285
vggss_144k,Neutral,soft_containment,4145,14288.146595696056,14386.9833984375,3836.5583931907113
vggss_144k,Neutral,seed_containment_top10,4145,0.6085741635722044,0.7941800951957703,0.3242596146908522
vggss_144k,Neutral,seed_containment_top20,4145,0.5784858708151934,0.6873123049736023,0.2534905428697127
vggss_144k,Neutral,centroid_distance,4145,0.04753318040971388,0.04043680831913904,0.03179994850874123
vggss_144k,Neutral,js_divergence,4145,0.05405463806541359,0.04664510174819818,0.03358235803674843
vggss_144k,Neutral,extent_ratio,4145,0.7835520275844227,0.7744516129032258,0.1604899873354367
vggss_144k,Neutral,R1,4145,0.01708919990287985,0.010670943371658748,0.018348467442515868
vggss_144k,Neutral,R2,4145,0.28945119622392246,0.3227697614648406,0.14142839193337214
vggss_144k,Neutral,R3,4145,0.008824572249577492,0.005083079049093219,0.01008410328850147
flickr_144k,Rescue,semantic_margin,7,0.02881393821111747,0.01979062892496586,0.02112818144059259
flickr_144k,Rescue,ownership_confidence,7,0.2689292345728193,0.26937317848205566,0.046406794586542136
flickr_144k,Rescue,soft_containment,7,20015.73116629464,17450.54296875,4770.397177935819
flickr_144k,Rescue,seed_containment_top10,7,0.9032073276383537,0.90234375,0.028196439366181714
flickr_144k,Rescue,seed_containment_top20,7,0.8605733343533107,0.8536337614059448,0.03502738604425647
flickr_144k,Rescue,centroid_distance,7,0.027145772470007126,0.027361413334538964,0.007857616924968194
flickr_144k,Rescue,js_divergence,7,0.01927379242953211,0.01573036156604055,0.009015153736914125
flickr_144k,Rescue,extent_ratio,7,0.8018007888676273,0.7965159267693945,0.07076430761095984
flickr_144k,Rescue,R1,7,0.024624109403202983,0.016803633088917858,0.018186647673311664
flickr_144k,Rescue,R2,7,0.23253648884333902,0.23155631793049736,0.04524104655765085
flickr_144k,Rescue,R3,7,0.006359861345107451,0.004526448055208046,0.0049809921776531665
flickr_144k,Hurt,semantic_margin,13,0.025377658267433826,0.02074267715215683,0.019967532512906554
flickr_144k,Hurt,ownership_confidence,13,0.27183640461701614,0.26315081119537354,0.08732728550497583
flickr_144k,Hurt,soft_containment,13,14554.669546274039,13288.5,3451.5919324254864
flickr_144k,Hurt,seed_containment_top10,13,0.38874650775240016,0.18712498247623444,0.36699019547005396
flickr_144k,Hurt,seed_containment_top20,13,0.39060264682540524,0.2692233622074127,0.3221154829768609
flickr_144k,Hurt,centroid_distance,13,0.07254615907044147,0.052675870844682136,0.05317871457395173
flickr_144k,Hurt,js_divergence,13,0.08666543509973444,0.06701276530464248,0.06373094486547198
flickr_144k,Hurt,extent_ratio,13,0.8104010728450214,0.8110493827160495,0.09491626783384274
flickr_144k,Hurt,R1,13,0.012633650789964238,0.005173526241525117,0.015906184069685372
flickr_144k,Hurt,R2,13,0.10072542876287183,0.056663526870654124,0.09408196125874506
flickr_144k,Hurt,R3,13,0.002979403074018418,0.0009854072999514118,0.003960614472879159
flickr_144k,Neutral,semantic_margin,230,0.02849151601448007,0.024775500409305096,0.020016391087685464
flickr_144k,Neutral,ownership_confidence,230,0.26042206546534663,0.249464213848114,0.09333805719714922
flickr_144k,Neutral,soft_containment,230,20398.20185334579,20573.9462890625,4643.27214037615
flickr_144k,Neutral,seed_containment_top10,230,0.8278649425538985,0.9188757836818695,0.2577777310972036
flickr_144k,Neutral,seed_containment_top20,230,0.8049572581830232,0.891262412071228,0.23832971326891547
flickr_144k,Neutral,centroid_distance,230,0.032017601936249036,0.02433361443910049,0.03069637744665611
flickr_144k,Neutral,js_divergence,230,0.02768122189932499,0.012846267785741938,0.040946164076545936
flickr_144k,Neutral,extent_ratio,230,0.8386799337743651,0.8491325787938759,0.09079619764243436
flickr_144k,Neutral,R1,230,0.024250796158455934,0.020842577898382342,0.01868747389789932
flickr_144k,Neutral,R2,230,0.20849155203469294,0.2022012518098517,0.10164255244620475
flickr_144k,Neutral,R3,230,0.005969493528177499,0.004821015347717738,0.0049609874653798545
