feature,score_direction,vggss_144k_AUROC,flickr_144k_AUROC
semantic_margin,higher,0.49338213368474715,0.5274725274725275
ownership_confidence,higher,0.5406306210982965,0.5274725274725274
soft_containment,higher,0.4046276969248084,0.7912087912087912
seed_containment_top10,higher,0.7198228181721991,0.901098901098901
seed_containment_top20,higher,0.717076596031204,0.9230769230769231
centroid_distance,lower,0.5980944777368437,0.8241758241758241
js_divergence,lower,0.6693808255018708,0.8351648351648352
extent_ratio,closer_to_one,0.34493223420321084,0.5164835164835164
R1,higher,0.5950452573561239,0.7472527472527473
R2,higher,0.6875366724059984,0.8571428571428571
R3,higher,0.5946075932320775,0.7582417582417583
