outcome,feature,count,mean,median,std
Rescue,semantic_margin,7,0.02881393821111747,0.01979062892496586,0.02112818144059259
Rescue,ownership_confidence,7,0.2689292345728193,0.26937317848205566,0.046406794586542136
Rescue,soft_containment,7,20015.73116629464,17450.54296875,4770.397177935819
Rescue,seed_containment_top10,7,0.9032073276383537,0.90234375,0.028196439366181714
Rescue,seed_containment_top20,7,0.8605733343533107,0.8536337614059448,0.03502738604425647
Rescue,centroid_distance,7,0.027145772470007126,0.027361413334538964,0.007857616924968194
Rescue,js_divergence,7,0.01927379242953211,0.01573036156604055,0.009015153736914125
Rescue,extent_ratio,7,0.8018007888676273,0.7965159267693945,0.07076430761095984
Rescue,R1,7,0.024624109403202983,0.016803633088917858,0.018186647673311664
Rescue,R2,7,0.23253648884333902,0.23155631793049736,0.04524104655765085
Rescue,R3,7,0.006359861345107451,0.004526448055208046,0.0049809921776531665
Hurt,semantic_margin,13,0.025377658267433826,0.02074267715215683,0.019967532512906554
Hurt,ownership_confidence,13,0.27183640461701614,0.26315081119537354,0.08732728550497583
Hurt,soft_containment,13,14554.669546274039,13288.5,3451.5919324254864
Hurt,seed_containment_top10,13,0.38874650775240016,0.18712498247623444,0.36699019547005396
Hurt,seed_containment_top20,13,0.39060264682540524,0.2692233622074127,0.3221154829768609
Hurt,centroid_distance,13,0.07254615907044147,0.052675870844682136,0.05317871457395173
Hurt,js_divergence,13,0.08666543509973444,0.06701276530464248,0.06373094486547198
Hurt,extent_ratio,13,0.8104010728450214,0.8110493827160495,0.09491626783384274
Hurt,R1,13,0.012633650789964238,0.005173526241525117,0.015906184069685372
Hurt,R2,13,0.10072542876287183,0.056663526870654124,0.09408196125874506
Hurt,R3,13,0.002979403074018418,0.0009854072999514118,0.003960614472879159
Neutral,semantic_margin,230,0.02849151601448007,0.024775500409305096,0.020016391087685464
Neutral,ownership_confidence,230,0.26042206546534663,0.249464213848114,0.09333805719714922
Neutral,soft_containment,230,20398.20185334579,20573.9462890625,4643.27214037615
Neutral,seed_containment_top10,230,0.8278649425538985,0.9188757836818695,0.2577777310972036
Neutral,seed_containment_top20,230,0.8049572581830232,0.891262412071228,0.23832971326891547
Neutral,centroid_distance,230,0.032017601936249036,0.02433361443910049,0.03069637744665611
Neutral,js_divergence,230,0.02768122189932499,0.012846267785741938,0.040946164076545936
Neutral,extent_ratio,230,0.8386799337743651,0.8491325787938759,0.09079619764243436
Neutral,R1,230,0.024250796158455934,0.020842577898382342,0.01868747389789932
Neutral,R2,230,0.20849155203469294,0.2022012518098517,0.10164255244620475
Neutral,R3,230,0.005969493528177499,0.004821015347717738,0.0049609874653798545
