candidate,alpha_aud,method,cIoU,AUC,mean_sample_cIoU,num_samples
L4_7,0.5,AUD_SLOT_L4_7_A0.5,0.828,0.6360000000000001,0.6355985257483515,250
L4_7,0.6,AUD_SLOT_L4_7_A0.6,0.836,0.6396000000000001,0.6401379246762732,250
L4_7,0.7,AUD_SLOT_L4_7_A0.7,0.832,0.6422000000000001,0.6424238525629051,250
L4_7,0.8,AUD_SLOT_L4_7_A0.8,0.82,0.6424000000000001,0.6423627772176176,250
L4_7,0.9,AUD_SLOT_L4_7_A0.9,0.812,0.6398,0.6408594889838648,250
L4_HR14,0.5,AUD_SLOT_L4_HR14_A0.5,0.844,0.6488,0.6484309807520171,250
L4_HR14,0.6,AUD_SLOT_L4_HR14_A0.6,0.844,0.6501999999999999,0.6498098069504591,250
L4_HR14,0.7,AUD_SLOT_L4_HR14_A0.7,0.84,0.6480000000000001,0.6492397022424371,250
L4_HR14,0.8,AUD_SLOT_L4_HR14_A0.8,0.824,0.6472,0.6469451632724743,250
L4_HR14,0.9,AUD_SLOT_L4_HR14_A0.9,0.812,0.642,0.6431166599364457,250
