candidate,feature,score_direction,AUROC,rescue_samples,hurt_samples
7x7,ownership_confidence,higher,0.7454545454545455,11,5
7x7,eval_soft_containment,higher,0.6363636363636364,11,5
7x7,eval_seed_top10,higher,0.6909090909090909,11,5
7x7,eval_seed_top20,higher,0.7454545454545455,11,5
7x7,raw_seed_top10,higher,0.8,11,5
7x7,raw_seed_top20,higher,0.7818181818181817,11,5
7x7,centroid_distance,lower,0.6909090909090909,11,5
7x7,js_divergence,lower,0.509090909090909,11,5
7x7,extent_ratio,closer_to_one,0.43636363636363634,11,5
HR14,ownership_confidence,higher,0.5833333333333334,12,4
HR14,eval_soft_containment,higher,0.6875,12,4
HR14,eval_seed_top10,higher,0.7291666666666666,12,4
HR14,eval_seed_top20,higher,0.7291666666666666,12,4
HR14,raw_seed_top10,higher,0.7291666666666666,12,4
HR14,raw_seed_top20,higher,0.7291666666666667,12,4
HR14,centroid_distance,lower,0.5208333333333334,12,4
HR14,js_divergence,lower,0.5625,12,4
HR14,extent_ratio,closer_to_one,0.5416666666666666,12,4
