dataset,best_epoch,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,49,AUD_FINE,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
vggss_144k,49,SPATIAL_SLOT0,0.21965878247382706,0.31262117099651027,0.3124901954495041,5158
vggss_144k,49,AUD_SPATIAL,0.41993020550601007,0.41950368359829393,0.41952680838995293,5158
vggss_144k,49,OLD_HR14,0.20104691740984879,0.3448914307871268,0.3442475445837555,5158
vggss_144k,49,AUD_OLD_HR14,0.37766576192322604,0.41749709189608375,0.4171204313267065,5158
vggss_144k,49,OBJ_PRIOR,0.34780922838309425,0.3924195424583172,0.3914037623400056,5158
vggss_144k,49,OGL,0.4569600620395502,0.44010275300504076,0.440186748823337,5158
flickr_144k,49,AUD_FINE,0.812,0.6356,0.6368762798827685,250
flickr_144k,49,SPATIAL_SLOT0,0.48,0.4898,0.48830127214171126,250
flickr_144k,49,AUD_SPATIAL,0.812,0.6297999999999999,0.6319530733472746,250
flickr_144k,49,OLD_HR14,0.812,0.6212000000000001,0.6216806755574305,250
flickr_144k,49,AUD_OLD_HR14,0.844,0.6501999999999999,0.6498098069504591,250
flickr_144k,49,OBJ_PRIOR,0.448,0.4668,0.4653670845603529,250
flickr_144k,49,OGL,0.868,0.6596000000000002,0.6592267788918901,250
