dataset,best_epoch,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,50,AUD_FINE,0.4152772392400155,0.41952307095773556,0.4193255842559651,5158
vggss_144k,50,OBJ_FINE,0.24486234974796434,0.36612058937572706,0.36540019146373715,5158
vggss_144k,50,AUD_OBJ,0.3970531213648701,0.4208995734780923,0.4207231353282705,5158
vggss_144k,50,OBJ_PRIOR,0.34780922838309425,0.3924195424583172,0.3914037623400056,5158
vggss_144k,50,OGL,0.4517254749903063,0.438832880961613,0.4387636054179679,5158
vggss_144k,50,oracle,0.49224505622334236,0.46196200077549443,0.4619001432895718,5158
flickr_144k,1,AUD_FINE,0.788,0.6295999999999999,0.6313531955830883,250
flickr_144k,1,OBJ_FINE,0.808,0.6174,0.6167751138239042,250
flickr_144k,1,AUD_OBJ,0.848,0.6422,0.6407384983870383,250
flickr_144k,1,OBJ_PRIOR,0.448,0.4668,0.4653670845603529,250
flickr_144k,1,OGL,0.856,0.654,0.6524718490012419,250
flickr_144k,1,oracle,0.856,0.6554,0.6562547455250122,250
