dataset,alpha_audio,cIoU,AUC,mean_sample_cIoU,num_samples,rescue,hurt,net,oracle_cIoU,oracle_AUC,formal
vggss_144k,0.5,0.38193098100038775,0.4170511826289259,0.4166568130480622,5158,444,676,-232,0.5129895308259015,0.47063784412563014,False
vggss_144k,0.6,0.40015509887553313,0.4236622721985266,0.4232031732803767,5158,380,518,-138,0.5005816207832493,0.46482163629313694,True
vggss_144k,0.7,0.4166343544009306,0.4279856533540132,0.42720656913877425,5158,307,360,-53,0.48642884839084916,0.457086079875921,False
vggss_144k,0.8,0.4228383094222567,0.4282086079875921,0.4283388617718782,5158,204,225,-21,0.4664598681659558,0.44669445521519974,False
vggss_144k,0.9,0.4267157813105855,0.4271616905777433,0.4267735933335178,5158,93,94,-1,0.4449398991857309,0.43541101202016286,False
flickr_144k,0.5,0.852,0.6446000000000001,0.6456919873111088,250,14,4,10,0.868,0.6656,False
flickr_144k,0.6,0.848,0.6484000000000001,0.6473000734828804,250,12,3,9,0.86,0.6632,True
flickr_144k,0.7,0.824,0.6452,0.6469271323777213,250,6,3,3,0.836,0.6566,False
flickr_144k,0.8,0.812,0.6442000000000001,0.6452252132903701,250,3,3,0,0.824,0.6514000000000001,False
flickr_144k,0.9,0.812,0.6422000000000001,0.6420889208633109,250,1,1,0,0.816,0.6446000000000001,False
