dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples,rescue,hurt,net,oracle_cIoU,oracle_AUC
vggss_144k,Original G AUD,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158,0,0,0,0.42690965490500193,0.42295463357890656
vggss_144k,Original G + L3 pooled,0.27801473439317564,0.3672547499030633,0.3672694693003908,5158,85,853,-768,0.44338891043039935,0.4339666537417605
vggss_144k,Original G + L3 native readout,0.28906552927491275,0.3689899185730904,0.3688589920083863,5158,65,776,-711,0.4395114385420706,0.43059325319891434
vggss_144k,Original G + L4,0.38580845288871657,0.4157231485071734,0.4151921720889653,5158,355,567,-212,0.4957347809228383,0.4616614967041489
vggss_144k,OGL,0.4569600620395502,0.44010275300504076,0.440186748823337,5158,357,202,155,0.4961225281116712,0.46077937184955414
flickr_144k,Original G AUD,0.812,0.6356,0.6368762798827685,250,0,0,0,0.812,0.6356
flickr_144k,Original G + L3 pooled,0.724,0.5982000000000001,0.5977197944588378,250,9,31,-22,0.848,0.6586
flickr_144k,Original G + L3 native readout,0.704,0.5774000000000001,0.5772031167086389,250,10,37,-27,0.852,0.6514
flickr_144k,Original G + L4,0.836,0.6396000000000001,0.6401379246762732,250,11,5,6,0.856,0.6614
flickr_144k,OGL,0.868,0.6596000000000002,0.6592267788918901,250,19,5,14,0.888,0.6859999999999999
