dataset,map,ownership_cIoU,ownership_AUC,audio_cIoU,audio_AUC,fusion_cIoU,fusion_AUC,rescue,hurt,net,oracle_cIoU,oracle_AUC
vggss_10k,SLOT_L3_POOLED,0.1341605273361768,0.26917409848778595,0.4015122140364482,0.40737689026754553,0.31116711903838695,0.37149088794106244,101,567,-466,0.42109344707250873,0.4202500969367972
vggss_10k,SLOT_L3_NATIVE_UPDATE,0.04497867390461419,0.23992826677006596,0.38134936021713844,0.40016479255525395,0.31640170608763085,0.3806611089569601,123,458,-335,0.4051958123303606,0.4174098487785963
vggss_10k,SLOT_L3_NATIVE_READOUT,0.13803799922450563,0.2719367972082202,0.4015122140364482,0.40737689026754553,0.3260953858084529,0.375494377665762,89,478,-389,0.41876696393951146,0.4176812718107794
vggss_10k,SLOT_L4,0.10604885614579294,0.28351105079488176,0.4015122140364482,0.40737689026754553,0.2915858860023265,0.3781601395889879,325,892,-567,0.46452113222179137,0.4412659945715394
flickr_10k,SLOT_L3_POOLED,0.476,0.4992000000000001,0.764,0.5916000000000001,0.756,0.5922000000000001,16,18,-2,0.828,0.623
flickr_10k,SLOT_L3_NATIVE_UPDATE,0.408,0.4728,0.72,0.5786,0.708,0.5756,11,14,-3,0.764,0.603
flickr_10k,SLOT_L3_NATIVE_READOUT,0.46,0.48760000000000003,0.764,0.5916000000000001,0.748,0.5898,12,16,-4,0.812,0.6180000000000001
flickr_10k,SLOT_L4,0.392,0.4424,0.764,0.5916000000000001,0.644,0.536,5,35,-30,0.784,0.6020000000000001
vggss_144k,SLOT_L3_POOLED,0.12466072120977123,0.25600038774718886,0.40015509887553313,0.4127471888328809,0.26172935246219464,0.3604303993796046,104,818,-714,0.42031795269484296,0.42392400155098875
vggss_144k,SLOT_L3_NATIVE_UPDATE,0.10992632803412175,0.2755525397440869,0.386002326483133,0.404575416828228,0.3313299728576968,0.38914307871267934,186,468,-282,0.4220628150445909,0.42498061264055836
vggss_144k,SLOT_L3_NATIVE_READOUT,0.12136487010469174,0.255389685924777,0.40015509887553313,0.4127471888328809,0.27704536642109345,0.3643951143854207,78,713,-635,0.4152772392400155,0.42069600620395503
vggss_144k,SLOT_L4,0.21442419542458316,0.3472179139201241,0.40015509887553313,0.4127471888328809,0.3466459868165956,0.40108569212873213,285,561,-276,0.4554090732842187,0.44205118262892595
flickr_144k,SLOT_L3_POOLED,0.352,0.4524000000000001,0.804,0.6228,0.724,0.5912000000000001,9,29,-20,0.84,0.6448
flickr_144k,SLOT_L3_NATIVE_UPDATE,0.0,0.028800000000000003,0.864,0.6492000000000001,0.584,0.5236,7,77,-70,0.892,0.6618000000000002
flickr_144k,SLOT_L3_NATIVE_READOUT,0.308,0.42560000000000003,0.804,0.6228,0.712,0.5758,7,30,-23,0.832,0.636
flickr_144k,SLOT_L4,0.732,0.5952000000000001,0.804,0.6228,0.824,0.6237999999999999,7,2,5,0.832,0.64
