dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,Original G AUD,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
vggss_144k,Original G + original HR14,0.37766576192322604,0.41749709189608375,0.4171204313267065,5158
vggss_144k,2.4 AUD,0.4152772392400155,0.41952307095773556,0.4193255842559651,5158
vggss_144k,2.4 AUD + 2.4 OWN14,0.3970531213648701,0.4208995734780923,0.4207231353282705,5158
vggss_144k,Original G AUD + 2.4 OWN14,0.40015509887553313,0.4236622721985266,0.4232031732803767,5158
vggss_144k,OGL,0.4569600620395502,0.44010275300504076,0.440186748823337,5158
flickr_144k,Original G AUD,0.812,0.6356,0.6368762798827685,250
flickr_144k,Original G + original HR14,0.844,0.6501999999999999,0.6498098069504591,250
flickr_144k,2.4 AUD,0.788,0.6295999999999999,0.6313531955830883,250
flickr_144k,2.4 AUD + 2.4 OWN14,0.848,0.6422,0.6407384983870383,250
flickr_144k,Original G AUD + 2.4 OWN14,0.848,0.6484000000000001,0.6473000734828804,250
flickr_144k,OGL,0.868,0.6596000000000002,0.6592267788918901,250
