dataset,family,alpha_full,cIoU,AUC,mean_sample_cIoU,num_samples,rescue,hurt,net,formal
vggss_144k,MEAN,0.5,0.4271035284994184,0.42280922838309426,0.4228048900322042,5158,8,7,1,False
vggss_144k,MEAN,0.6,0.42690965490500193,0.4228480031019775,0.42283361488791793,5158,7,7,0,True
vggss_144k,MEAN,0.7,0.42690965490500193,0.4229061651803024,0.42286447730547255,5158,5,5,0,False
vggss_144k,MEAN,0.8,0.4267157813105855,0.422983714618069,0.42289215839126026,5158,4,5,-1,False
vggss_144k,MEAN,0.9,0.4267157813105855,0.42296432725862737,0.4229151379213837,5158,2,3,-1,False
vggss_144k,GEO,0.5,0.42690965490500193,0.42279953470337345,0.4228016817505775,5158,8,8,0,False
vggss_144k,GEO,0.6,0.42690965490500193,0.4228383094222567,0.42283176994799576,5158,7,7,0,True
vggss_144k,GEO,0.7,0.42690965490500193,0.42289647150058157,0.4228629151812345,5158,5,5,0,False
vggss_144k,GEO,0.8,0.4267157813105855,0.422983714618069,0.4228912306308274,5158,4,5,-1,False
vggss_144k,GEO,0.9,0.4267157813105855,0.42296432725862737,0.42291442273491103,5158,2,3,-1,False
flickr_144k,MEAN,0.5,0.808,0.6356,0.6368835664554338,250,0,1,-1,False
flickr_144k,MEAN,0.6,0.812,0.6356,0.6368889905451113,250,0,0,0,True
flickr_144k,MEAN,0.7,0.812,0.6354000000000001,0.6368942172819215,250,0,0,0,False
flickr_144k,MEAN,0.8,0.812,0.6354000000000001,0.6369065267821152,250,0,0,0,False
flickr_144k,MEAN,0.9,0.812,0.6356,0.6368883193767867,250,0,0,0,False
flickr_144k,GEO,0.5,0.808,0.6356,0.636874193508344,250,0,1,-1,False
flickr_144k,GEO,0.6,0.812,0.6356,0.636885390465215,250,0,0,0,True
flickr_144k,GEO,0.7,0.812,0.6354000000000001,0.6368939005357863,250,0,0,0,False
flickr_144k,GEO,0.8,0.812,0.6354000000000001,0.6369035826066063,250,0,0,0,False
flickr_144k,GEO,0.9,0.812,0.6356,0.6368874912054923,250,0,0,0,False
