dataset,chunk,chunk_q0_full_q0_mean,chunk_q0_full_q0_std,chunk_q0_full_q0_median,chunk_q0_full_q0_num_samples,chunk_q0_full_q1_mean,chunk_q0_full_q1_std,chunk_q0_full_q1_median,chunk_q0_full_q1_num_samples,chunk_q1_full_q0_mean,chunk_q1_full_q0_std,chunk_q1_full_q0_median,chunk_q1_full_q0_num_samples,chunk_q1_full_q1_mean,chunk_q1_full_q1_std,chunk_q1_full_q1_median,chunk_q1_full_q1_num_samples,slot0_closer_to_full_slot0,slot0_closer_to_full_slot1,ties,total,slot0_to_slot0_rate,slot0_to_slot1_rate
vggss_144k,1,0.9163757883020962,0.08070758782087864,0.9453539550304413,5158,-0.01857511826091926,0.08413853057774727,-0.020373578183352947,5158,-0.003012728209207546,0.0835598051530887,-0.0030267531983554363,5158,0.9917614889057074,0.006089104585700038,0.9936806857585907,5158,5158,0,0,5158,1.0,0.0
vggss_144k,2,0.9392470230643442,0.06419237632246541,0.9608505070209503,5158,0.012910763193082575,0.08810181139477498,0.010454292874783278,5158,0.013039610261973622,0.08604498961581733,0.012063713744282722,5158,0.9941561772593143,0.004707767382643573,0.9955498278141022,5158,5158,0,0,5158,1.0,0.0
vggss_144k,3,0.9442598588964004,0.05490167772725952,0.9630370140075684,5158,0.013613374561368234,0.08605574774097387,0.012447651475667953,5158,0.0129776433081438,0.08706342969981748,0.011702063959091902,5158,0.9943247965460094,0.004298700224547196,0.9955300986766815,5158,5158,0,0,5158,1.0,0.0
vggss_144k,4,0.9265505831086298,0.0746357836207704,0.9525671601295471,5158,0.00014332225739438782,0.0881410407806583,-0.0003008255735039711,5158,0.005186629823501828,0.08567164130467053,0.004904880654066801,5158,0.9916439467897338,0.0070510756057229175,0.9938381314277649,5158,5158,0,0,5158,1.0,0.0
vggss_144k,OVERALL,,,,,,,,,,,,,,,,,20632,0,0,20632,1.0,0.0
flickr_144k,1,0.9012045872211456,0.07704857197711522,0.9266398847103119,250,0.15583092349767685,0.07643461470147628,0.14700305461883545,250,0.13892627297341822,0.07530583982367323,0.13247784227132797,250,0.9875796833038331,0.0076450250882566274,0.9901285171508789,250,250,0,0,250,1.0,0.0
flickr_144k,2,0.9235033121109009,0.06184688909126802,0.9427677989006042,250,0.14897842562571167,0.07829881443122094,0.14626111090183258,250,0.17462962381914257,0.08250674125205686,0.1708170250058174,250,0.9903462703227996,0.006798346819165147,0.992053747177124,250,250,0,0,250,1.0,0.0
flickr_144k,3,0.9146389577388764,0.06920514156911256,0.9353136420249939,250,0.14812312756478788,0.07920088618427508,0.1477419137954712,250,0.17310422684252263,0.08296400965622017,0.17238831520080566,250,0.9905195727348327,0.006041872941314889,0.9920523166656494,250,250,0,0,250,1.0,0.0
flickr_144k,4,0.9153079838752747,0.07381998936078529,0.9417915046215057,250,0.1411035601273179,0.07579537033365603,0.14003410190343857,250,0.1635312536917627,0.07792490138883615,0.15950939804315567,250,0.9884314773082733,0.007100551466831903,0.9901768565177917,250,250,0,0,250,1.0,0.0
flickr_144k,OVERALL,,,,,,,,,,,,,,,,,1000,0,0,1000,1.0,0.0
