dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,FULL_AUD,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
vggss_144k,CHUNK_1,0.4241954245831718,0.4224311748739822,0.422130805280205,5158
vggss_144k,CHUNK_2,0.42574641333850327,0.42254749903063205,0.42229322820373544,5158
vggss_144k,CHUNK_3,0.42555253974408686,0.4227122915858861,0.42261839706685644,5158
vggss_144k,CHUNK_4,0.4243892981775882,0.42234393175649476,0.42214824901143183,5158
vggss_144k,TEMP_MEAN_4,0.4271035284994184,0.4226735168670027,0.42263357637022697,5158
vggss_144k,TEMP_GEO_4,0.4271035284994184,0.4226541295075611,0.42262927841500303,5158
vggss_144k,FULL_TEMP_MEAN_4,0.42690965490500193,0.4228480031019775,0.42283361488791793,5158
vggss_144k,FULL_TEMP_GEO_4,0.42690965490500193,0.4228383094222567,0.42283176994799576,5158
vggss_144k,TEMP_MEAN_2,0.4276851492826677,0.4228576967816983,0.42279779735452533,5158
vggss_144k,TEMP_GEO_2,0.4276851492826677,0.42286739046141913,0.42279427652467255,5158
vggss_144k,OGL,0.4569600620395502,0.44010275300504076,0.440186748823337,5158
flickr_144k,FULL_AUD,0.812,0.6356,0.6368762798827685,250
flickr_144k,CHUNK_1,0.796,0.6348000000000001,0.6357884677993683,250
flickr_144k,CHUNK_2,0.804,0.6366,0.6373173790929911,250
flickr_144k,CHUNK_3,0.804,0.6352000000000001,0.6357063516708453,250
flickr_144k,CHUNK_4,0.804,0.6348,0.6358020219760848,250
flickr_144k,TEMP_MEAN_4,0.808,0.6364000000000001,0.6366909514085528,250
flickr_144k,TEMP_GEO_4,0.808,0.6364000000000001,0.6366766981972698,250
flickr_144k,FULL_TEMP_MEAN_4,0.812,0.6356,0.6368889905451113,250
flickr_144k,FULL_TEMP_GEO_4,0.812,0.6356,0.636885390465215,250
flickr_144k,TEMP_MEAN_2,0.808,0.6355999999999999,0.6365766600933439,250
flickr_144k,TEMP_GEO_2,0.808,0.6355999999999999,0.6365661460731845,250
flickr_144k,OGL,0.868,0.6596000000000002,0.6592267788918901,250
