dataset,family,alpha_full,cIoU,AUC,mean_sample_cIoU,num_samples,rescue,hurt,net,formal
flickr_144k,MEAN,0.5,0.808,0.6356,0.6368835664554338,250,0,1,-1,False
flickr_144k,MEAN,0.6,0.812,0.6356,0.6368889905451113,250,0,0,0,True
flickr_144k,MEAN,0.7,0.812,0.6354000000000001,0.6368942172819215,250,0,0,0,False
flickr_144k,MEAN,0.8,0.812,0.6354000000000001,0.6369065267821152,250,0,0,0,False
flickr_144k,MEAN,0.9,0.812,0.6356,0.6368883193767867,250,0,0,0,False
flickr_144k,GEO,0.5,0.808,0.6356,0.636874193508344,250,0,1,-1,False
flickr_144k,GEO,0.6,0.812,0.6356,0.636885390465215,250,0,0,0,True
flickr_144k,GEO,0.7,0.812,0.6354000000000001,0.6368939005357863,250,0,0,0,False
flickr_144k,GEO,0.8,0.812,0.6354000000000001,0.6369035826066063,250,0,0,0,False
flickr_144k,GEO,0.9,0.812,0.6356,0.6368874912054923,250,0,0,0,False
