dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
flickr_144k,FULL_AUD,0.812,0.6356,0.6368762798827685,250
flickr_144k,CHUNK_1,0.796,0.6348000000000001,0.6357884677993683,250
flickr_144k,CHUNK_2,0.804,0.6366,0.6373173790929911,250
flickr_144k,CHUNK_3,0.804,0.6352000000000001,0.6357063516708453,250
flickr_144k,CHUNK_4,0.804,0.6348,0.6358020219760848,250
flickr_144k,TEMP_MEAN_4,0.808,0.6364000000000001,0.6366909514085528,250
flickr_144k,TEMP_GEO_4,0.808,0.6364000000000001,0.6366766981972698,250
flickr_144k,FULL_TEMP_MEAN_4,0.812,0.6356,0.6368889905451113,250
flickr_144k,FULL_TEMP_GEO_4,0.812,0.6356,0.636885390465215,250
flickr_144k,TEMP_MEAN_2,0.808,0.6355999999999999,0.6365766600933439,250
flickr_144k,TEMP_GEO_2,0.808,0.6355999999999999,0.6365661460731845,250
flickr_144k,OGL,0.868,0.6596000000000002,0.6592267788918901,250
