dataset,method,OGL_RESCUE_TOTAL,OGL_RESCUE_CAPTURED,OGL_RESCUE_CAPTURE_RATE,NEW_HURT,CAPTURE_MINUS_HURT,OTHER_FULL_FAILURE_TOTAL,OTHER_FULL_FAILURE_CAPTURED,OTHER_FULL_FAILURE_CAPTURE_RATE
flickr_144k,CHUNK_1,19,0,0.0,4,-4,28,0,0.0
flickr_144k,CHUNK_2,19,0,0.0,2,-2,28,0,0.0
flickr_144k,CHUNK_3,19,0,0.0,2,-2,28,0,0.0
flickr_144k,CHUNK_4,19,0,0.0,2,-2,28,0,0.0
flickr_144k,TEMP_MEAN_4,19,0,0.0,1,-1,28,0,0.0
flickr_144k,TEMP_GEO_4,19,0,0.0,1,-1,28,0,0.0
flickr_144k,FULL_TEMP_MEAN_4,19,0,0.0,0,0,28,0,0.0
flickr_144k,FULL_TEMP_GEO_4,19,0,0.0,0,0,28,0,0.0
flickr_144k,TEMP_MEAN_2,19,0,0.0,1,-1,28,0,0.0
flickr_144k,TEMP_GEO_2,19,0,0.0,1,-1,28,0,0.0
