dataset,method,OGL_RESCUE_TOTAL,OGL_RESCUE_CAPTURED,OGL_RESCUE_CAPTURE_RATE,NEW_HURT,CAPTURE_MINUS_HURT,OTHER_FULL_FAILURE_TOTAL,OTHER_FULL_FAILURE_CAPTURED,OTHER_FULL_FAILURE_CAPTURE_RATE
vggss_144k,CHUNK_1,357,19,0.05322128851540616,47,-28,2599,14,0.005386687187379761
vggss_144k,CHUNK_2,357,19,0.05322128851540616,36,-17,2599,11,0.004232397075798384
vggss_144k,CHUNK_3,357,14,0.0392156862745098,33,-19,2599,12,0.00461716044632551
vggss_144k,CHUNK_4,357,12,0.03361344537815126,37,-25,2599,12,0.00461716044632551
vggss_144k,TEMP_MEAN_4,357,9,0.025210084033613446,15,-6,2599,7,0.0026933435936898806
vggss_144k,TEMP_GEO_4,357,9,0.025210084033613446,15,-6,2599,7,0.0026933435936898806
vggss_144k,FULL_TEMP_MEAN_4,357,4,0.011204481792717087,7,-3,2599,3,0.0011542901115813775
vggss_144k,FULL_TEMP_GEO_4,357,4,0.011204481792717087,7,-3,2599,3,0.0011542901115813775
vggss_144k,TEMP_MEAN_2,357,6,0.01680672268907563,6,0,2599,4,0.0015390534821085034
vggss_144k,TEMP_GEO_2,357,6,0.01680672268907563,6,0,2599,4,0.0015390534821085034
