dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
flickr_144k,ORIGINAL_AUD,0.812,0.6356,0.6368762798827685,250
flickr_144k,T2_CHUNK1,0.804,0.6359999999999999,0.6369492012501096,250
flickr_144k,T2_CHUNK2,0.808,0.6338,0.6356862887458001,250
flickr_144k,T2_RAW_MEAN,0.808,0.6355999999999999,0.6365766600933439,250
flickr_144k,T2_RAW_GEO,0.808,0.6355999999999999,0.6365660568431277,250
flickr_144k,T2_NORM_MEAN,0.808,0.6355999999999999,0.636556226849142,250
flickr_144k,T2_NORM_GEO,0.808,0.6355999999999999,0.6365599003393195,250
flickr_144k,T4_CHUNK1,0.796,0.6348000000000001,0.6357884677993683,250
flickr_144k,T4_CHUNK2,0.804,0.6366,0.6373173790929911,250
flickr_144k,T4_CHUNK3,0.804,0.6352000000000001,0.6357063516708453,250
flickr_144k,T4_CHUNK4,0.804,0.6348,0.6358020219760848,250
flickr_144k,T4_RAW_MEAN,0.808,0.6364000000000001,0.6366909514085528,250
flickr_144k,T4_RAW_GEO,0.808,0.6364000000000001,0.6366767792657909,250
flickr_144k,T4_NORM_MEAN,0.808,0.6364000000000001,0.6366587494730681,250
flickr_144k,T4_NORM_GEO,0.808,0.6362,0.6366393603018701,250
flickr_144k,OGL_REFERENCE,0.868,0.6596000000000002,0.6592267788918901,250
