dataset,scale,chunk,positive_cosine,negative_cosine,margin
flickr_144k,FULL,1,-0.009664210241287947,-0.0483243553340435,0.03866014509275555
flickr_144k,FULL,MEAN,-0.009664210241287947,-0.0483243553340435,0.03866014509275555
flickr_144k,T2,1,-0.012376968196593225,-0.04804159336909652,0.035664625172503295
flickr_144k,T2,2,-0.01592359075322747,-0.053469511238858104,0.03754592048563063
flickr_144k,T2,MEAN,-0.014150279474910349,-0.05075555230397731,0.03660527282906696
flickr_144k,T4,1,-0.018584844283759595,-0.05272731666453183,0.03414247238077223
flickr_144k,T4,2,-0.01606243053637445,-0.04899719409644604,0.03293476356007159
flickr_144k,T4,3,-0.01628869432024658,-0.04998486538603902,0.03369617106579244
flickr_144k,T4,4,-0.022025785766541957,-0.06001546278782189,0.037989677021279936
flickr_144k,T4,MEAN,-0.018240438726730646,-0.05293120973370969,0.034690771006979045
