dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,ORIGINAL_AUD,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
vggss_144k,T2_CHUNK1,0.42574641333850327,0.42294493989918575,0.42264703887243854,5158
vggss_144k,T2_CHUNK2,0.42594028693291974,0.4227510663047693,0.42263457784886127,5158
vggss_144k,T2_RAW_MEAN,0.4276851492826677,0.4228576967816983,0.42279779735452533,5158
vggss_144k,T2_RAW_GEO,0.4276851492826677,0.42286739046141913,0.4227942795599519,5158
vggss_144k,T2_NORM_MEAN,0.42749127568825124,0.4228189220628151,0.42277946266646355,5158
vggss_144k,T2_NORM_GEO,0.4278790228770841,0.4228286157425359,0.42279265337510374,5158
vggss_144k,T4_CHUNK1,0.4241954245831718,0.4224311748739822,0.422130805280205,5158
vggss_144k,T4_CHUNK2,0.42574641333850327,0.42254749903063205,0.42229322820373544,5158
vggss_144k,T4_CHUNK3,0.42555253974408686,0.4227122915858861,0.42261839706685644,5158
vggss_144k,T4_CHUNK4,0.4243892981775882,0.42234393175649476,0.42214824901143183,5158
vggss_144k,T4_RAW_MEAN,0.4271035284994184,0.4226735168670027,0.42263357637022697,5158
vggss_144k,T4_RAW_GEO,0.4271035284994184,0.4226541295075611,0.4226292829991709,5158
vggss_144k,T4_NORM_MEAN,0.42652190771616905,0.4226056611089569,0.4225959912934611,5158
vggss_144k,T4_NORM_GEO,0.42690965490500193,0.4226444358278402,0.42262696006938333,5158
vggss_144k,OGL_REFERENCE,0.4569600620395502,0.44010275300504076,0.44018674892071213,5158
