dataset,scale,chunk,positive_cosine,negative_cosine,margin
vggss_144k,FULL,1,0.012116146773833329,-0.02719998739729482,0.03931613417112815
vggss_144k,FULL,MEAN,0.012116146773833329,-0.02719998739729482,0.03931613417112815
vggss_144k,T2,1,0.00992693147507755,-0.02797198444554317,0.037898915920620724
vggss_144k,T2,2,0.010772848233400753,-0.02731676988808143,0.038089618121482184
vggss_144k,T2,MEAN,0.010349889854239153,-0.0276443771668123,0.03799426702105145
vggss_144k,T4,1,0.008934876053948309,-0.02785870776285669,0.036793583816805
vggss_144k,T4,2,0.007220118259902742,-0.028864925873365446,0.036085044133268185
vggss_144k,T4,3,0.008003497524324193,-0.028928640974963973,0.03693213849928817
vggss_144k,T4,4,0.009738938470279705,-0.026676416829623465,0.03641535529990317
vggss_144k,T4,MEAN,0.008474357577113737,-0.028082172860202394,0.03655653043731613
