dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
flickr_144k,ORIGINAL_AUD,0.9375,0.69375,0.6925761664282617,32
flickr_144k,T2_CHUNK1,0.9375,0.6921875,0.6921448653175639,32
flickr_144k,T2_CHUNK2,0.9375,0.69375,0.6925462690871216,32
flickr_144k,T2_RAW_MEAN,0.9375,0.69375,0.6925113588369931,32
flickr_144k,T2_RAW_GEO,0.9375,0.69375,0.6924946876475913,32
flickr_144k,T2_NORM_MEAN,0.9375,0.69375,0.6925641601393189,32
flickr_144k,T2_NORM_GEO,0.9375,0.69375,0.6926831161928932,32
flickr_144k,T4_CHUNK1,0.9375,0.6921875,0.6914634988969828,32
flickr_144k,T4_CHUNK2,0.9375,0.6937500000000001,0.6927958467905914,32
flickr_144k,T4_CHUNK3,0.9375,0.696875,0.6909195137838636,32
flickr_144k,T4_CHUNK4,0.9375,0.6953125,0.6942852459880529,32
flickr_144k,T4_RAW_MEAN,0.9375,0.6953125,0.6930047767576464,32
flickr_144k,T4_RAW_GEO,0.9375,0.6953125,0.6930194920579138,32
flickr_144k,T4_NORM_MEAN,0.9375,0.6953125,0.6931657995776219,32
flickr_144k,T4_NORM_GEO,0.9375,0.6953125,0.6932443442884029,32
flickr_144k,OGL_REFERENCE,0.9375,0.696875,0.7001177806377571,32
