dataset,scale,chunk,positive_cosine,negative_cosine,margin
flickr_144k,FULL,1,0.014288322359789163,-0.04831222293432802,0.06260054529411718
flickr_144k,FULL,MEAN,0.014288322359789163,-0.04831222293432802,0.06260054529411718
flickr_144k,T2,1,0.012032332248054445,-0.04939145958633162,0.061423791834386066
flickr_144k,T2,2,0.00461101540713571,-0.05409884106484242,0.05870985647197813
flickr_144k,T2,MEAN,0.008321673827595077,-0.05174515032558702,0.0600668241531821
flickr_144k,T4,1,0.005323221732396632,-0.050036725704558194,0.055359947436954826
flickr_144k,T4,2,0.005844358762260526,-0.05408985435497016,0.059934213117230684
flickr_144k,T4,3,0.0016054047155193985,-0.057406673178775236,0.059012077894294634
flickr_144k,T4,4,-0.004481471376493573,-0.0586509128625039,0.05416944148601033
flickr_144k,T4,MEAN,0.002072878458420746,-0.05504604152520187,0.05711891998362262
