dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,ORIGINAL_AUD,0.3828125,0.3941406250000001,0.39328981317060285,256
vggss_144k,T2_CHUNK1,0.3828125,0.3955078125,0.3940559591675117,256
vggss_144k,T2_CHUNK2,0.37890625,0.39296875000000003,0.39278835838229814,256
vggss_144k,T2_RAW_MEAN,0.390625,0.39628906250000007,0.39364617646722855,256
vggss_144k,T2_RAW_GEO,0.390625,0.39628906250000007,0.3936397728485316,256
vggss_144k,T2_NORM_MEAN,0.38671875,0.39570312500000004,0.39360885119639843,256
vggss_144k,T2_NORM_GEO,0.38671875,0.39589843750000003,0.3935912710829476,256
vggss_144k,T4_CHUNK1,0.37890625,0.39609375,0.39440149585846035,256
vggss_144k,T4_CHUNK2,0.37890625,0.39277343750000004,0.39345763040256215,256
vggss_144k,T4_CHUNK3,0.38671875,0.39375,0.39360115128985096,256
vggss_144k,T4_CHUNK4,0.37890625,0.39199218750000003,0.3919867926143883,256
vggss_144k,T4_RAW_MEAN,0.38671875,0.39531250000000007,0.39378067984781495,256
vggss_144k,T4_RAW_GEO,0.38671875,0.39531250000000007,0.3937767434353281,256
vggss_144k,T4_NORM_MEAN,0.38671875,0.3947265625000001,0.3937279331121339,256
vggss_144k,T4_NORM_GEO,0.38671875,0.3951171875,0.39371911378190116,256
vggss_144k,OGL_REFERENCE,0.3828125,0.4052734375,0.4056986879546064,256
