dataset,scale,chunk,positive_cosine,negative_cosine,margin
vggss_144k,FULL,1,0.01445824639267812,-0.024699029399926076,0.039157275792604196
vggss_144k,FULL,MEAN,0.01445824639267812,-0.024699029399926076,0.039157275792604196
vggss_144k,T2,1,0.011314998873785953,-0.024700930629478535,0.03601592950326449
vggss_144k,T2,2,0.014563555926542904,-0.02571822303252702,0.040281778959069925
vggss_144k,T2,MEAN,0.012939277400164428,-0.025209576831002778,0.038148854231167206
vggss_144k,T4,1,0.009895440462059923,-0.02557654416159494,0.03547198462365486
vggss_144k,T4,2,0.008665396333526587,-0.025684305881441105,0.03434970221496769
vggss_144k,T4,3,0.011379168893654423,-0.027655032588882023,0.039034201482536446
vggss_144k,T4,4,0.013268064825751935,-0.02455320895933255,0.037821273785084486
vggss_144k,T4,MEAN,0.010802017628748217,-0.025867272897812654,0.03666929052656087
