sample_index,sample_id,Stage1_IoU_AUD,Stage1_IoU_IMG,Stage1_IoU_IQR,Stage1_IoU_OBJ,Stage1_IoU_OGL,Stage1_AUD_IMG_raw_pearson,Stage1_AUD_IMG_raw_spearman,Stage1_AUD_IMG_raw_js,Stage1_AUD_IMG_norm_pearson,Stage1_AUD_IMG_norm_spearman,Stage1_AUD_IMG_norm_js,Stage1_AUD_IMG_mask_iou,Stage1_AUD_IMG_top10_overlap,Stage1_AUD_IMG_top20_overlap,Stage1_AUD_IMG_top30_overlap,Stage2_IoU_AUD,Stage2_IoU_IMG,Stage2_IoU_IQR,Stage2_IoU_OBJ,Stage2_IoU_OGL,Stage2_AUD_IMG_raw_pearson,Stage2_AUD_IMG_raw_spearman,Stage2_AUD_IMG_raw_js,Stage2_AUD_IMG_norm_pearson,Stage2_AUD_IMG_norm_spearman,Stage2_AUD_IMG_norm_js,Stage2_AUD_IMG_mask_iou,Stage2_AUD_IMG_top10_overlap,Stage2_AUD_IMG_top20_overlap,Stage2_AUD_IMG_top30_overlap,Stage2_categories
0,10000130166,0.7652128412693527,0.7042819190498515,0.7543810675847523,0.3419621084224348,0.674935909460389,0.9827996491958599,0.9797842549177429,0.00010278889680897155,0.9827996491958599,0.9797842549177429,0.0020036116644608394,0.8739468092900579,0.4155148095909732,0.6834689256059716,0.8680814097791015,0.7799756972899652,0.7042819190498515,0.7858076677510565,0.3419621084224348,0.7098819277859123,0.9717247747460044,0.9729844563186607,0.00013537120844175156,0.9717247747460044,0.9729844563186607,0.00675935015255171,0.7144993867599988,0.3882971365334071,0.6778400066872858,0.8506269977870666,
1,10007936344,0.6743212603918377,0.7092784137994537,0.6886049621155846,0.6120944992947814,0.7554840448832429,0.9836745785501217,0.9730201227536255,2.4422025241993423e-05,0.9836745785501217,0.9730201227536255,0.0008465840021708781,0.9400914770858868,0.39022025211248096,0.5653123294080948,0.7692759755524212,0.643244233840354,0.7092784137994537,0.6725950440804294,0.6120944992947814,0.7530049229588901,0.9642204527288003,0.9467980872260832,5.4858208091350516e-05,0.9642204527288003,0.9467980872260832,0.0035946603979981765,0.8151177841056174,0.15648766997003918,0.45766158315177924,0.7369180176541856,
2,10008553263,0.40472423562309134,0.3848758871635984,0.3947760380717114,0.03252355245051339,0.4176100628930818,0.9489893673916786,0.9442933895173267,5.7504317576429994e-05,0.9489893673916786,0.9442933895173267,0.0019123105103294978,0.8806968817068552,0.27570865641286385,0.5504402904372007,0.7484174458447064,0.3685962111857362,0.3848758871635984,0.38203445447087775,0.03252355245051339,0.4255714624693506,0.9239233602357129,0.92939857351193,9.744098980107671e-05,0.9239233602357129,0.92939857351193,0.004403110799976488,0.7944631539869004,0.22330570453437348,0.537730789856738,0.7436580562956099,BOTH_FAIL
3,10009662863,0.6548638661278163,0.6569641093184063,0.6657596488300753,0.5279820227689562,0.6618111690123507,0.9674439226701869,0.9245898500825899,2.8424188214181522e-05,0.9674439226701869,0.9245898500825899,0.0006486649892279243,0.8845337984349958,0.2608040201005025,0.4680026329262049,0.6426233085988651,0.6527465584486593,0.6569641093184063,0.6655182386299338,0.5279820227689562,0.674903692567885,0.9592385057831346,0.9133114113663399,3.934295785244469e-05,0.9592385057831346,0.9133114113663399,0.0015947730731192085,0.8531740614334471,0.15303308823529413,0.39330834374566154,0.6140031094193964,
4,10013411946,0.5060665577561997,0.48094597830291197,0.5076678705822287,0.3695958392025138,0.5754857387510449,0.9672918206225657,0.9687939608640466,2.4209984564767366e-05,0.9672918206225657,0.9687939608640466,0.0018926988001229806,0.8663126547307237,0.7631763879128601,0.7610107036322161,0.8273748103186647,0.5230990753430599,0.48094597830291197,0.49695030848464605,0.3695958392025138,0.6056909722944984,0.9160307228828972,0.9184640759039656,6.311407305852602e-05,0.9160307228828972,0.9184640759039656,0.004222911998855703,0.7796445880452343,0.42334420649553256,0.6109149277688604,0.7255688657075715,AUD_ONLY;IQR_HURT
5,10016382545,0.5559238513896767,0.4964880422120195,0.5376903730613386,0.3830998068784156,0.6263237518910741,0.9839678118089856,0.9790116509461785,2.4826545948213174e-05,0.9839678118089856,0.9790116509461785,0.000559945752872986,0.8753747152164355,0.7895863052781741,0.8574865815287803,0.8107782990496812,0.6273317650177264,0.4964880422120195,0.6053913335572724,0.3830998068784156,0.6365752715985514,0.9570069071314676,0.9380672607072197,6.159306119906886e-05,0.9570069071314676,0.9380672607072197,0.0019690844614566197,0.735141012124407,0.7803796345573887,0.784336385456485,0.7023466214305909,AUD_ONLY
6,10031203703,0.8262636831938184,0.8113295755082414,0.8241374716930865,0.4386279882830955,0.824485933063753,0.9595017769085177,0.8342212595983295,1.9062331510577156e-05,0.9595017769085177,0.8342212595983295,0.001098658298737071,0.9425900510138022,0.15915915915915915,0.32444737710326627,0.4243270095093911,0.8400152418279306,0.8113295755082414,0.8283055801356823,0.4386279882830955,0.8394592499850951,0.9615423266596891,0.8886173679483476,2.0397669416764874e-05,0.9615423266596891,0.8886173679483476,0.0016562289229522002,0.9489651928504234,0.12852805577420442,0.35083114610673666,0.533516707416463,
7,10035917404,0.6423904341313499,0.638945962605301,0.6412107461455164,0.508176646171901,0.658255787704733,0.9814620457871376,0.9665953354166851,1.0393422229071883e-05,0.9814620457871376,0.9665953354166851,0.0007155755870912571,0.9521013138772726,0.5634834086306278,0.6922687800354101,0.6663530193169868,0.681939433971851,0.638945962605301,0.6680251662039277,0.508176646171901,0.6950018557466288,0.9569384446085563,0.9180441826800583,2.5266489601285185e-05,0.9569384446085563,0.9180441826800583,0.0014395671842999127,0.9156222023276633,0.308133472367049,0.3662786740181063,0.5680208333333333,
8,10045181004,0.6305860902189729,0.6054505104305371,0.6208469055374592,0.47009041735693896,0.6349383889789907,0.9906437392856989,0.9907104533410388,1.5608688728429347e-05,0.9906437392856989,0.9907104533410388,0.0004649352759234821,0.9128303400329782,0.7662794790566702,0.8557692307692307,0.9031544345407422,0.6421705522040332,0.6054505104305371,0.6371030145376118,0.47009041735693896,0.6487230800301099,0.9673383502542142,0.9643920347105753,4.2166393265620714e-05,0.9673383502542142,0.9643920347105753,0.0029530383961638255,0.7143741190222436,0.6401372773328975,0.804711382844812,0.8612673879443585,
9,10060697266,0.7920661375224831,0.7855379938216113,0.7921395371754233,0.5993507258078081,0.7625741011301996,0.9893941215965227,0.9886365202846836,4.204598983772296e-05,0.9893941215965227,0.9886365202846836,0.0009867709042040446,0.9293560606060606,0.7149692412850308,0.8056854983807125,0.9253053654793119,0.86928011404134,0.7855379938216113,0.8191800760087329,0.5993507258078081,0.7931000313785074,0.9775833380038786,0.9792612077851799,4.869136894856689e-05,0.9775833380038786,0.9792612077851799,0.0027276347403546544,0.8405468467580269,0.49189832020217034,0.7720490862540832,0.8877602207173313,
10,10061269855,0.6966166921739647,0.637073577847658,0.6754702951892334,0.48323581173568386,0.6511094685713423,0.9853970125767639,0.9868470033883475,0.00012176383441773691,0.9853970125767639,0.9868470033883475,0.0013551141573084034,0.8766457362770913,0.7979218917950556,0.8333942272561199,0.8084940229470775,0.6964758159998831,0.637073577847658,0.6739031044908192,0.48323581173568386,0.6385591238894001,0.9770704880980005,0.9794250333185368,0.00022624158113281786,0.9770704880980005,0.9794250333185368,0.006296899880941031,0.8526336401018211,0.6001275510204082,0.7827515765165646,0.8275966733442603,
11,10067897816,0.3445306601121339,0.2754713601146491,0.3259595329080584,0.4838752978287862,0.42045994404659265,0.9528672709585227,0.9142546714364032,2.9041154131492626e-05,0.9528672709585227,0.9142546714364032,0.0020332281859420983,0.8762580684633975,0.21032320308731306,0.40619307832422585,0.5605432303545511,0.3571332926665972,0.2754713601146491,0.33872710767856373,0.4838752978287862,0.43793823261788795,0.9019769128641111,0.8327281414233925,5.623888955561277e-05,0.9019769128641111,0.8327281414233925,0.003001608424880644,0.8835145137041749,0.06561902739435124,0.2745745491490983,0.4462913143735588,BOTH_FAIL
12,10069511285,0.7647869607108446,0.7510930848003682,0.7499178262298675,0.36791448871639176,0.7434016322278173,0.9765926502305907,0.965876631131285,3.483966260448754e-05,0.9765926502305907,0.965876631131285,0.0008658538192244755,0.8523125192593215,0.512812782634911,0.5268522744561083,0.7254699679046309,0.8027168069650958,0.7510930848003682,0.7868867975553031,0.36791448871639176,0.7828845602979089,0.9751044680554489,0.956577147943105,3.866871564235256e-05,0.9751044680554489,0.956577147943105,0.0018902648758286717,0.7861553965013824,0.5359657177838996,0.4993650556510047,0.6708846708846709,
13,10079676496,0.7670230472791615,0.7305342219075616,0.7811214418107021,0.4738142025275379,0.8290631890201172,0.9352907240827139,0.8956228023432018,0.00012385242104272386,0.9352907240827139,0.8956228023432018,0.0020065036346853045,0.8329418267237806,0.33015241882041085,0.5305780082354735,0.6136570724124993,0.7591026527932685,0.7305342219075616,0.773411141198106,0.4738142025275379,0.8400559139060579,0.9173042855423833,0.863636655604335,0.0001580494134775306,0.9173042855423833,0.863636655604335,0.0029583763825467985,0.8134260580740587,0.21560077519379844,0.4176142382936648,0.5529763747033942,
