sample_index,sample_id,IoU_AUD,IoU_IMG,IoU_IQR,IoU_OBJ,IoU_OGL,IoU_SAMPLE_ORACLE,IoU_PIXEL_ORACLE,IoU_BINARY_PIXEL_ORACLE,IoU_REGION_ORACLE,region_oracle_components,disagreement_mean,disagreement_max,disagreement_std,disagreement_top10_mass,disagreement_top20_mass,disagreement_top30_mass,AUD_IMG_Pearson,mask_IoU,area_AUD,area_IMG,area_ratio_IMG_AUD,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG,energy_GT_INTERIOR,energy_GT_BOUNDARY_1PX,energy_GT_EXTERIOR,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,E_AUD_CTRL_RAW_PEAK,E_IMG_CTRL_RAW_PEAK,DELTA_CTRL_RAW_PEAK,IoU_SAMPLE_CTRL_RAW_PEAK,IoU_D20_CTRL_RAW_PEAK,E_AUD_CTRL_NEG_ENTROPY,E_IMG_CTRL_NEG_ENTROPY,DELTA_CTRL_NEG_ENTROPY,IoU_SAMPLE_CTRL_NEG_ENTROPY,IoU_D20_CTRL_NEG_ENTROPY,E_AUD_CTRL_NEG_AREA,E_IMG_CTRL_NEG_AREA,DELTA_CTRL_NEG_AREA,IoU_SAMPLE_CTRL_NEG_AREA,IoU_D20_CTRL_NEG_AREA,E_AUD_CTRL_TOP20_CONCENTRATION,E_IMG_CTRL_TOP20_CONCENTRATION,DELTA_CTRL_TOP20_CONCENTRATION,IoU_SAMPLE_CTRL_TOP20_CONCENTRATION,IoU_D20_CTRL_TOP20_CONCENTRATION,E_AUD_CTRL_NEG_COMPONENTS,E_IMG_CTRL_NEG_COMPONENTS,DELTA_CTRL_NEG_COMPONENTS,IoU_SAMPLE_CTRL_NEG_COMPONENTS,IoU_D20_CTRL_NEG_COMPONENTS,E_AUD_SEMANTIC_SLOT,E_IMG_SEMANTIC_SLOT,DELTA_SEMANTIC_SLOT,IoU_SAMPLE_SEMANTIC_SLOT,IoU_D20_SEMANTIC_SLOT,IoU_LOCAL20_SEMANTIC_SLOT,E_AUD_RECIPROCAL_L4,E_IMG_RECIPROCAL_L4,DELTA_RECIPROCAL_L4,IoU_SAMPLE_RECIPROCAL_L4,IoU_D20_RECIPROCAL_L4,IoU_LOCAL20_RECIPROCAL_L4
0,10000130166,0.7799756972899652,0.7042819190498515,0.7858076677510565,0.3419621084224348,0.7098819277859123,0.7799756972899652,0.8294577277699641,0.8496166143224967,0.7752162127275074,1,0.15177276730537415,0.34251493215560913,0.07818913459777832,0.18265411028921896,0.33878365022836765,0.4803542159278657,0.9717247747566663,0.7144993867599988,0.6662348533163265,0.4760243941326531,0.7144993867599989,6.981474887797055,1,1,30028.0,23876.0,0.5500736236572266,0.02793276682496071,0.4219936430454254,False,False,True,False,False,0.005588487721979618,0.023680252954363823,0.018091765232384205,0.7042819190498515,0.7834304893128422,-0.995551406803017,-0.9883394527926944,0.0072119540103225965,0.7042819190498515,0.7834304893128422,-0.6662348533163265,-0.4760243941326531,0.1902104591836734,0.7042819190498515,0.7834304893128422,0.27331552779570095,0.32275295999744597,0.04943743220174501,0.7042819190498515,0.7834304893128422,-1.0,-1.0,0.0,0.7799756972899652,0.7799756972899652,0.26231993341502285,0.2842734005817376,0.021953467166714757,0.7042819190498515,0.7834304893128422,0.7834304893128422,0.24896890321675125,0.2620736424901613,0.013104739273410049,0.7042819190498515,0.7834304893128422,0.7780294616238966
1,10007936344,0.643244233840354,0.7092784137994537,0.6725950440804294,0.6120944992947814,0.7530049229588901,0.7092784137994537,0.752125471900801,0.7600426906999496,0.7423618760507855,3,0.09587777405977249,0.29530954360961914,0.06850453466176987,0.2487496161726077,0.42895770026629976,0.5699698391844082,0.9642204527209531,0.8151177841056174,0.769889987244898,0.6275510204081632,0.8151177841056173,4.892873404933599,1,1,25637.0,24111.0,0.30950650572776794,0.03102952428162098,0.6594640016555786,False,False,True,False,False,0.0055356561206281185,0.02256464958190918,0.01702899346128106,0.7092784137994537,0.6979715148899439,-0.9962506280513399,-0.9921436177618703,0.0041070102894695815,0.7092784137994537,0.6979715148899439,-0.769889987244898,-0.6275510204081632,0.14233896683673475,0.7092784137994537,0.6979715148899439,0.2557669039777853,0.28441824780737057,0.028651343829585285,0.7092784137994537,0.6979715148899439,-1.0,-1.0,0.0,0.643244233840354,0.643244233840354,0.23792746936823528,0.26373478930858063,0.025807319940345352,0.7092784137994537,0.6979715148899439,0.6979715148899439,0.22535009710478104,0.2424448289386234,0.017094731833842358,0.7092784137994537,0.6979715148899439,0.6812336805458068
2,10008553263,0.3685962111857362,0.3848758871635984,0.38203445447087775,0.03252355245051339,0.4255714624693506,0.3848758871635984,0.4233188720173536,0.5218941663100841,0.4617030380830124,5,0.08323971927165985,0.33889681100845337,0.07219342887401581,0.29870507284882997,0.48948894532641046,0.627646168764289,0.9239233602085672,0.7944631539869004,0.7495216836734694,0.5991509885204082,0.7993777919591576,9.142254383885444,1,1,18289.0,16190.0,0.3337913751602173,0.022367659956216812,0.643841028213501,False,False,False,True,False,0.005521232727915049,0.022363955155014992,0.016842722427099943,0.3848758871635984,0.36760526141846783,-0.9970113157089185,-0.9935640928083984,0.0034472229005201305,0.3848758871635984,0.36760526141846783,-0.7495216836734694,-0.5991509885204082,0.15037069515306123,0.3848758871635984,0.36760526141846783,0.2595042863910976,0.286308830365764,0.02680454397466636,0.3848758871635984,0.36760526141846783,-1.0,-1.0,0.0,0.3685962111857362,0.3685962111857362,0.1841097630532097,0.2421591593780753,0.05804939632486561,0.3848758871635984,0.36760526141846783,0.36760526141846783,0.17462531814874416,0.21270947961259046,0.0380841614638463,0.3848758871635984,0.36760526141846783,0.3810562495868861
3,10009662863,0.6527465584486593,0.6569641093184063,0.6655182386299338,0.5279820227689562,0.674903692567885,0.6569641093184063,0.674470412992183,0.729070870739362,0.6975109527706899,5,0.0794386938214302,0.21408258378505707,0.05159947648644447,0.21515327096358178,0.3949841549567466,0.5456615965626596,0.9592385057721977,0.8531740614334471,0.8752790178571429,0.7479472257653061,0.854524340816977,3.3037200084142637,1,1,29967.0,26767.0,0.6027421355247498,0.03227157145738602,0.36498624086380005,False,False,True,False,False,0.0054799895733594894,0.02210548147559166,0.01662549190223217,0.6569641093184063,0.6372112283695774,-0.9973575995946922,-0.9955179591925472,0.0018396404021450152,0.6569641093184063,0.6372112283695774,-0.8752790178571429,-0.7479472257653061,0.12733179209183676,0.6569641093184063,0.6372112283695774,0.24300939282335926,0.2610222633435173,0.018012870520158042,0.6569641093184063,0.6372112283695774,-1.0,-1.0,0.0,0.6527465584486593,0.6527465584486593,0.2062250851449159,0.20368266448993955,-0.0025424206549763406,0.6527465584486593,0.6527465584486593,0.6372112283695774,0.20236153314489214,0.18947691939745037,-0.012884613747441764,0.6527465584486593,0.6527465584486593,0.6492756472481968
4,10013411946,0.5230990753430599,0.48094597830291197,0.49695030848464605,0.3695958392025138,0.6056909722944984,0.5230990753430599,0.5674863864504002,0.6301073860660031,0.6068529912292184,9,0.09159746766090393,0.288419246673584,0.06785956025123596,0.24230259906036525,0.42529450527418555,0.5828631913513019,0.9160307228009608,0.7796445880452343,0.5900231186224489,0.5077128507653061,0.8604965377470023,3.7990437379558886,1,1,19246.0,16791.0,0.5776084065437317,0.023054582998156548,0.39933711290359497,False,True,False,False,False,0.0055886548943817616,0.022605735808610916,0.017017080914229155,0.48094597830291197,0.5018437998789146,-0.995218702703695,-0.9925940158899887,0.0026246868137062007,0.48094597830291197,0.5018437998789146,-0.5900231186224489,-0.5077128507653061,0.0823102678571428,0.48094597830291197,0.5018437998789146,0.2824422493695769,0.29327833413523746,0.010836084765660559,0.48094597830291197,0.5018437998789146,-1.0,-1.0,0.0,0.5230990753430599,0.5230990753430599,0.17281814176739746,0.18660233354033356,0.013784191772936105,0.48094597830291197,0.5018437998789146,0.5018437998789146,0.17930818097603884,0.1790315191396762,-0.0002766618363626572,0.5230990753430599,0.5230990753430599,0.4887302179357383
5,10016382545,0.6273317650177264,0.4964880422120195,0.6053913335572724,0.3830998068784156,0.6365752715985514,0.6273317650177264,0.6468058750663599,0.68715349279265,0.6734522364366421,9,0.05889339745044708,0.18717718124389648,0.04323456436395645,0.24780745332569826,0.43845325990707507,0.5844106295061682,0.9570069071630278,0.735141012124407,0.5852798150510204,0.46432557397959184,0.7933394626621718,15.886987530193748,1,1,21636.0,16562.0,0.5162116289138794,0.02021375112235546,0.4635745584964752,False,True,False,False,False,0.005723058246076107,0.023417705669999123,0.017694647423923016,0.4964880422120195,0.5500855578370979,-0.9953269054233465,-0.993426415101664,0.0019004903216824909,0.4964880422120195,0.5500855578370979,-0.5852798150510204,-0.46432557397959184,0.1209542410714286,0.4964880422120195,0.5500855578370979,0.28062235558628895,0.29913912433476464,0.018516768748475687,0.4964880422120195,0.5500855578370979,-1.0,-1.0,0.0,0.6273317650177264,0.6273317650177264,0.15512412954412597,0.17020681833428364,0.015082688790157672,0.4964880422120195,0.5500855578370979,0.5500855578370979,0.16120725139411402,0.17048242008314657,0.009275168689032554,0.4964880422120195,0.5500855578370979,0.5495362923924575
6,10031203703,0.8400152418279306,0.8113295755082414,0.8283055801356823,0.4386279882830955,0.8394592499850951,0.8400152418279306,0.8423166234121021,0.8496242570239062,0.8397536277273202,14,0.05614836886525154,0.1732780635356903,0.037531860172748566,0.2321782325578767,0.40750747271233184,0.5532772343652975,0.9615423265824876,0.9489651928504234,0.7407525510204082,0.7456752232142857,1.0066455015066724,3.9220068425193775,1,2,32176.0,31731.0,0.6011537313461304,0.02932732179760933,0.3695189654827118,False,False,True,False,False,0.005409377161413431,0.02145574241876602,0.01604636525735259,0.8113295755082414,0.8273020134228188,-0.9952175784270068,-0.99371897819702,0.001498600229986713,0.8113295755082414,0.8273020134228188,-0.7407525510204082,-0.7456752232142857,-0.004922672193877542,0.8400152418279306,0.8400152418279306,0.25912858388870247,0.26095347377778855,0.0018248898890860787,0.8113295755082414,0.8273020134228188,-1.0,-2.0,-1.0,0.8400152418279306,0.8400152418279306,0.2443070803508145,0.2845481423971198,0.04024106204630529,0.8113295755082414,0.8273020134228188,0.8273020134228188,0.23839469922343604,0.2636620984680621,0.025267399244626065,0.8113295755082414,0.8273020134228188,0.8350481789972236
7,10035917404,0.681939433971851,0.638945962605301,0.6680251662039277,0.508176646171901,0.6950018557466288,0.681939433971851,0.6920033104019034,0.6987954830614805,0.6952017175953665,6,0.07178059220314026,0.20666050910949707,0.04645979404449463,0.2224912779281671,0.39191546548577777,0.5397112008000611,0.9569384448376438,0.9156222023276633,0.7069913903061225,0.6576450892857143,0.9302024017590348,2.5156075502438795,1,1,27847.0,25797.0,0.7353013753890991,0.01374074723571539,0.2509579062461853,False,False,True,False,False,0.005447861738502979,0.022042756900191307,0.016594895161688328,0.638945962605301,0.6630011949861433,-0.9956932821057775,-0.9947432053872661,0.0009500767185113279,0.638945962605301,0.6630011949861433,-0.7069913903061225,-0.6576450892857143,0.049346301020408156,0.638945962605301,0.6630011949861433,0.2621754899950128,0.2676587111170566,0.005483221122043802,0.638945962605301,0.6630011949861433,-1.0,-1.0,0.0,0.681939433971851,0.681939433971851,0.19531133784929744,0.18108136526928886,-0.014229972580008576,0.681939433971851,0.681939433971851,0.6630011949861433,0.21340155919644832,0.19228182300854768,-0.02111973618790064,0.681939433971851,0.681939433971851,0.6630011949861433
8,10045181004,0.6421705522040332,0.6054505104305371,0.6371030145376118,0.47009041735693896,0.6487230800301099,0.6421705522040332,0.7311568059430927,0.7323670511381035,0.5955197498130397,3,0.09256147593259811,0.26720336079597473,0.0543920062482357,0.211067447832447,0.3813600260128366,0.5230887598925215,0.967338350338009,0.7143741190222436,0.5791214923469388,0.41470025510204084,0.7160850712368367,14.558081524812133,1,1,21525.0,17519.0,0.424621045589447,0.020511865615844727,0.5548670887947083,False,False,True,False,False,0.0057569509372115135,0.02332681603729725,0.017569865100085735,0.6054505104305371,0.6350149841879563,-0.9954713203791459,-0.9917710252564826,0.003700295122663233,0.6054505104305371,0.6350149841879563,-0.5791214923469388,-0.41470025510204084,0.16442123724489793,0.6054505104305371,0.6350149841879563,0.2806832787250814,0.3117626358957506,0.031079357170669175,0.6054505104305371,0.6350149841879563,-1.0,-1.0,0.0,0.6421705522040332,0.6421705522040332,0.18098549933181252,0.20119377275625377,0.02020827342444126,0.6054505104305371,0.6350149841879563,0.6350149841879563,0.18373774221234102,0.20012419305623697,0.01638645084389595,0.6054505104305371,0.6350149841879563,0.6350149841879563
9,10060697266,0.86928011404134,0.7855379938216113,0.8191800760087329,0.5993507258078081,0.7931000313785074,0.86928011404134,0.8881515503179092,0.8880627450980392,0.8616522586143918,5,0.06053362041711807,0.20395460724830627,0.04802890494465828,0.266965973482257,0.4668566470589286,0.6112149785349328,0.9775833380943915,0.8405468467580269,0.6051698022959183,0.5110212053571429,0.844426148526264,6.724088467440135,1,1,28243.0,24496.0,0.47100725769996643,0.027089640498161316,0.5019031167030334,False,False,True,False,False,0.0058330390602350235,0.023050891235470772,0.01721785217523575,0.7855379938216113,0.7875362640498422,-0.9942030607790445,-0.9905841125036011,0.003618948275443401,0.7855379938216113,0.7875362640498422,-0.6051698022959183,-0.5110212053571429,0.09414859693877542,0.7855379938216113,0.7875362640498422,0.28283942384491223,0.305678570552265,0.022839146707352764,0.7855379938216113,0.7875362640498422,-1.0,-1.0,0.0,0.86928011404134,0.86928011404134,0.23868154594865976,0.2726221434501388,0.03394059750147904,0.7855379938216113,0.7875362640498422,0.7875362640498422,0.252347439142632,0.28260865354281206,0.030261214400180036,0.7855379938216113,0.7875362640498422,0.7875362640498422
