sample_index,sample_id,group,correction_type,area_AUD,area_IMG,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG
7,-4bPiXbovf0_000008,OGL_RESCUE,SHRINK,0.6098533163265306,0.4533840880102041,11.96736563085064,1,1,11372.0,11328.0
49,-Vo4CAMX26U_000030,IMG_ONLY,MIXED,0.36075015943877553,0.3501674107142857,8.576712851787942,1,1,11037.0,11349.0
49,-Vo4CAMX26U_000030,OGL_RESCUE,MIXED,0.36075015943877553,0.3501674107142857,8.576712851787942,1,1,11037.0,11349.0
58,-_QPd-VskKY_000030,OGL_RESCUE,SHRINK,0.5165019132653061,0.40517378826530615,6.72037916270698,1,1,10879.0,10142.0
73,-hYRFCQdbLg_000030,IMG_ONLY,SHRINK,0.28041294642857145,0.23405612244897958,6.327741211410992,1,1,7244.0,6957.0
73,-hYRFCQdbLg_000030,OGL_RESCUE,SHRINK,0.28041294642857145,0.23405612244897958,6.327741211410992,1,1,7244.0,6957.0
84,-oGJwGEsIiA_000090,OGL_RESCUE,MIXED,0.5532326211734694,0.5590322066326531,2.629651367924,1,1,11069.0,11579.0
86,-oSzD8P2BtU_000030,IMG_ONLY,SHRINK,0.3623644770408163,0.30823501275510207,4.325497448479402,1,1,9114.0,8839.0
86,-oSzD8P2BtU_000030,OGL_RESCUE,SHRINK,0.3623644770408163,0.30823501275510207,4.325497448479402,1,1,9114.0,8839.0
119,076qdKSC8nU_000030,IMG_ONLY,SHRINK,0.483577806122449,0.30428890306122447,5.786882619941166,1,1,11704.0,9210.0
119,076qdKSC8nU_000030,OGL_RESCUE,SHRINK,0.483577806122449,0.30428890306122447,5.786882619941166,1,1,11704.0,9210.0
155,0T966F09Q_8_000000,OGL_RESCUE,MIXED,0.39196029974489793,0.39034598214285715,4.610496387423159,1,1,8426.0,8441.0
176,0hfU27A6tus_000070,IMG_ONLY,MIXED,0.3010204081632653,0.2763073979591837,7.039164838962756,4,1,10837.0,10949.0
211,130v5XJl8G0_000070,IMG_ONLY,SHRINK,0.6354830994897959,0.4658203125,18.456044541935587,1,1,18830.0,17679.0
226,19r6_MQei4M_000119,OGL_RESCUE,MIXED,0.3776307397959184,0.388851243622449,2.6579653473295517,1,1,7000.0,7000.0
230,1ETrMAVZdY8_000030,IMG_ONLY,MIXED,0.3755381058673469,0.36617107780612246,5.6520170015755395,1,1,16991.0,17874.0
240,1JsIcP2nXMw_000108,OGL_RESCUE,MIXED,0.35841836734693877,0.3705955038265306,1.9855269812872014,1,1,6844.0,6844.0
247,1Qvce8w_Vds_000011,IMG_ONLY,SHRINK,0.4591039540816326,0.25021922831632654,18.229629927422803,1,1,14715.0,11935.0
263,1_xoCNmTn3Y_000012,OGL_RESCUE,MIXED,0.34193638392857145,0.3569834183673469,1.4298087133298456,1,1,8378.0,8378.0
296,1vrJPFfLMvA_000233,OGL_RESCUE,MIXED,0.2100406568877551,0.19925860969387754,1.5608599146100477,1,1,5582.0,5612.0
300,1xS-iGBR2b8_000014,OGL_RESCUE,MIXED,0.3812779017857143,0.393734056122449,2.199185308861079,1,1,9203.0,9126.0
304,1yWGmdevTuM_000030,OGL_RESCUE,SHRINK,0.4585658482142857,0.36796476403061223,8.987164291075882,1,1,9675.0,7450.0
309,21I0YiLHzvg_000038,OGL_RESCUE,MIXED,0.8181999362244898,0.7651666135204082,4.3644400274434805,1,1,21171.0,20393.0
351,2U5f3uTl7qg_000167,IMG_ONLY,SHRINK,0.3285634566326531,0.18183992346938777,21.371384123251808,1,1,6170.0,5983.0
351,2U5f3uTl7qg_000167,OGL_RESCUE,SHRINK,0.3285634566326531,0.18183992346938777,21.371384123251808,1,1,6170.0,5983.0
353,2VFVe0RCn7g_000010,IMG_ONLY,EXPAND,0.1932796556122449,0.2375438456632653,4.7620530542169135,1,1,9698.0,11919.0
358,2W4dw8XuetE_000050,OGL_RESCUE,MIXED,0.7085857780612245,0.6676698022959183,4.009940899497279,1,1,16555.0,16530.0
366,2_RltCGlGOA_000010,OGL_RESCUE,SHRINK,0.48995535714285715,0.3891501913265306,12.60025818219048,1,1,4617.0,4460.0
381,2ke9wf3Ajkg_000080,OGL_RESCUE,SHRINK,0.34193638392857145,0.2612802933673469,7.723043873323925,1,1,12161.0,10427.0
390,2ro_sQ7_vUM_000024,IMG_ONLY,EXPAND,0.3547512755102041,0.39939413265306123,4.336900854011286,1,1,17304.0,19488.0
395,2vcA_vgImHQ_000020,OGL_RESCUE,SHRINK,0.6313974808673469,0.5473333864795918,4.417238740749345,1,1,12596.0,12587.0
403,3-qCp_EP-5Q_000234,IMG_ONLY,SHRINK,0.4304049744897959,0.29709422831632654,34.78013037519654,1,1,7600.0,7600.0
403,3-qCp_EP-5Q_000234,OGL_RESCUE,SHRINK,0.4304049744897959,0.29709422831632654,34.78013037519654,1,1,7600.0,7600.0
406,31O2j4aAgYU_000030,IMG_ONLY,MIXED,0.2667211415816326,0.24344308035714285,4.015822275314986,1,1,6363.0,6352.0
425,3H3261x-QgI_000030,IMG_ONLY,SHRINK,0.5857382015306123,0.49716996173469385,8.403721374529102,1,1,14129.0,14010.0
425,3H3261x-QgI_000030,OGL_RESCUE,SHRINK,0.5857382015306123,0.49716996173469385,8.403721374529102,1,1,14129.0,14010.0
426,3HgbEKrbA9s_000054,OGL_RESCUE,SHRINK,0.33693399234693877,0.23102678571428573,22.15056068618986,1,1,9413.0,7249.0
445,3RSmQOcI9JI_000105,OGL_RESCUE,EXPAND,0.19194435586734693,0.4998405612244898,33.19501271015004,2,1,1803.0,13063.0
446,3RfBwL7tXuk_000188,OGL_RESCUE,SHRINK,0.6132413903061225,0.3462013711734694,15.241809964732933,2,1,14016.0,10523.0
451,3T3hm1hHCto_000228,IMG_ONLY,SHRINK,0.46293048469387754,0.29310825892857145,3.8771640505290734,1,1,9576.0,9240.0
451,3T3hm1hHCto_000228,OGL_RESCUE,SHRINK,0.46293048469387754,0.29310825892857145,3.8771640505290734,1,1,9576.0,9240.0
487,3uLmjElob2Q_000004,OGL_RESCUE,SHRINK,0.6761001275510204,0.5482501594387755,2.8809494303446397,1,1,13953.0,12933.0
490,3vLc6D64xcs_000330,OGL_RESCUE,SHRINK,0.3774912308673469,0.337711256377551,9.999967145051194,2,2,7468.0,7540.0
495,4-SlE4qtKvw_000222,OGL_RESCUE,MIXED,0.3606505102040816,0.3829719387755102,2.757277793163879,1,1,7840.0,7840.0
496,4-SlE4qtKvw_000239,OGL_RESCUE,MIXED,0.3687220982142857,0.3926379145408163,6.059608402637609,1,1,8949.0,9086.0
518,4IJCSuJoo9o_000002,IMG_ONLY,SHRINK,0.6489556760204082,0.33266900510204084,25.080753470791755,1,1,15760.0,11150.0
518,4IJCSuJoo9o_000002,OGL_RESCUE,SHRINK,0.6489556760204082,0.33266900510204084,25.080753470791755,1,1,15760.0,11150.0
536,4Vq6WDtxTt4_000030,OGL_RESCUE,SHRINK,0.4889987244897959,0.4335140306122449,5.671173968737002,1,1,8136.0,8136.0
567,4tHvsHkl8L0_000027,IMG_ONLY,SHRINK,0.381656568877551,0.31580835459183676,4.032170221529635,1,1,11023.0,10475.0
567,4tHvsHkl8L0_000027,OGL_RESCUE,SHRINK,0.381656568877551,0.31580835459183676,4.032170221529635,1,1,11023.0,10475.0
602,5FEZg17q5hA_000260,OGL_RESCUE,MIXED,0.4312220982142857,0.39255819515306123,3.356103280341422,1,1,9941.0,9877.0
629,5VCZHHd4UKI_000098,IMG_ONLY,MIXED,0.2978515625,0.28310347576530615,5.109968701863083,1,1,7486.0,7465.0
629,5VCZHHd4UKI_000098,OGL_RESCUE,MIXED,0.2978515625,0.28310347576530615,5.109968701863083,1,1,7486.0,7465.0
676,68jDXIGUBMo_000082,OGL_RESCUE,MIXED,0.5790218431122449,0.5435267857142857,1.0813941261788422,1,1,13351.0,13351.0
696,6GoWuxmiXRc_000070,OGL_RESCUE,MIXED,0.45701132015306123,0.4236686862244898,2.6019675837808407,2,1,9980.0,9165.0
698,6HQqly6duac_000199,IMG_ONLY,SHRINK,0.4824816645408163,0.21344866071428573,45.389651652504114,1,1,6825.0,6825.0
702,6KiFICzs6UI_000150,OGL_RESCUE,SHRINK,0.345523756377551,0.2592873086734694,17.93258369640472,1,1,8022.0,7135.0
707,6P6z2S6XLIs_000264,OGL_RESCUE,MIXED,0.5658282844387755,0.5445830676020408,6.497907649425707,1,1,18481.0,17026.0
754,6vl7eSBL-ag_000090,IMG_ONLY,SHRINK,0.5789620535714286,0.3275868941326531,3.888688289775427,1,1,14331.0,12308.0
754,6vl7eSBL-ag_000090,OGL_RESCUE,SHRINK,0.5789620535714286,0.3275868941326531,3.888688289775427,1,1,14331.0,12308.0
757,6wRJg4fbELE_000196,OGL_RESCUE,SHRINK,0.7192482461734694,0.5354153380102041,16.038850910186433,1,1,12646.0,11515.0
772,74p3DLeDCHE_000030,IMG_ONLY,SHRINK,0.28677056760204084,0.20721061862244897,9.954419950962437,1,1,5481.0,5413.0
785,7Gua0-UrKIw_000030,IMG_ONLY,SHRINK,0.5778260522959183,0.36033163265306123,30.829628944093017,1,1,13716.0,12409.0
785,7Gua0-UrKIw_000030,OGL_RESCUE,SHRINK,0.5778260522959183,0.36033163265306123,30.829628944093017,1,1,13716.0,12409.0
809,7UoFNdp0UYg_000020,OGL_RESCUE,EXPAND,0.5196308992346939,0.6290258290816326,3.8383691396317117,1,1,11862.0,11826.0
