sample_index,sample_id,IoU_AUD,IoU_IMG,IoU_IQR,IoU_OBJ,IoU_OGL,IoU_SAMPLE_ORACLE,IoU_PIXEL_ORACLE,IoU_BINARY_PIXEL_ORACLE,IoU_REGION_ORACLE,region_oracle_components,disagreement_mean,disagreement_max,disagreement_std,disagreement_top10_mass,disagreement_top20_mass,disagreement_top30_mass,AUD_IMG_Pearson,mask_IoU,area_AUD,area_IMG,area_ratio_IMG_AUD,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG,energy_GT_INTERIOR,energy_GT_BOUNDARY_1PX,energy_GT_EXTERIOR,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,E_AUD_CTRL_RAW_PEAK,E_IMG_CTRL_RAW_PEAK,DELTA_CTRL_RAW_PEAK,IoU_SAMPLE_CTRL_RAW_PEAK,IoU_D20_CTRL_RAW_PEAK,E_AUD_CTRL_NEG_ENTROPY,E_IMG_CTRL_NEG_ENTROPY,DELTA_CTRL_NEG_ENTROPY,IoU_SAMPLE_CTRL_NEG_ENTROPY,IoU_D20_CTRL_NEG_ENTROPY,E_AUD_CTRL_NEG_AREA,E_IMG_CTRL_NEG_AREA,DELTA_CTRL_NEG_AREA,IoU_SAMPLE_CTRL_NEG_AREA,IoU_D20_CTRL_NEG_AREA,E_AUD_CTRL_TOP20_CONCENTRATION,E_IMG_CTRL_TOP20_CONCENTRATION,DELTA_CTRL_TOP20_CONCENTRATION,IoU_SAMPLE_CTRL_TOP20_CONCENTRATION,IoU_D20_CTRL_TOP20_CONCENTRATION,E_AUD_CTRL_NEG_COMPONENTS,E_IMG_CTRL_NEG_COMPONENTS,DELTA_CTRL_NEG_COMPONENTS,IoU_SAMPLE_CTRL_NEG_COMPONENTS,IoU_D20_CTRL_NEG_COMPONENTS,E_AUD_SEMANTIC_SLOT,E_IMG_SEMANTIC_SLOT,DELTA_SEMANTIC_SLOT,IoU_SAMPLE_SEMANTIC_SLOT,IoU_D20_SEMANTIC_SLOT,IoU_LOCAL20_SEMANTIC_SLOT,E_AUD_RECIPROCAL_L4,E_IMG_RECIPROCAL_L4,DELTA_RECIPROCAL_L4,IoU_SAMPLE_RECIPROCAL_L4,IoU_D20_RECIPROCAL_L4,IoU_LOCAL20_RECIPROCAL_L4
0,-0BIyqJj9ZU_000030,0.299209068494028,0.25156669650850494,0.29972884655496074,0.42272030651340997,0.34181855912565284,0.299209068494028,0.3566139989313793,0.3566139989313793,0.2573849324479047,2,0.10887396335601807,0.27704477310180664,0.07169583439826965,0.2236724758587159,0.4010099643979791,0.5493928645839854,0.9278892420303966,0.7165237750921049,0.5667450573979592,0.4268176020408163,0.7531033512677145,17.316096306107823,1,1,9344.0,6744.0,0.34720754623413086,0.01905694790184498,0.6337355971336365,False,False,False,True,False,0.005434277933090925,0.021759092807769775,0.01632481487467885,0.25156669650850494,0.22085447700114585,-0.9924103876441988,-0.9886140568730835,0.003796330771115297,0.25156669650850494,0.22085447700114585,-0.5667450573979592,-0.4268176020408163,0.1399274553571429,0.25156669650850494,0.22085447700114585,0.2959486577230547,0.3294554473439842,0.03350678962092951,0.25156669650850494,0.22085447700114585,-1.0,-1.0,0.0,0.299209068494028,0.299209068494028,0.2397148180415838,0.25674877715376104,0.017033959112177255,0.25156669650850494,0.22085447700114585,0.22085447700114585,0.26028880855127695,0.26054244359018625,0.0002536350389092945,0.25156669650850494,0.22085447700114585,0.22085447700114585
1,-0UuUoXQUoI_000107,0.6284455632473254,0.500818094321463,0.5812614051094891,0.2959703984477235,0.45500074378935884,0.6284455632473254,0.663687853996224,0.663687853996224,0.6481653363034465,8,0.067839115858078,0.21931546926498413,0.04508526623249054,0.23123767294551964,0.40245863560112116,0.545337833986257,0.9664797687194355,0.6984460990611848,0.26076211734693877,0.36660953443877553,1.4059156221339042,22.211506226299946,1,1,9986.0,10407.0,0.18269167840480804,0.012792317196726799,0.8045160174369812,False,False,True,False,False,0.005831575486809015,0.023610517382621765,0.01777894189581275,0.500818094321463,0.6020082693443591,-0.9908616098785747,-0.9841675703060763,0.006694039572498478,0.500818094321463,0.6020082693443591,-0.26076211734693877,-0.36660953443877553,-0.10584741709183676,0.6284455632473254,0.6284455632473254,0.32896595752117935,0.35581985563704055,0.026853898115861197,0.500818094321463,0.6020082693443591,-1.0,-1.0,0.0,0.6284455632473254,0.6284455632473254,0.2152905429239212,0.27934181061995117,0.06405126769602998,0.500818094321463,0.6020082693443591,0.6020082693443591,0.21474729431456452,0.2707423829926948,0.0559950886781303,0.500818094321463,0.6020082693443591,0.6284455632473254
2,-2-wdcN5vOw_000017,0.6180354539500095,0.5655701148937073,0.5951922058667797,0.3897850673635831,0.5247595067467234,0.6180354539500095,0.6212117994350882,0.6212117994350882,0.6195177761769567,4,0.04472259432077408,0.197771817445755,0.043341509997844696,0.32666524008623427,0.524624096088729,0.6708952212644875,0.9915865786756368,0.9111952339580489,0.6422991071428571,0.5852598852040817,0.911195233958049,3.9417712023639333,1,1,29251.0,26631.0,0.8091762065887451,0.03167320787906647,0.159150630235672,False,False,True,False,False,0.005503484979271889,0.022198712453246117,0.016695227473974228,0.5655701148937073,0.6151034293320937,-0.994491753557108,-0.9909409123974463,0.003550841159661644,0.5655701148937073,0.6151034293320937,-0.6422991071428571,-0.5852598852040817,0.05703922193877542,0.5655701148937073,0.6151034293320937,0.2789616618203867,0.2967221015183795,0.017760439697992847,0.5655701148937073,0.6151034293320937,-1.0,-1.0,0.0,0.6180354539500095,0.6180354539500095,0.24402341043846365,0.2763382218908581,0.032314811452394454,0.5655701148937073,0.6151034293320937,0.6151034293320937,0.23958859179200315,0.27060417672788906,0.03101558493588591,0.5655701148937073,0.6151034293320937,0.6151034293320937
3,-23CeprtibU_000030,0.35660546925150854,0.3180734517795311,0.34407841287312946,0.3822492636051958,0.39265782767186036,0.35660546925150854,0.396437542817995,0.396437542817995,0.38657239881979627,10,0.09851064532995224,0.2713918089866638,0.06421850621700287,0.2194997945144981,0.39680298265899666,0.5445362521181923,0.922457213481976,0.8241655886157827,0.7662627551020408,0.6388711734693877,0.8337494798168955,3.874091628650822,1,1,13888.0,11207.0,0.36746442317962646,0.022638952359557152,0.609896719455719,False,False,False,True,False,0.0052998848259449005,0.02121616154909134,0.01591627672314644,0.3180734517795311,0.31295253419147223,-0.9963286441747271,-0.9935820982574927,0.002746545917234444,0.3180734517795311,0.31295253419147223,-0.7662627551020408,-0.6388711734693877,0.12739158163265307,0.3180734517795311,0.31295253419147223,0.2568474800748144,0.28014361228018936,0.023296132205374964,0.3180734517795311,0.31295253419147223,-1.0,-1.0,0.0,0.35660546925150854,0.35660546925150854,0.1880861441309165,0.20783634477347657,0.019750200642560056,0.3180734517795311,0.31295253419147223,0.31295253419147223,0.1928837631148529,0.20257663889161925,0.009692875776766363,0.3180734517795311,0.31295253419147223,0.3129441420181813
4,-2Dm0VjW8oM_000001,0.5905244122965642,0.5328180918297418,0.5621723399542199,0.5322961463867105,0.5793792781580585,0.5905244122965642,0.6216401431508414,0.6216401431508414,0.5905244122965642,1,0.0984172597527504,0.2982420325279236,0.06837010383605957,0.23572771908575044,0.4160532861154209,0.5625640089395176,0.9818633958190196,0.8275174013921114,0.42948820153061223,0.3554089604591837,0.8275174013921114,4.384317252888594,1,1,16328.0,13995.0,0.30615800619125366,0.024422654882073402,0.6694193482398987,False,False,True,False,False,0.005743212066590786,0.02362310327589512,0.017879891209304333,0.5328180918297418,0.576753987574029,-0.9914858309594701,-0.9809114735628912,0.01057435739657886,0.5328180918297418,0.576753987574029,-0.42948820153061223,-0.3554089604591837,0.07407924107142855,0.5328180918297418,0.576753987574029,0.3225523538910877,0.38156609018681786,0.059013736295730146,0.5328180918297418,0.576753987574029,-1.0,-1.0,0.0,0.5905244122965642,0.5905244122965642,0.28868410326651006,0.35294679195688916,0.0642626886903791,0.5328180918297418,0.576753987574029,0.576753987574029,0.2813279060116304,0.34063735198330297,0.05930944597167259,0.5328180918297418,0.576753987574029,0.576753987574029
5,-2sOH8XovEE_000484,0.15380407338831847,0.12690531578764627,0.14119055896782168,0.20038377192982457,0.1596767147225863,0.15380407338831847,0.15381701876946385,0.15381701876946385,0.15381701876946385,4,0.05475126579403877,0.1594761610031128,0.03892553970217705,0.23832081401092875,0.4259016214454184,0.5752936461414571,0.9768547604758067,0.8249835086622921,0.47361288265306123,0.5739995216836735,1.2119592661168155,1.892659265363561,1,1,3655.0,3655.0,0.029936525970697403,0.0060549029149115086,0.9640085101127625,False,False,False,True,False,0.005578032694756985,0.022450540214776993,0.016872507520020008,0.12690531578764627,0.13166900824957672,-0.9902737558917831,-0.990038164281857,0.00023559160992614459,0.12690531578764627,0.13166900824957672,-0.47361288265306123,-0.5739995216836735,-0.10038663903061229,0.15380407338831847,0.15380407338831847,0.3138447827913336,0.29879809558173803,-0.015046687209595566,0.15380407338831847,0.15380407338831847,-1.0,-1.0,0.0,0.15380407338831847,0.15380407338831847,0.25611697670803885,0.2831195127313258,0.02700253602328695,0.12690531578764627,0.13166900824957672,0.13166900824957672,0.25317949127834616,0.2750918568471098,0.021912365568763637,0.12690531578764627,0.13166900824957672,0.13261973875181424
6,-3Kv4fdm7Uk_000030,0.21268510538274701,0.4332801276935355,0.277159485399224,0.2927117841930904,0.26331360946745563,0.4332801276935355,0.4334877036090706,0.4334877036090706,0.4334877036090706,2,0.14891237020492554,0.31473368406295776,0.07632792741060257,0.17887030380170563,0.3317808060512868,0.4705144503782083,0.9374850968531038,0.4905216982610058,0.5087292729591837,0.24972098214285715,0.49087205202538586,36.29387615352454,1,4,5429.0,5429.0,0.03175923228263855,0.00474915374070406,0.9634914994239807,False,False,False,True,False,0.00572787132114172,0.022865599021315575,0.017137727700173855,0.4332801276935355,0.22494302879635383,-0.9953036465555545,-0.9873889280702056,0.00791471848534886,0.4332801276935355,0.22494302879635383,-0.5087292729591837,-0.24972098214285715,0.25900829081632654,0.4332801276935355,0.22494302879635383,0.2837319598812195,0.3573239583807442,0.07359199849952469,0.4332801276935355,0.22494302879635383,-1.0,-4.0,-3.0,0.21268510538274701,0.21268510538274701,0.16893773011970192,0.22414133220903482,0.05520360208933289,0.4332801276935355,0.22494302879635383,0.22494302879635383,0.1742453260886866,0.2235986466864644,0.049353320597777806,0.4332801276935355,0.22494302879635383,0.22494302879635383
7,-4bPiXbovf0_000008,0.3683596786732314,0.49113375243876,0.4086641823133152,0.7401919732010565,0.5110013669033027,0.49113375243876,0.4968542543498069,0.4968542543498069,0.49113375243876,2,0.09889506548643112,0.24746471643447876,0.0636255219578743,0.2093827299439479,0.38353023901622485,0.5383447961699305,0.9664520679429237,0.7379222725347754,0.6098533163265306,0.4533840880102041,0.7434313725490196,11.96736563085064,1,1,11372.0,11328.0,0.10668493807315826,0.0159139521420002,0.8774010539054871,False,False,False,True,True,0.005542990285903215,0.021942907944321632,0.016399917658418417,0.49113375243876,0.39274736660335,-0.9941845332570567,-0.9892271802025965,0.004957353054460212,0.49113375243876,0.39274736660335,-0.6098533163265306,-0.4533840880102041,0.15646922831632654,0.49113375243876,0.39274736660335,0.28547446731032605,0.3200650643652837,0.03459059705495765,0.49113375243876,0.39274736660335,-1.0,-1.0,0.0,0.3683596786732314,0.3683596786732314,0.22750346819735923,0.24744602503364027,0.019942556836281045,0.49113375243876,0.39274736660335,0.39274736660335,0.22752378759389352,0.2417526484751965,0.014228860881302985,0.49113375243876,0.39274736660335,0.39274736660335
8,-5CGQGSFGyg_000060,0.2660986547085202,0.42615760713258555,0.3601602330662782,0.40824329731892756,0.35866279772699794,0.42615760713258555,0.43706267953156075,0.43706267953156075,0.4365471017161376,4,0.11808634549379349,0.3797506093978882,0.07766246050596237,0.22884289987232753,0.4045965094182222,0.5495640088458367,0.937301110664751,0.5996199902788211,0.44443558673469385,0.2770448022959184,0.6233632286995516,22.698489710431755,1,1,5934.0,5927.0,0.04296678677201271,0.005618284922093153,0.9514148831367493,False,False,False,True,False,0.005678883288055658,0.023119211196899414,0.017440327908843756,0.42615760713258555,0.29647764176867347,-0.9950242192429394,-0.9873936604797451,0.007630558763194295,0.42615760713258555,0.29647764176867347,-0.44443558673469385,-0.2770448022959184,0.16739078443877548,0.42615760713258555,0.29647764176867347,0.29428636834489175,0.35363271915527583,0.059346350810384085,0.42615760713258555,0.29647764176867347,-1.0,-1.0,0.0,0.2660986547085202,0.2660986547085202,0.16734212913430058,0.22266380247154455,0.05532167333724397,0.42615760713258555,0.29647764176867347,0.29647764176867347,0.16721653862413183,0.2156521113192273,0.048435572695095463,0.42615760713258555,0.29647764176867347,0.2961816820564013
9,-5z9IXBJefc_000227,0.23364234851538357,0.272206463095834,0.26163964990418975,0.1534697508896797,0.22880606908742726,0.272206463095834,0.29112723214285713,0.29112723214285713,0.27310267857142856,2,0.1276482492685318,0.2802257239818573,0.0820763111114502,0.1872401800085808,0.3545043412571718,0.5102878173214316,0.9597349156514859,0.747203461376108,0.3765345982142857,0.28340242346938777,0.7526597152384482,16.42435209851241,1,1,5217.0,4894.0,0.06264576315879822,0.011071313172578812,0.9262829422950745,False,False,False,True,False,0.005859417840838432,0.024746380746364594,0.01888696290552616,0.272206463095834,0.23768736616702354,-0.9944718137848668,-0.9835568574255091,0.010914956359357686,0.272206463095834,0.23768736616702354,-0.3765345982142857,-0.28340242346938777,0.09313217474489793,0.272206463095834,0.23768736616702354,0.2999851179573969,0.38551941548671437,0.08553429752931746,0.272206463095834,0.23768736616702354,-1.0,-1.0,0.0,0.23364234851538357,0.23364234851538357,0.1892133714460661,0.268937179463833,0.0797238080177669,0.272206463095834,0.23768736616702354,0.23768736616702354,0.17868956461566804,0.24688826548654647,0.06819870087087843,0.272206463095834,0.23768736616702354,0.23766570999043324
