sample_index,sample_id,IoU_AUD,IoU_IMG,IoU_IQR,IoU_OBJ,IoU_OGL,Y_IMG_BETTER,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,correction_type,S_ORIGINAL,S_KEEP_A_BLUR,S_KEEP_I_BLUR,S_REMOVE_A_BLUR,S_REMOVE_I_BLUR,S_REMOVE_A_EXTRA_BLUR,S_REMOVE_I_EXTRA_BLUR,S_KEEP_RANDOM_BLUR,S_REMOVE_RANDOM_BLUR,DROP_A_BLUR,DROP_I_BLUR,CF_A_BLUR,CF_I_BLUR,DELTA_CF_BLUR,DELTA_KEEP_BLUR,DELTA_DROP_BLUR,DROP_A_EXTRA_BLUR,DROP_I_EXTRA_BLUR,DROP_DENSITY_A_BLUR,DROP_DENSITY_I_BLUR,CF_RANDOM_BLUR,PERTURB_BLUR_KEEP_A_mean_abs,PERTURB_BLUR_KEEP_A_L1,PERTURB_BLUR_KEEP_A_L2,PERTURB_BLUR_KEEP_I_mean_abs,PERTURB_BLUR_KEEP_I_L1,PERTURB_BLUR_KEEP_I_L2,PERTURB_BLUR_REMOVE_A_mean_abs,PERTURB_BLUR_REMOVE_A_L1,PERTURB_BLUR_REMOVE_A_L2,PERTURB_BLUR_REMOVE_I_mean_abs,PERTURB_BLUR_REMOVE_I_L1,PERTURB_BLUR_REMOVE_I_L2,S_KEEP_A_MEAN,S_KEEP_I_MEAN,S_REMOVE_A_MEAN,S_REMOVE_I_MEAN,S_REMOVE_A_EXTRA_MEAN,S_REMOVE_I_EXTRA_MEAN,S_KEEP_RANDOM_MEAN,S_REMOVE_RANDOM_MEAN,DROP_A_MEAN,DROP_I_MEAN,CF_A_MEAN,CF_I_MEAN,DELTA_CF_MEAN,DELTA_KEEP_MEAN,DELTA_DROP_MEAN,DROP_A_EXTRA_MEAN,DROP_I_EXTRA_MEAN,DROP_DENSITY_A_MEAN,DROP_DENSITY_I_MEAN,CF_RANDOM_MEAN,PERTURB_MEAN_KEEP_A_mean_abs,PERTURB_MEAN_KEEP_A_L1,PERTURB_MEAN_KEEP_A_L2,PERTURB_MEAN_KEEP_I_mean_abs,PERTURB_MEAN_KEEP_I_L1,PERTURB_MEAN_KEEP_I_L2,PERTURB_MEAN_REMOVE_A_mean_abs,PERTURB_MEAN_REMOVE_A_L1,PERTURB_MEAN_REMOVE_A_L2,PERTURB_MEAN_REMOVE_I_mean_abs,PERTURB_MEAN_REMOVE_I_L1,PERTURB_MEAN_REMOVE_I_L2,A20_area_14,I20_area_14,A20_area_input,I20_area_input,A20_I20_IoU,R_A_PLUS_area,R_I_PLUS_area,AUD_EXTRA_EXTERIOR_AREA,AUD_EXTRA_EXTERIOR_FRACTION,IoU_CF_BLUR,IoU_CF_MEAN,IoU_CF_CONSENSUS
0,10000130166,0.7799756972899652,0.7042819190498515,0.7858076677510565,0.3419621084224348,0.7098819277859123,False,False,False,True,False,False,SHRINK,0.3509824872016907,0.26125118136405945,0.25561657547950745,0.296430379152298,0.30007803440093994,0.331775963306427,0.3509761691093445,0.28602778911590576,0.32895150780677795,0.0545521080493927,0.05090445280075073,-0.035179197788238525,-0.044461458921432495,-0.00928226113319397,-0.005634605884552002,-0.0036476552486419678,0.019206523895263672,6.318092346191406e-06,0.0004801630973815918,0.0,-0.04292371869087219,0.1677234172821045,25247.0703125,110.0693130493164,0.17475959658622742,26306.212890625,117.21009826660156,0.07037565112113953,10593.505859375,83.60192108154297,0.06333944946527481,9534.361328125,73.25521850585938,0.2519044578075409,0.25041717290878296,0.30105435848236084,0.2948687672615051,0.3135332465171814,0.3509761691093445,0.32084333896636963,0.30718064308166504,0.049928128719329834,0.05611371994018555,-0.049149900674819946,-0.04445159435272217,0.004698306322097778,-0.0014872848987579346,0.006185591220855713,0.03744924068450928,6.318092346191406e-06,0.000936231017112732,0.0,0.01366269588470459,0.5237260460853577,78835.4375,281.40753173828125,0.5218581557273865,78554.265625,280.95751953125,0.15041175484657288,22641.181640625,157.33743286132812,0.15227970480918884,22922.359375,158.13966369628906,40,40,10240,10240,0.7391304347826086,40,0,23,0.575,0.7799756972899652,0.7042819190498515,0.7799756972899652
1,10007936344,0.643244233840354,0.7092784137994537,0.6725950440804294,0.6120944992947814,0.7530049229588901,True,False,False,True,False,False,SHRINK,0.49352848529815674,0.35557568073272705,0.36423438787460327,0.4743274748325348,0.48010146617889404,0.48280537128448486,0.4935210049152374,0.41491442918777466,0.47144800424575806,0.019201010465621948,0.013427019119262695,-0.11875179409980774,-0.11586707830429077,0.0028847157955169678,0.00865870714187622,-0.005773991346359253,0.010723114013671875,7.4803829193115234e-06,0.0002680778503417969,0.0,-0.0565335750579834,0.19690833985805511,29640.21875,167.57684326171875,0.22966428101062775,34570.90625,186.44776916503906,0.11826508492231369,17802.20703125,143.1248016357422,0.08550913631916046,12871.51953125,117.49016571044922,0.2995108366012573,0.3284296691417694,0.44283217191696167,0.4301280975341797,0.45788872241973877,0.4935210049152374,0.29451125860214233,0.3781834542751312,0.05069631338119507,0.06340038776397705,-0.14332133531570435,-0.10169842839241028,0.04162290692329407,0.028918832540512085,0.012704074382781982,0.03563976287841797,7.4803829193115234e-06,0.0008909940719604492,0.0,-0.08367219567298889,1.2911204099655151,194349.78125,597.8961791992188,1.2941683530807495,194808.578125,599.24658203125,0.3065159022808075,46139.2265625,287.55340576171875,0.3034680187702179,45680.43359375,284.7286071777344,40,40,10240,10240,0.40350877192982454,40,0,36,0.9,0.7092784137994537,0.7092784137994537,0.7092784137994537
2,10008553263,0.3685962111857362,0.3848758871635984,0.38203445447087775,0.03252355245051339,0.4255714624693506,True,False,False,False,True,False,SHRINK,0.4090505540370941,0.37993124127388,0.3397457003593445,0.3897978663444519,0.39493638277053833,0.38293731212615967,0.40904897451400757,0.3366003930568695,0.3824309706687927,0.019252687692642212,0.014114171266555786,-0.0098666250705719,-0.05519068241119385,-0.04532405734062195,-0.04018554091453552,-0.005138516426086426,0.026113241910934448,1.5795230865478516e-06,0.0006528310477733612,0.0,-0.04583057761192322,0.4159645438194275,62614.3125,241.0333709716797,0.41391006112098694,62305.0546875,237.4815216064453,0.1382879614830017,20816.2109375,149.30435180664062,0.14034247398376465,21125.47265625,154.89157104492188,0.4144469201564789,0.39647817611694336,0.4161984324455261,0.4375135898590088,0.4252548813819885,0.40904897451400757,0.39528870582580566,0.41279587149620056,-0.007147878408432007,-0.028463035821914673,-0.0017515122890472412,-0.04103541374206543,-0.03928390145301819,-0.017968744039535522,-0.021315157413482666,-0.01620432734489441,1.5795230865478516e-06,-0.0004051081836223602,0.0,-0.017507165670394897,0.8935443162918091,134503.4375,440.81158447265625,0.8831614851951599,132940.53125,438.0658874511719,0.22259095311164856,33506.171875,226.43618774414062,0.2329738885164261,35069.09375,231.70339965820312,40,40,10240,10240,0.48148148148148145,40,0,30,0.75,0.3685962111857362,0.3685962111857362,0.3685962111857362
3,10009662863,0.6527465584486593,0.6569641093184063,0.6655182386299338,0.5279820227689562,0.674903692567885,True,False,False,True,False,False,SHRINK,0.4084751009941101,0.34109586477279663,0.3569265305995941,0.3747791647911072,0.3671152889728546,0.4039313793182373,0.4084978699684143,0.32006698846817017,0.3966825008392334,0.03369593620300293,0.04135981202125549,-0.03368330001831055,-0.010188758373260498,0.02349454164505005,0.015830665826797485,0.0076638758182525635,0.004543721675872803,-2.276897430419922e-05,0.00011359304189682007,0.0,-0.07661551237106323,0.2696760892868042,40593.8046875,223.14593505859375,0.26661765575408936,40133.421875,219.06338500976562,0.1532301902770996,23065.435546875,166.4973907470703,0.15628863871097565,23525.81640625,171.8334197998047,0.3218252956867218,0.3659709095954895,0.4001408517360687,0.3814316391944885,0.40833190083503723,0.4084978699684143,0.28737813234329224,0.3543071150779724,0.008334249258041382,0.027043461799621582,-0.07831555604934692,-0.015460729598999023,0.0628548264503479,0.0441456139087677,0.0187092125415802,0.00014320015907287598,-2.276897430419922e-05,3.5800039768218994e-06,0.0,-0.06692898273468018,1.3073453903198242,196792.09375,600.3963012695312,1.30040442943573,195747.28125,598.0527954101562,0.3126630485057831,47064.54296875,293.48663330078125,0.3196040391921997,48109.359375,298.2331237792969,40,40,10240,10240,0.3793103448275862,40,0,13,0.325,0.6569641093184063,0.6569641093184063,0.6569641093184063
4,10013411946,0.5230990753430599,0.48094597830291197,0.49695030848464605,0.3695958392025138,0.6056909722944984,False,False,True,False,False,False,SHRINK,0.36748290061950684,0.2937949299812317,0.2775518298149109,0.3091248869895935,0.30446261167526245,0.36505770683288574,0.3675055205821991,0.29381322860717773,0.3831009864807129,0.05835801362991333,0.06302028894424438,-0.015329957008361816,-0.026910781860351562,-0.011580824851989746,-0.0162431001663208,0.004662275314331055,0.0024251937866210938,-2.2619962692260742e-05,6.0629844665527346e-05,0.0,-0.08928775787353516,0.22918109595775604,34498.171875,149.74732971191406,0.23047180473804474,34692.4609375,150.05332946777344,0.10325383394956589,15542.59375,123.70541381835938,0.1019631028175354,15348.302734375,123.33406829833984,0.38557958602905273,0.35512179136276245,0.3594684898853302,0.35180366039276123,0.36338087916374207,0.3675055205821991,0.3113503158092499,0.4119083285331726,0.008014410734176636,0.015679240226745605,0.026111096143722534,0.0033181309700012207,-0.022792965173721313,-0.030457794666290283,0.00766482949256897,0.0041020214557647705,-2.2619962692260742e-05,0.00010255053639411927,0.0,-0.10055801272392273,0.3625730574131012,54577.3984375,204.25718688964844,0.3633623719215393,54696.2109375,205.5814666748047,0.12951262295246124,19495.27734375,142.07809448242188,0.12872329354286194,19376.4609375,140.15509033203125,40,40,10240,10240,0.6666666666666666,40,0,11,0.275,0.5230990753430599,0.5230990753430599,0.5230990753430599
5,10016382545,0.6273317650177264,0.4964880422120195,0.6053913335572724,0.3830998068784156,0.6365752715985514,False,False,True,False,False,False,SHRINK,0.41414493322372437,0.3229053318500519,0.30181455612182617,0.3641279935836792,0.3633604049682617,0.39489811658859253,0.40987157821655273,0.31233224272727966,0.38964608311653137,0.050016939640045166,0.050784528255462646,-0.04122266173362732,-0.06154584884643555,-0.020323187112808228,-0.021090775728225708,0.0007675886154174805,0.019246816635131836,0.004273355007171631,0.0005064951746087326,0.0021366775035858154,-0.07731384038925171,0.1853087842464447,27894.16015625,149.36032104492188,0.1858534961938858,27976.15625,148.68382263183594,0.0570346973836422,8585.3193359375,75.8867416381836,0.0564899817109108,8503.32421875,77.20375061035156,0.3344881534576416,0.3193296492099762,0.38250017166137695,0.3847656548023224,0.38176149129867554,0.41426795721054077,0.26944756507873535,0.3965930640697479,0.03164476156234741,0.029379278421401978,-0.04801201820373535,-0.06543600559234619,-0.01742398738861084,-0.015158504247665405,-0.0022654831409454346,0.03238344192504883,-0.00012302398681640625,0.0008521958401328639,-6.151199340820312e-05,-0.12714549899101257,0.48992136120796204,73746.8828125,265.59417724609375,0.48781293630599976,73429.5078125,264.77655029296875,0.09953144937753677,14982.2705078125,110.44612121582031,0.10163987427949905,15299.6474609375,112.39213562011719,40,40,10240,10240,0.7777777777777778,38,2,22,0.5789473684210527,0.6273317650177264,0.6273317650177264,0.6273317650177264
6,10031203703,0.8400152418279306,0.8113295755082414,0.8283055801356823,0.4386279882830955,0.8394592499850951,False,False,False,True,False,False,MIXED,0.4006976783275604,0.38342368602752686,0.3560640215873718,0.41310250759124756,0.41833269596099854,0.40862420201301575,0.42671024799346924,0.2919166684150696,0.42174994945526123,-0.012404829263687134,-0.01763501763343811,-0.029678821563720703,-0.06226867437362671,-0.032589852809906006,-0.02735966444015503,-0.0052301883697509766,-0.007926523685455322,-0.026012569665908813,-0.0007205930623141202,-0.0008969851608934073,-0.12983328104019165,0.30429819226264954,45805.3984375,191.65084838867188,0.3306596279144287,49773.53125,204.0084991455078,0.11969128996133804,18016.890625,130.13497924804688,0.09332986176013947,14048.7578125,109.75284576416016,0.3558363914489746,0.3139173984527588,0.4332553744316101,0.43269744515419006,0.39618465304374695,0.4047466516494751,0.22001659870147705,0.4050564169883728,-0.03255769610404968,-0.03199976682662964,-0.0774189829826355,-0.11878004670143127,-0.041361063718795776,-0.04191899299621582,0.0005579292774200439,0.0045130252838134766,-0.004048973321914673,0.00041027502580122513,-0.00013961976972119561,-0.18503981828689575,0.5119047164916992,77055.9921875,271.09552001953125,0.5211446285247803,78446.859375,279.574462890625,0.15375372767448425,23144.2421875,159.84185791015625,0.1445137858390808,21753.37109375,144.50022888183594,40,40,10240,10240,0.3793103448275862,11,29,5,0.45454545454545453,0.8400152418279306,0.8400152418279306,0.8400152418279306
7,10035917404,0.681939433971851,0.638945962605301,0.6680251662039277,0.508176646171901,0.6950018557466288,False,False,False,True,False,False,MIXED,0.433692067861557,0.30879485607147217,0.2405025213956833,0.4033188223838806,0.4438328146934509,0.4093632698059082,0.4337049424648285,0.2462780922651291,0.4222732186317444,0.03037324547767639,-0.010140746831893921,-0.09452396631240845,-0.20333029329776764,-0.10880632698535919,-0.06829233467578888,-0.04051399230957031,0.024328798055648804,-1.2874603271484375e-05,0.00060821995139122,0.0,-0.1759951263666153,0.26386287808418274,39718.75390625,195.7156219482422,0.2864968776702881,43125.8046875,206.64910888671875,0.10764295607805252,16203.279296875,119.7761001586914,0.08500893414020538,12796.2255859375,99.73497772216797,0.3520524203777313,0.28456056118011475,0.42352819442749023,0.4351010322570801,0.37869423627853394,0.4337049424648285,0.21487891674041748,0.3635355234146118,0.010163873434066772,-0.0014089643955230713,-0.07147577404975891,-0.15054047107696533,-0.07906469702720642,-0.06749185919761658,-0.011572837829589844,0.05499783158302307,-1.2874603271484375e-05,0.0013749457895755768,0.0,-0.14865660667419434,0.6633680462837219,99855.46875,351.8370361328125,0.6711664199829102,101029.34375,358.11065673828125,0.2123841792345047,31969.765625,204.1298065185547,0.20458582043647766,30795.89453125,192.9120330810547,40,40,10240,10240,0.3793103448275862,40,0,7,0.175,0.681939433971851,0.681939433971851,0.681939433971851
8,10045181004,0.6421705522040332,0.6054505104305371,0.6371030145376118,0.47009041735693896,0.6487230800301099,False,False,False,True,False,False,SHRINK,0.45290544629096985,0.19130907952785492,0.17296037077903748,0.38723593950271606,0.4004096984863281,0.4434420168399811,0.45287609100341797,0.22232644259929657,0.4250677824020386,0.06566950678825378,0.052495747804641724,-0.19592685997486115,-0.22744932770729065,-0.031522467732429504,-0.018348708748817444,-0.01317375898361206,0.00946342945098877,2.9355287551879883e-05,0.00023658573627471924,0.0,-0.202741339802742,0.25880372524261475,38957.20703125,157.24713134765625,0.259858638048172,39116.0,158.14956665039062,0.0683935359120369,10295.142578125,75.2990493774414,0.06733864545822144,10136.3515625,73.38475799560547,0.22483287751674652,0.19880743324756622,0.40313583612442017,0.3898686170578003,0.43246328830718994,0.45287609100341797,0.1954648345708847,0.3661210834980011,0.04976961016654968,0.06303682923316956,-0.17830295860767365,-0.19106118381023407,-0.012758225202560425,-0.026025444269180298,0.013267219066619873,0.020442157983779907,2.9355287551879883e-05,0.0005110539495944977,0.0,-0.1706562489271164,0.5574265718460083,83908.3046875,302.3032531738281,0.5547508001327515,83505.53125,301.84112548828125,0.18036921322345734,27150.6171875,177.05026245117188,0.18304495513439178,27553.390625,177.83697509765625,40,40,10240,10240,0.8181818181818182,40,0,28,0.7,0.6421705522040332,0.6421705522040332,0.6421705522040332
9,10060697266,0.86928011404134,0.7855379938216113,0.8191800760087329,0.5993507258078081,0.7931000313785074,False,False,False,True,False,False,SHRINK,0.4199867844581604,0.4215564429759979,0.41869425773620605,0.4049851894378662,0.3944447338581085,0.41723448038101196,0.4209955334663391,0.3493959605693817,0.4472004771232605,0.01500159502029419,0.02554205060005188,0.016571253538131714,0.024249523878097534,0.00767827033996582,-0.00286218523979187,0.01054045557975769,0.0027523040771484375,-0.001008749008178711,7.43865966796875e-05,-0.00033624966939290363,-0.09780451655387878,0.16393908858299255,24677.423828125,162.0509796142578,0.1614997237920761,24310.23046875,159.72341918945312,0.16298159956932068,24533.294921875,178.51760864257812,0.16542096436023712,24900.486328125,180.60311889648438,0.4012948274612427,0.3810698986053467,0.40709972381591797,0.39391905069351196,0.4555094838142395,0.4287790358066559,0.33969518542289734,0.433742880821228,0.012887060642242432,0.026067733764648438,-0.005804896354675293,-0.012849152088165283,-0.00704425573348999,-0.020224928855895996,0.013180673122406006,-0.0355226993560791,-0.008792251348495483,-0.0009600729555697055,-0.0029307504494984946,-0.09404769539833069,1.451584815979004,218504.15625,647.6888427734375,1.4559545516967773,219161.9375,649.0252075195312,0.27443060278892517,41309.4921875,263.2673034667969,0.27006086707115173,40651.72265625,259.9552307128906,40,40,10240,10240,0.8604651162790697,37,3,25,0.6756756756756757,0.7855379938216113,0.86928011404134,0.86928011404134
