level,top_percent,seed,num_samples,valid_samples,non_empty_rate,empty_rate,mean_area,median_area,macro_fg_purity,macro_bg_purity,macro_fg_recall,macro_bg_coverage,micro_fg_purity,micro_bg_purity,pooled_area,pooled_fg,pooled_bg
Stage1,10,P,250,248,0.992,0.008000000000000007,3657.728,4096.0,0.8772430091775872,0.12275699082241262,0.13744239873412464,0.016887123105117408,0.8861260323348265,0.11387396766517358,914432,810302,104130
Stage1,10,NA,250,205,0.82,0.18000000000000005,1462.272,1024.0,0.8387161775914633,0.16128382240853656,0.04788903094389691,0.010486195622219363,0.8257779674369747,0.1742220325630252,365568,301878,63690
Stage1,20,P,250,250,1.0,0.0,8175.616,8192.0,0.8601541124131944,0.13984588758680552,0.2959534918391539,0.04409268077566638,0.8617924325212926,0.1382075674787074,2043904,1761421,282483
Stage1,20,NA,250,228,0.912,0.08799999999999997,2064.384,2048.0,0.8145194427311769,0.1854805572688231,0.06533469369935484,0.015413632574962284,0.8086790054563492,0.19132099454365079,516096,417356,98740
Stage1,30,P,250,250,1.0,0.0,13197.312,13312.0,0.8341156767277862,0.1658843232722139,0.45751916941662074,0.08501864618612963,0.8334763927684667,0.1665236072315332,3299328,2749912,549416
Stage1,30,NA,250,227,0.908,0.09199999999999997,2162.688,2048.0,0.7525105666234004,0.24748943337659954,0.06291432046199126,0.018873182961199775,0.7767740885416666,0.22322591145833334,540672,419980,120692
Stage2,10,P,250,250,1.0,0.0,3240.96,3328.0,0.9160540496893322,0.08394595031066768,0.12991786633197094,0.009850454724055296,0.9260206852290679,0.07397931477093207,810240,750299,59941
Stage2,10,NA,250,250,1.0,0.0,1879.04,1792.0,0.9382939030112258,0.061706096988774044,0.07160583791958311,0.006513947455680484,0.9257578337874659,0.07424216621253406,469760,434884,34876
Stage2,20,P,250,250,1.0,0.0,7831.552,8192.0,0.8983549769070844,0.10164502309291569,0.30191173818203254,0.029588670439069157,0.9041691863885983,0.09583081361140168,1957888,1770262,187626
Stage2,20,NA,250,250,1.0,0.0,2408.448,2048.0,0.889266046309306,0.11073395369069408,0.08634337744617099,0.010421749820261533,0.8915999016794217,0.10840009832057823,602112,536843,65269
Stage2,30,P,250,250,1.0,0.0,12503.04,12800.0,0.8717629024820852,0.12823709751791484,0.4581922175955638,0.06000812426672074,0.8733680768837019,0.12663192311629812,3125760,2729939,395821
Stage2,30,NA,250,250,1.0,0.0,2600.96,2304.0,0.8146782284383569,0.18532177156164317,0.08392795963627898,0.015951954308168193,0.8337875246062992,0.1662124753937008,650240,542162,108078
