level,top_percent,seed,num_samples,valid_samples,non_empty_rate,empty_rate,mean_area,median_area,macro_fg_purity,macro_bg_purity,macro_fg_recall,macro_bg_coverage,micro_fg_purity,micro_bg_purity,pooled_area,pooled_fg,pooled_bg
Stage1,10,P,5158,5147,0.9978673904614191,0.002132609538580854,4030.684761535479,4096.0,0.6753223870549592,0.32467761294504077,0.2429433776701271,0.031605213020259676,0.6782349456515047,0.3217650543484953,20790272,14100689,6689583
Stage1,10,NA,5158,3752,0.7274137262504847,0.2725862737495153,1089.3152384645211,1024.0,0.5833919305537046,0.4166080694462953,0.04638519615202838,0.011855488065838606,0.5766331926599234,0.42336680734007653,5618688,3239922,2378766
Stage1,20,P,5158,5158,1.0,0.0,8825.696781698332,9216.0,0.6230818003158717,0.3769181996841284,0.4577253668132187,0.08223390786058635,0.6247369897693787,0.3752630102306213,45522944,28439867,17083077
Stage1,20,NA,5158,4051,0.7853819309810004,0.2146180690189996,1414.3032183016674,1024.0,0.4895082845781024,0.5104917154218975,0.04579114693955002,0.018872660639759203,0.4960124611787619,0.503987538821238,7294976,3618399,3676577
Stage1,30,P,5158,5158,1.0,0.0,13774.96393951144,14336.0,0.572362822291019,0.427637177708981,0.6138412714471709,0.1485447680167647,0.572721014505808,0.4272789854941919,71051264,40692552,30358712
Stage1,30,NA,5158,4275,0.828809616130283,0.17119038386971697,1585.0360604885614,1024.0,0.4017849843793512,0.5982150156206487,0.03846265558288072,0.025359026439936087,0.4108596832336548,0.5891403167663452,8175616,3359031,4816585
Stage2,10,P,5158,5152,0.9988367584335014,0.0011632415664986073,3909.0376114773167,4096.0,0.7145142861571278,0.2854857138428723,0.26354298132296056,0.026301479236381365,0.7204539286575843,0.27954607134241566,20162816,14526380,5636436
Stage2,10,NA,5158,5118,0.9922450562233424,0.007754943776657641,1210.962388522683,1024.0,0.6830641134521933,0.31693588654780663,0.07088178273087148,0.009919579092518838,0.6782093080146727,0.3217906919853273,6246144,4236193,2009951
Stage2,20,P,5158,5158,1.0,0.0,8696.108569212873,8960.0,0.6506250730417641,0.34937492695823597,0.48004472477521165,0.07390796076775569,0.6529401669325335,0.34705983306746646,44854528,29287323,15567205
Stage2,20,NA,5158,5140,0.9965102753005041,0.003489724699495933,1543.8914307871269,1280.0,0.5525238267273369,0.44747617327266304,0.06376625049507532,0.017184247334175357,0.5683306811971582,0.4316693188028418,7963392,4525840,3437552
Stage2,30,P,5158,5158,1.0,0.0,13401.833268708802,13568.0,0.5944589480099673,0.40554105199003276,0.6287109486144297,0.13495563442770628,0.5957585016118818,0.4042414983881182,69126656,41182793,27943863
Stage2,30,NA,5158,5148,0.9980612640558356,0.0019387359441643826,1702.1667312911982,1536.0,0.45416070798927577,0.5458392920107241,0.05292155430411481,0.02379471944361993,0.4724073826029275,0.5275926173970725,8779776,4147631,4632145
