sample_index,sample_id,IoU_AUD,IoU_IMG,IoU_OGL,SEED_CONF,SEED_pixel_count_14,SEED_precision,SEED_recall,SEED_area,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,group_IMG_ONLY_SHRINK,IoU_SEED_ONLY,IoU_PROP_F34_TOP10,TOP10_SEED_precision,TOP10_SEED_recall,IoU_PROP_K34_TOP10,IoU_PROP_F34_TOP20,TOP20_SEED_precision,TOP20_SEED_recall,IoU_PROP_K34_TOP20,IoU_PROP_F34_TOP30,TOP30_SEED_precision,TOP30_SEED_recall,IoU_PROP_K34_TOP30,IoU_PROP_F34,IoU_RANDOM_SEED_PROP_F34,IoU_AUD_SEED_PROP_F34,IoU_IMG_SEED_PROP_F34,IoU_AGREEMENT_SEED_PROP_F34,IoU_PROP_K34,IoU_RANDOM_SEED_PROP_K34,IoU_AUD_SEED_PROP_K34,IoU_IMG_SEED_PROP_K34,IoU_AGREEMENT_SEED_PROP_K34,AUD_area_fraction,AUD_FP_area_fraction,AUD_FG_recall,IMG_area_fraction,IMG_FP_area_fraction,IMG_FG_recall,PROP_F34_area_fraction,PROP_F34_FP_area_fraction,PROP_F34_FG_recall,PROP_K34_area_fraction,PROP_K34_FP_area_fraction,PROP_K34_FG_recall,PROP_F34_FG_similarity,PROP_F34_BG_similarity,PROP_F34_FG_BG_margin,PROP_F34_precision,PROP_F34_recall,PROP_F34_recall_gain,PROP_F34_precision_loss,PROP_F34_EXPAND_area,PROP_F34_EXPAND_precision,PROP_F34_RANDOM_EXPAND_precision,SIM_AUD_F34_Pearson,SIM_AUD_F34_Spearman,SIM_AUD_F34_JS,SIM_AUD_F34_Top20_overlap,SIM_AUD_F34_Mask_IoU,IoU_REGION_ORACLE_F34,PROP_K34_FG_similarity,PROP_K34_BG_similarity,PROP_K34_FG_BG_margin,PROP_K34_precision,PROP_K34_recall,PROP_K34_recall_gain,PROP_K34_precision_loss,PROP_K34_EXPAND_area,PROP_K34_EXPAND_precision,PROP_K34_RANDOM_EXPAND_precision,SIM_AUD_K34_Pearson,SIM_AUD_K34_Spearman,SIM_AUD_K34_JS,SIM_AUD_K34_Top20_overlap,SIM_AUD_K34_Mask_IoU,IoU_REGION_ORACLE_K34,SIM_AUD_IMG_Pearson,SIM_AUD_IMG_Spearman,SIM_AUD_IMG_JS,SIM_AUD_IMG_Top20_overlap,SIM_AUD_IMG_Mask_IoU,SIM_AUD_OBJ_Pearson,SIM_AUD_OBJ_Spearman,SIM_AUD_OBJ_JS,SIM_AUD_OBJ_Top20_overlap,SIM_AUD_OBJ_Mask_IoU,AUD_OVER_EXPANSION,GT_area_fraction,PROP_F34_IoU_delta,PROP_K34_IoU_delta
0,10000130166,0.7799756972899652,0.7042819190498515,0.7098819277859123,0.9289156198501587,32,1.0,0.231844682175808,8192,False,False,True,False,False,False,0.25461139248421183,0.8268150551200024,1.0,0.057961170543952,0.804868765605018,0.8241967843115092,1.0,0.231844682175808,0.8013156775455809,0.8089884589273592,1.0,0.405728193807664,0.7771890837150058,0.8241967843115092,0.6883910386965377,0.8211915011803916,0.8141945330928264,0.8241967843115092,0.8013156775455809,0.6723189839633712,0.7914247617989388,0.7906349868000556,0.8013156775455809,0.6662348533163265,0.06778140943877552,0.8498330220184525,0.4760243941326531,0.0001793686224489796,0.6757230995641592,0.6975247130102041,0.06782126913265306,0.8942095432161657,0.6759207589285714,0.06538982780612244,0.8669836418180789,0.7963547706604004,0.4718622863292694,0.324492484331131,0.9027686505328724,0.8942095432161657,0.6623648610403577,0.09723134946712764,26807,0.8730555451934197,0.6449807885999925,0.9610313285494282,0.9664020862899314,0.0013784294674348042,0.7420586703697275,0.9092101224854218,0.8187998124706986,0.7575312256813049,0.37365108728408813,0.3838801383972168,0.9032581453634085,0.8669836418180789,0.6351389596422709,0.09674185463659146,25723,0.8724487812463554,0.6451424794930607,0.975312084422566,0.9774712185897312,0.0010929838362126075,0.7603929135239431,0.93963133640553,0.7959789572373561,0.9717247747566663,0.9729844563186607,0.00675935015255171,0.6778400066872858,0.7144993867599988,0.9088553621680936,0.9526112813523454,0.021567690782420573,0.7007286900525335,0.33204702503814054,False,0.7042012117346939,0.04422108702154404,0.021339980255615676
1,10007936344,0.643244233840354,0.7092784137994537,0.7530049229588901,0.9459365606307983,28,0.9642857142857143,0.2622751764438036,7168,False,False,True,False,False,False,0.25993715632364495,0.5864259289420415,0.9166666666666666,0.10685284966229036,0.604717003766885,0.5958815045984349,0.9642857142857143,0.2622751764438036,0.6187156323644933,0.6008248110801211,0.9735576923076923,0.49176595583213173,0.6196435156730178,0.5958815045984349,0.5625641712423552,0.5930213406743371,0.5901885025172696,0.5958815045984349,0.6187156323644933,0.5698523593117638,0.6107247570815867,0.6157679998045491,0.6187156323644933,0.769889987244898,0.2589485012755102,0.9727935038324353,0.6275510204081632,0.14702248086734693,0.9148895803293617,0.8658920599489796,0.3406608737244898,1.0,0.8347815688775511,0.30955038265306123,1.0,0.8809877634048462,0.6805927157402039,0.20039504766464233,0.6065781296752365,1.0,0.7377248235561964,0.3577075846104778,36279,0.5359023126326525,0.4524931778714959,0.8965824957779426,0.8635612228242966,0.0022232178278173225,0.38408495379947594,0.8688692563413635,0.6594557053194773,0.8746839761734009,0.5952108502388,0.27947312593460083,0.6291839755526907,1.0,0.7377248235561964,0.3351017387330236,34718,0.5599976957197995,0.4537991819805288,0.9487551850219093,0.9089079051360341,0.0009879781221238649,0.4127252252252252,0.9035865427808119,0.6584394904458599,0.9642204527209531,0.9467980872260832,0.0035946603979981765,0.45766158315177924,0.8151177841056174,0.7941821365770325,0.8117426675919241,0.016781830780698802,0.3874334692749015,0.5433857109683412,True,0.5252311862244898,-0.04736272924191909,-0.024528601475860667
2,10008553263,0.3685962111857362,0.3848758871635984,0.4255714624693506,0.9094839096069336,28,0.9821428571428571,0.33084261478452937,7168,False,False,False,True,False,False,0.30102769055095635,0.4274775510204082,1.0,0.09624512430095399,0.39461842505320766,0.3765056089964444,0.9821428571428571,0.33084261478452937,0.36829334787350054,0.36301989150090413,0.6971153846153846,0.4361107194886978,0.3588694731268202,0.3765056089964444,0.34810160356466285,0.3617106958762887,0.3686816893806504,0.3765056089964444,0.36829334787350054,0.3401895438450323,0.3547770530367836,0.36335744908896034,0.36829334787350054,0.7495216836734694,0.3850247130102041,0.8594858780957751,0.5991509885204082,0.2764867665816326,0.7608440246252174,0.8615274234693877,0.4463687818877551,0.9789463790591663,0.8634606186224489,0.45432079081632654,0.9647539827999436,0.8577730655670166,0.6821728348731995,0.17560023069381714,0.48188674007587673,0.9789463790591663,0.6481037642746369,0.5002561170669804,36060,0.3824459234608985,0.33186356073211315,0.8690916818936918,0.8943054002408881,0.0023271101870045332,0.6151927255170194,0.8356798982650558,0.501639507154213,0.8468341827392578,0.6557089686393738,0.19112521409988403,0.47383727639930756,0.9647539827999436,0.6339113680154143,0.5083055807435495,36157,0.37306745581768397,0.33075199822994167,0.9136028487586425,0.9271410228733528,0.0014255549374822152,0.6366601435094585,0.8517171162514013,0.4889631778181997,0.9239233602085672,0.92939857351193,0.004403110799976488,0.537730789856738,0.7944631539869004,0.22289022492547436,0.2747018191181273,0.050880162229934696,0.06714870540698602,0.14292044625169428,True,0.4240872130102041,0.007909397810708207,-0.0003028633122356683
3,10009662863,0.6527465584486593,0.6569641093184063,0.674903692567885,0.9574022889137268,24,1.0,0.20228492411022947,6144,False,False,True,False,False,False,0.21155861105494383,0.6520801455439222,1.0,0.06742830803674316,0.6673072869524247,0.6589585495391002,1.0,0.20228492411022947,0.668979199680571,0.644348828640367,0.9348958333333334,0.37823066539360617,0.6616534902249188,0.6589585495391002,0.6107350590156128,0.6292073644084489,0.6537871373856731,0.6589585495391002,0.668979199680571,0.6223010398553646,0.6511292474488263,0.6670634773011916,0.668979199680571,0.8752790178571429,0.27804129464285715,0.9866328647153723,0.7479472257653061,0.21448501275510204,0.8812761334079611,0.8739636479591837,0.27407525510204084,0.9910117538603365,0.8522799744897959,0.2565170599489796,0.9841964903038883,0.8356368541717529,0.6480117440223694,0.18762511014938354,0.6863997081090942,0.9910117538603365,0.788726829750107,0.31360029189090577,37708,0.6353028535058873,0.5516601251723772,0.8454020234343983,0.6909307573352965,0.0018402161278778164,0.24016064257028114,0.9500111086425239,0.6940841286018716,0.8205417394638062,0.5744096636772156,0.24613207578659058,0.6990225423253204,0.9841964903038883,0.7819115661936589,0.30097745767467965,36620,0.6485253959584927,0.5487165483342435,0.8897838297579539,0.7521795250215959,0.0014993191982556582,0.25591290201476663,0.9531330974966765,0.6992170153091036,0.9592385057721977,0.9133114113663399,0.0015947730731192085,0.39330834374566154,0.8531740614334471,0.7784610971622489,0.723714696264339,0.02342164622812913,0.30558085078704306,0.45967484858144725,True,0.6053292410714286,0.006211991090440905,0.016232641231911704
4,10013411946,0.5230990753430599,0.48094597830291197,0.6056909722944984,0.8786531686782837,32,0.9296875,0.3282051282051282,8192,False,True,False,False,False,False,0.333114478556609,0.6893835814284889,1.0,0.17651368239603535,0.6356978138548104,0.6349130871242141,0.9296875,0.3282051282051282,0.6017825006427286,0.6097246492373989,0.796875,0.49230769230769234,0.5760214223521875,0.6349130871242141,0.48567445763239453,0.6293843169465756,0.5994518991360728,0.6349130871242141,0.6017825006427286,0.4947437490401932,0.5983426636492029,0.5661758724477345,0.6017825006427286,0.5900231186224489,0.2064532844387755,0.8293902176255118,0.5077128507653061,0.17307079081632654,0.7235940530058177,0.6480986926020408,0.19786352040816327,0.9735401853048912,0.6533601721938775,0.21344866071428573,0.9512174100409394,0.8863170742988586,0.5979414582252502,0.2883756160736084,0.6947015590885328,0.9735401853048912,0.6453350570997629,0.23498594091146718,24327,0.6155711760595224,0.36905495951000944,0.8307494614488377,0.8660889685812239,0.005927464366963882,0.629882257409663,0.7270098965862337,0.7209354984796532,0.8748262524604797,0.5705606341362,0.3042656183242798,0.6733062867949852,0.9512174100409394,0.6230122818358113,0.25638121320501484,24591,0.5878980114676101,0.3731446464153552,0.8699426454693444,0.8964449220116268,0.0047846909881190626,0.6578838688362104,0.740348136576657,0.7060979565358417,0.9160307228009608,0.9184640759039656,0.004222911998855703,0.6109149277688604,0.7796445880452343,0.2454757066778455,0.24653613785626288,0.05284624801451442,0.15662095194191542,0.2547257876312719,True,0.4624720982142857,0.11181401178115424,0.07868342529966876
5,10016382545,0.6273317650177264,0.4964880422120195,0.6365752715985514,0.866437554359436,40,0.821875,0.3267080745341615,10240,False,True,False,False,False,False,0.3117739144763945,0.5419798992266861,0.84375,0.16770186335403728,0.513933029925504,0.5458846682662497,0.821875,0.3267080745341615,0.5149640760979559,0.5168581232284052,0.7572115384615384,0.391304347826087,0.5006877247170677,0.5458846682662497,0.5101948561775832,0.5458846682662497,0.5458846682662497,0.5458846682662497,0.5149640760979559,0.5153149934500417,0.5149640760979559,0.5149640760979559,0.5149640760979559,0.5852798150510204,0.15407764668367346,0.8399068322981367,0.46432557397959184,0.13424744897959184,0.6429347826086956,0.7508370535714286,0.2918327487244898,0.8940605590062112,0.8048070790816326,0.34036192602040816,0.9046583850931676,0.7356534600257874,0.5805347561836243,0.15511870384216309,0.6113234591495461,0.8940605590062112,0.5673524844720497,0.2105515408504539,27434,0.5327331049063206,0.4368302106874681,0.9329868291876732,0.9264750138050031,0.00210343783695205,0.761938202247191,0.762984195440082,0.6493479363753022,0.7218981981277466,0.537426233291626,0.1844719648361206,0.5770888019414591,0.9046583850931676,0.5779503105590061,0.24478619805854096,30142,0.4939287373100657,0.43427775197398977,0.9456461854514164,0.9497880817761913,0.0016025277383657542,0.8107352277852955,0.7272299539398742,0.6493479363753022,0.9570069071630278,0.9380672607072197,0.0019690844614566197,0.784336385456485,0.735141012124407,0.5232292201500741,0.5239869628849873,0.03522121678442944,0.08526628818599621,0.36310390469887494,True,0.5133928571428571,-0.08144709675147666,-0.11236768891977045
6,10031203703,0.8400152418279306,0.8113295755082414,0.8394592499850951,0.903123676776886,20,1.0,0.1535923203839808,5120,False,False,True,False,False,False,0.16126492172981827,0.8007435890186322,1.0,0.03071846407679616,0.8330808483495455,0.8549181474744648,1.0,0.1535923203839808,0.812504818441138,0.8569219724998619,1.0,0.27646617669116547,0.8071353914395697,0.8549181474744648,0.8009248701380971,0.8402874053535245,0.8533415667892329,0.8549181474744648,0.812504818441138,0.764906426809807,0.7896672067805061,0.818745951548128,0.812504818441138,0.7407525510204082,0.09948979591836735,0.9652317384130793,0.7456752232142857,0.11328125,0.951882405879706,0.7141262755102041,0.07944036989795919,0.9553322333883306,0.8030532525510204,0.14277742346938777,0.9938503074846258,0.8750121593475342,0.5530795454978943,0.3219326138496399,0.8887586514847065,0.9553322333883306,0.8017399130043499,0.11124134851529355,30712,0.8702135972909611,0.6304376139619693,0.9528311298583237,0.8759854093948514,0.0012292496495135909,0.30855988004433144,0.9207998947506907,0.8578958808825128,0.8872917294502258,0.5463253855705261,0.3409663438796997,0.8222067801657815,0.9938503074846258,0.840257987100645,0.17779321983421847,35174,0.7963268323193268,0.6256325695115711,0.969240441266787,0.8991378498365128,0.0008033942341199893,0.3203525851861597,0.9224202114458728,0.8395126151277168,0.9615423265824876,0.8886173679483476,0.0016562289229522002,0.35083114610673666,0.9489651928504234,0.7829880807327649,0.8806175343847028,0.015319573408659462,0.44330193427770187,0.3746771416272062,True,0.6643614477040817,0.014902905646534181,-0.02751042338679266
7,10035917404,0.681939433971851,0.638945962605301,0.6950018557466288,0.8999779224395752,32,0.8984375,0.22357908806464352,8192,False,False,True,False,False,False,0.21715233211533147,0.8094106587983393,0.8984375,0.11178954403232176,0.7024063722079604,0.7930197692737714,0.8984375,0.22357908806464352,0.6939543300711956,0.8543441926733704,0.9322916666666666,0.34800571098757555,0.7214670901972372,0.7930197692737714,0.5973206234703079,0.8445112863452836,0.7496071884513404,0.7930197692737714,0.6939543300711956,0.5764532886828095,0.7085409339585775,0.6709629214532549,0.6939543300711956,0.7069913903061225,0.1520049426020408,0.8459248458337131,0.6576450892857143,0.14351482780612246,0.7836507791852729,0.7970145089285714,0.15184550382653061,0.983383456362587,0.807258450255102,0.20452008928571427,0.9187095598286704,0.8350900411605835,0.5068250894546509,0.3282649517059326,0.8094821334800331,0.983383456362587,0.7598043682979434,0.08895536651996694,31799,0.7865656152709205,0.6084782540331457,0.8953195611823034,0.8956888945116951,0.00248016202216452,0.5530795419374807,0.844208211143695,0.8136406088295429,0.8199915289878845,0.5329110622406006,0.28708046674728394,0.7466485619059375,0.9187095598286704,0.6951304717640269,0.15178893809406246,32313,0.7081669916132826,0.6102497446848018,0.9649179761308808,0.9504533716899422,0.0008776865951131546,0.5765001570845115,0.8744048353274948,0.7424900113451388,0.9569384448376438,0.9180441826800583,0.0014395671842999127,0.3662786740181063,0.9156222023276633,0.4309416894501988,0.3490665987273444,0.013452405427282248,0.2397776405188388,0.5550801877566987,True,0.6560706313775511,0.11108033530192041,0.012014896099344585
8,10045181004,0.6421705522040332,0.6054505104305371,0.6487230800301099,0.8611778020858765,40,0.9125,0.35758294745704333,10240,False,False,True,False,False,False,0.35639030636993346,0.5513091790294935,0.890625,0.13960430140446214,0.5560572221886884,0.5480917089639384,0.9125,0.35758294745704333,0.5507593643186863,0.5526932619856161,0.8833333333333333,0.519230033293789,0.5503833706457563,0.5480917089639384,0.5260733999537256,0.5480917089639384,0.5480917089639384,0.5480917089639384,0.5507593643186863,0.5185629005837666,0.5507593643186863,0.5507593643186863,0.5507593643186863,0.5791214923469388,0.15013153698979592,0.8237342619876775,0.41470025510204084,0.06554926658163265,0.6704297577589836,0.8527184311224489,0.3661511479591837,0.9342926026558493,0.8361567283163265,0.3526586415816326,0.9283992193180514,0.8490428328514099,0.6747133135795593,0.17432951927185059,0.5706072079652222,0.9342926026558493,0.576709655198806,0.34189279203477774,32546,0.46303693234191606,0.4184231549191913,0.906210335215758,0.9560586561355966,0.002624476532203423,0.774712643678161,0.6664115232064575,0.6394070817490495,0.8200407028198242,0.6101456880569458,0.20989501476287842,0.5782385889643665,0.9283992193180514,0.570816271861008,0.33426141103563345,31715,0.47031373167271007,0.4222292290714173,0.9336179905573897,0.966196075579553,0.0017711570249042694,0.775654635527247,0.6880125508093846,0.6394070817490495,0.967338350338009,0.9643920347105753,0.0029530383961638255,0.804711382844812,0.7143741190222436,0.7947947773434704,0.8395389351123487,0.03317095686738549,0.4322820037105751,0.4155826278477528,True,0.5207868303571429,-0.09407884324009474,-0.09141118788534686
9,10060697266,0.86928011404134,0.7855379938216113,0.7931000313785074,0.9260583519935608,36,1.0,0.2999023755287992,9216,False,False,True,False,False,False,0.312985006197891,0.7496124130331723,1.0,0.1332899446794663,0.7832883292399963,0.7269325601853572,1.0,0.2999023755287992,0.7636049714654752,0.7118013926733273,1.0,0.46651480637813214,0.7482014388489209,0.7269325601853572,0.6348544139365911,0.71770814244701,0.7244800987349583,0.7269325601853572,0.7636049714654752,0.6626571097433358,0.7558077488709867,0.7614702986544142,0.7636049714654752,0.6051698022959183,0.042291135204081634,0.9190693133745526,0.5110212053571429,0.02281967474489796,0.7971363488447771,0.8262316645408163,0.21741470025510204,0.9940774487471526,0.7693120216836735,0.16922433035714285,0.9798242759518386,0.8654320240020752,0.5223614573478699,0.3430705666542053,0.7368598789106785,0.9940774487471526,0.6941750732183534,0.2631401210893215,32241,0.6616420086225613,0.5248286343475699,0.974495328276058,0.9851488174799606,0.001871289368983159,0.8566275090185922,0.7324456665943025,0.8597041276025813,0.8472811579704285,0.37967419624328613,0.46760696172714233,0.7800316053988239,0.9798242759518386,0.6799219004230395,0.21996839460117612,29385,0.711043049174749,0.5243491577335375,0.9755448718700347,0.9899873973972564,0.0007565472936885602,0.8480802872663659,0.7866376518743038,0.8597041276025813,0.9775833380943915,0.9792612077851799,0.0027276347403546544,0.7720490862540832,0.8405468467580269,0.824099881527047,0.8428664891869319,0.028964545666727452,0.40599607733258614,0.5857286693299555,False,0.6124441964285714,-0.14234755385598274,-0.10567514257586474
