sample_index,sample_id,dataset,fold,IoU_AUD,intrinsic_IoU_AUD_binary,IoU_IMG,IoU_PROP_F34,IoU_PROP_K34,TP,FP,FN,IoU_expand_star,IoU_shrink_star,intrinsic_expand_gain,intrinsic_shrink_gain,intrinsic_error_type,candidate_5_2_error_type,candidate_5_2_expand_gain,candidate_5_2_shrink_gain,AUD_ONLY_pixels,TRUE_EXTENT_pixels,CONTEXT_LEAKAGE_pixels,AUD_ONLY_true_extent_ratio,AUD_ONLY_leakage_ratio,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,group_IMG_ONLY_SHRINK,AUD_OVER_EXPANSION,group_PROP_ONLY,group_PROP_HURT,probe_sampled_pixels,routing_sampled_pixels,OOF_predicted_leakage_ratio_PREDICTION,OOF_mean_leakage_probability_PREDICTION,transfer_from_vggss_144k_predicted_leakage_ratio_PREDICTION,transfer_from_vggss_144k_mean_leakage_probability_PREDICTION,OOF_predicted_leakage_ratio_WITHOUT_PROTOTYPE,OOF_mean_leakage_probability_WITHOUT_PROTOTYPE,transfer_from_vggss_144k_predicted_leakage_ratio_WITHOUT_PROTOTYPE,transfer_from_vggss_144k_mean_leakage_probability_WITHOUT_PROTOTYPE,OOF_predicted_leakage_ratio_WITH_PROTOTYPE,OOF_mean_leakage_probability_WITH_PROTOTYPE,transfer_from_vggss_144k_predicted_leakage_ratio_WITH_PROTOTYPE,transfer_from_vggss_144k_mean_leakage_probability_WITH_PROTOTYPE,OOF_predicted_leakage_ratio_PROTOTYPE_ONLY,OOF_mean_leakage_probability_PROTOTYPE_ONLY,transfer_from_vggss_144k_predicted_leakage_ratio_PROTOTYPE_ONLY,transfer_from_vggss_144k_mean_leakage_probability_PROTOTYPE_ONLY
0,10000130166,flickr_144k,1,0.7799756972899652,0.7752162127275074,0.7042819190498515,0.8241967843115092,0.8013156775455809,30028,3401,5306,0.9121982702981799,0.8498330220184525,0.1369820575706725,0.07461680929094505,INTRINSIC_EXPAND,EXPAND,0.03439023366016547,0.0,9544,6152,3392,0.644593461860855,0.355406538139145,False,False,True,False,False,False,False,False,False,12,12,0.5,0.49106070803212676,0.3333333333333333,0.4763467812946293,0.8333333333333334,0.5855203785040319,0.4166666666666667,0.5274194021825183,0.8333333333333334,0.6031463892784975,0.6666666666666666,0.5808153693687647,0.75,0.5498459994329572,1.0,0.7451681166869375
1,10007936344,flickr_144k,3,0.643244233840354,0.6515617454952093,0.7092784137994537,0.5958815045984349,0.6187156323644933,25637,12993,717,0.6697842275141688,0.9727935038324353,0.018222482018959485,0.32123175833722606,INTRINSIC_SHRINK,SHRINK,0.0,0.06603417995909966,7142,1526,5616,0.21366563987678522,0.7863343601232148,False,False,True,False,False,False,True,False,False,12,12,0.5,0.4893776865740093,0.5,0.49976745479794826,0.16666666666666666,0.3956240559041087,0.6666666666666666,0.5772943485486812,0.16666666666666666,0.3648577921487108,0.6666666666666666,0.5759420965162528,0.3333333333333333,0.46896814104362955,1.0,0.6842527166297371
2,10008553263,flickr_144k,0,0.3685962111857362,0.4504901719296517,0.3848758871635984,0.3765056089964444,0.36829334787350054,18289,19319,2990,0.5241391201537021,0.8594858780957751,0.07364894822405044,0.40899570616612346,INTRINSIC_SHRINK,SHRINK,0.0,0.017520925473699822,7648,2105,5543,0.2752353556485356,0.7247646443514645,False,False,False,True,False,False,True,False,False,12,12,0.5833333333333334,0.502724587014625,0.5833333333333334,0.5082789665560509,0.5833333333333334,0.504517961207119,0.4166666666666667,0.5220467357291837,0.4166666666666667,0.46647475495554785,0.6666666666666666,0.5595002580033394,0.25,0.4747402987761329,1.0,0.6846689380498479
3,10009662863,flickr_144k,0,0.6527465584486593,0.6760897030953885,0.6569641093184063,0.6589585495391002,0.668979199680571,29967,13951,406,0.6852495262160455,0.9866328647153723,0.009159823120656996,0.31054316161998374,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.004771797491810781,6421,3200,3221,0.49836474069459585,0.5016352593054041,False,False,True,False,False,False,True,False,False,12,12,0.5833333333333334,0.5227787144517763,0.6666666666666666,0.5431902308969052,0.6666666666666666,0.5227370541130851,0.8333333333333334,0.6939740586920448,0.3333333333333333,0.4697979427787144,1.0,0.7292800075333682,0.75,0.5718534758192138,1.0,0.820385035210486
4,10013411946,flickr_144k,0,0.5230990753430599,0.5734119890358718,0.48094597830291197,0.6349130871242141,0.6017825006427286,19246,10359,3959,0.6913657490168037,0.8293902176255118,0.11795375998093194,0.25597822858964003,INTRINSIC_SHRINK,EXPAND,0.04296621270630652,0.0,5475,2455,3020,0.4484018264840183,0.5515981735159817,False,True,False,False,False,False,True,False,False,12,12,0.5,0.48839342566213545,0.5833333333333334,0.5122512515183548,0.3333333333333333,0.47552929824831186,0.6666666666666666,0.5508790696595668,0.16666666666666666,0.37879763225578866,0.5,0.5066933364315751,0.08333333333333333,0.358758479861663,0.5,0.5245480255552679
5,10016382545,flickr_144k,0,0.6273317650177264,0.6460243050371741,0.4964880422120195,0.5458846682662497,0.5149640760979559,21636,7731,4124,0.7691618643814756,0.8399068322981367,0.12313755934430148,0.19388252726096256,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,7054,5128,1926,0.7269634250070882,0.27303657499291184,False,True,False,False,False,False,True,False,False,12,12,0.4166666666666667,0.47237468387035947,0.4166666666666667,0.48248549999387763,0.3333333333333333,0.433824286002683,0.6666666666666666,0.510977952827128,0.3333333333333333,0.4635989393512577,0.5833333333333334,0.5362413456493409,0.5833333333333334,0.5426249647213477,1.0,0.6650375384767792
6,10031203703,flickr_144k,4,0.8400152418279306,0.8395126151277168,0.8113295755082414,0.8549181474744648,0.812504818441138,32176,4992,1159,0.8697523938737705,0.9652317384130793,0.030239778746053658,0.1257191232853625,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,853,717,136,0.8405627198124267,0.15943728018757328,False,False,True,False,False,False,True,False,False,12,12,0.8333333333333334,0.5494116733863815,0.6666666666666666,0.5075528704418082,0.5,0.4907440044041675,0.6666666666666666,0.5739539492694299,0.5833333333333334,0.48889731026870553,0.8333333333333334,0.6742669585025826,0.08333333333333333,0.4541275506314956,1.0,0.6797853955962164
7,10035917404,flickr_144k,0,0.681939433971851,0.6868001775760865,0.638945962605301,0.7930197692737714,0.6939543300711956,27847,7627,5072,0.811892665121097,0.8459248458337131,0.12509248754501057,0.1591246682576266,INTRINSIC_SHRINK,EXPAND,0.09279184224888726,0.0,2746,2050,696,0.7465404224326293,0.2534595775673707,False,False,True,False,False,False,True,False,False,12,12,0.75,0.5398382316477538,0.5,0.4977706802151602,0.75,0.579162846594916,0.6666666666666666,0.5285738005751787,0.75,0.6189215134359175,0.8333333333333334,0.5585826050623739,0.4166666666666667,0.5631136635655859,1.0,0.6906003664485643
8,10045181004,flickr_144k,0,0.6421705522040332,0.6394070817490495,0.6054505104305371,0.5480917089639384,0.5507593643186863,21525,7533,4606,0.7762298003802282,0.8237342619876775,0.13682271863117867,0.18432718023862804,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,8279,4006,4273,0.4838748641140234,0.5161251358859765,False,False,True,False,False,False,True,False,False,12,12,0.3333333333333333,0.4749637808889146,0.5,0.5077429672003089,0.08333333333333333,0.3704436039966543,0.25,0.4408875645129174,0.0,0.26929186285095036,0.08333333333333333,0.41913834104597,0.0,0.3386423624201804,0.9166666666666666,0.548192135562294
9,10060697266,flickr_144k,0,0.86928011404134,0.8597041276025813,0.7855379938216113,0.7269325601853572,0.7636049714654752,28243,2122,2487,0.9354072811396567,0.9190693133745526,0.07570315353707535,0.05936518577197125,INTRINSIC_EXPAND,KEEP_AMBIGUOUS,0.0,0.0,4788,3811,977,0.7959482038429407,0.20405179615705932,False,False,True,False,False,False,False,False,False,12,12,0.6666666666666666,0.5277194624343198,0.75,0.5247215288272654,0.4166666666666667,0.43525924826504653,0.5833333333333334,0.5339318684571698,0.25,0.38672243294195746,0.6666666666666666,0.5389868682801087,0.25,0.44335982948559866,1.0,0.655400815226968
10,10061269855,flickr_144k,1,0.6964758159998831,0.685972927722126,0.637073577847658,0.7591577072332846,0.7714418419481123,24173,1060,10006,0.9699196912511706,0.70724714005676,0.2839467635290446,0.021274212334634002,INTRINSIC_EXPAND,EXPAND,0.07496602594822921,0.0,3461,2804,657,0.8101704709621497,0.18982952903785033,False,False,True,False,False,False,False,False,False,12,12,0.75,0.5239994251235974,0.6666666666666666,0.5281729604609405,1.0,0.6554714312268525,0.5,0.49653361424566694,1.0,0.6129577196780099,0.6666666666666666,0.5171624871029813,0.4166666666666667,0.4768632535265105,1.0,0.6827458483835184
