sample_index,sample_id,dataset,fold,IoU_AUD,intrinsic_IoU_AUD_binary,IoU_IMG,IoU_PROP_F34,IoU_PROP_K34,TP,FP,FN,IoU_expand_star,IoU_shrink_star,intrinsic_expand_gain,intrinsic_shrink_gain,intrinsic_error_type,candidate_5_2_error_type,candidate_5_2_expand_gain,candidate_5_2_shrink_gain,AUD_ONLY_pixels,TRUE_EXTENT_pixels,CONTEXT_LEAKAGE_pixels,AUD_ONLY_true_extent_ratio,AUD_ONLY_leakage_ratio,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,group_IMG_ONLY_SHRINK,AUD_OVER_EXPANSION,group_PROP_ONLY,group_PROP_HURT,probe_sampled_pixels,routing_sampled_pixels,OOF_predicted_leakage_ratio_PREDICTION,OOF_mean_leakage_probability_PREDICTION,transfer_from_flickr_144k_predicted_leakage_ratio_PREDICTION,transfer_from_flickr_144k_mean_leakage_probability_PREDICTION,OOF_predicted_leakage_ratio_WITHOUT_PROTOTYPE,OOF_mean_leakage_probability_WITHOUT_PROTOTYPE,transfer_from_flickr_144k_predicted_leakage_ratio_WITHOUT_PROTOTYPE,transfer_from_flickr_144k_mean_leakage_probability_WITHOUT_PROTOTYPE,OOF_predicted_leakage_ratio_WITH_PROTOTYPE,OOF_mean_leakage_probability_WITH_PROTOTYPE,transfer_from_flickr_144k_predicted_leakage_ratio_WITH_PROTOTYPE,transfer_from_flickr_144k_mean_leakage_probability_WITH_PROTOTYPE,OOF_predicted_leakage_ratio_PROTOTYPE_ONLY,OOF_mean_leakage_probability_PROTOTYPE_ONLY,transfer_from_flickr_144k_predicted_leakage_ratio_PROTOTYPE_ONLY,transfer_from_flickr_144k_mean_leakage_probability_PROTOTYPE_ONLY
0,-0BIyqJj9ZU_000030,vggss_144k,3,0.299209068494028,0.299209068494028,0.25156669650850494,0.2515279164333195,0.24716386312907013,9344,19093,2792,0.38861314803547986,0.7699406723796968,0.08940407954145185,0.47073160388566876,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,7627,2600,5027,0.34089419168742624,0.6591058083125737,False,False,False,True,False,False,True,False,False,12,12,0.6666666666666666,0.481794680173304,0.5833333333333334,0.45568490533424283,0.6666666666666666,0.5271298139397634,0.5833333333333334,0.5425409116063621,0.6666666666666666,0.5472066580080018,0.5,0.49678769593760724,0.75,0.556249215778505,0.0,0.38158402054342155
1,-0UuUoXQUoI_000107,vggss_144k,4,0.6284455632473254,0.6284455632473254,0.500818094321463,0.3708957415565345,0.32797510352099996,9986,3098,2806,0.8050346129641284,0.7806441525953721,0.176589049716803,0.15219858934804675,INTRINSIC_EXPAND,KEEP_AMBIGUOUS,0.0,0.0,139,139,0,1.0,0.0,False,False,True,False,False,False,True,False,True,0,12,0.25,0.4906713889981085,1.0,0.5520834189506864,0.75,0.5773045908342563,0.9166666666666666,0.5886146791948089,0.6666666666666666,0.534536923616862,0.08333333333333333,0.42426178413718607,0.0,0.3813086871899556,0.0,0.23074877038303696
2,-2-wdcN5vOw_000017,vggss_144k,4,0.6180354539500095,0.6180354539500095,0.5655701148937073,0.7631308146250289,0.8148648648648649,29251,2977,15101,0.9370998753407002,0.6595193001443002,0.3190644213906907,0.041483846194290686,INTRINSIC_EXPAND,EXPAND,0.1971204712059157,0.0,2862,2620,242,0.9154437456324249,0.08455625436757512,False,False,True,False,False,False,False,False,False,12,12,0.75,0.5194683191894627,0.9166666666666666,0.5745670644758814,0.6666666666666666,0.5814165920235196,0.75,0.5603457949452172,0.5833333333333334,0.5601474527117303,0.3333333333333333,0.4864956158577922,0.5833333333333334,0.5145556912502842,0.25,0.4139055157039196
3,-23CeprtibU_000030,vggss_144k,4,0.35660546925150854,0.35660546925150854,0.3180734517795311,0.3485680802753974,0.3284153130655914,13888,24560,497,0.3693670561047631,0.9654501216545012,0.01276158685325457,0.6088446524029927,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,6594,2681,3913,0.40658174097664546,0.5934182590233545,False,False,False,True,False,False,True,False,False,12,12,0.5,0.4816045922626109,0.4166666666666667,0.4671691540988794,0.5833333333333334,0.5020217346938387,0.4166666666666667,0.4676831020473247,0.4166666666666667,0.47572284689414146,0.16666666666666666,0.38958285071832416,0.0,0.40912458751370234,0.0,0.3056503180976708
4,-2Dm0VjW8oM_000001,vggss_144k,1,0.5905244122965642,0.5905244122965642,0.5328180918297418,0.5442409466611168,0.5674065452933189,16328,5222,6100,0.8111392405063291,0.7280185482432674,0.22061482820976497,0.13749413594670323,INTRINSIC_EXPAND,KEEP_AMBIGUOUS,0.0,0.0,3717,2333,1384,0.6276567124024751,0.3723432875975249,False,False,True,False,False,False,False,False,False,12,12,0.4166666666666667,0.49105817627963005,0.6666666666666666,0.506641543731713,0.4166666666666667,0.47682072555048655,0.3333333333333333,0.4406048897504051,0.5,0.5067691742937519,0.3333333333333333,0.4720821835425751,0.5,0.494773482661685,0.0,0.4100938841817656
5,-2sOH8XovEE_000484,vggss_144k,4,0.15380407338831847,0.15380407338831847,0.12690531578764627,0.10410436070523228,0.10093896713615023,3655,20109,0,0.15380407338831847,1.0,0.0,0.8461959266116815,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,1.2945381145379464e-05,2,0,2,0.0,1.0,False,False,False,True,False,False,True,False,False,0,2,1.0,0.5062071770143037,1.0,0.579868121474043,0.0,0.4729165347117507,1.0,0.7501490944459814,0.0,0.4431128143462745,1.0,0.6184994582218889,0.0,0.46091499848886147,0.0,0.32809964596971564
6,-3Kv4fdm7Uk_000030,vggss_144k,0,0.21268510538274701,0.21268510538274701,0.4332801276935355,0.30251866711244846,0.23656804218048716,5429,20097,0,0.21268510538274701,1.0,0.0,0.787314894617253,INTRINSIC_SHRINK,SHRINK,0.0,0.22080259822632356,13002,0,13002,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.5,0.4965479959340553,0.5,0.4831110922007202,0.4166666666666667,0.500674021632295,0.75,0.5730935329644287,0.5833333333333334,0.5631712611906438,0.9166666666666666,0.6158865344730282,0.8333333333333334,0.5896751679605297,0.16666666666666666,0.4210451695589006
7,-4bPiXbovf0_000008,vggss_144k,2,0.3683596786732314,0.3683596786732314,0.49113375243876,0.37326494630549767,0.3222628141259825,11372,19228,272,0.37717025136045607,0.9766403297835795,0.008810572687224683,0.6082806511103481,INTRINSIC_SHRINK,SHRINK,0.0,0.11972987745121,7948,123,7825,0.015475591343734272,0.9845244086562658,False,False,False,True,True,False,True,False,False,12,12,0.4166666666666667,0.49389122800343316,0.6666666666666666,0.497145137076211,0.5833333333333334,0.5364015716804637,0.6666666666666666,0.5055965522709651,0.6666666666666666,0.5496433944640496,0.6666666666666666,0.5230317813192026,0.75,0.5812103445294868,0.4166666666666667,0.47385323631035026
8,-5CGQGSFGyg_000060,vggss_144k,2,0.2660986547085202,0.2660986547085202,0.42615760713258555,0.26735751295336785,0.18827336759946697,5934,16366,0,0.2660986547085202,1.0,0.0,0.7339013452914798,INTRINSIC_SHRINK,SHRINK,0.0,0.1704484470076174,8730,7,8723,0.0008018327605956472,0.9991981672394044,False,False,False,True,False,False,True,False,False,12,12,0.9166666666666666,0.563709775542842,0.8333333333333334,0.5388945594472834,0.8333333333333334,0.6069223616664265,0.75,0.5328245886216151,0.6666666666666666,0.6034643177161547,0.6666666666666666,0.5602631959602699,0.4166666666666667,0.5102298045056538,0.25,0.43190231866942025
9,-5z9IXBJefc_000227,vggss_144k,4,0.23364234851538357,0.23364234851538357,0.272206463095834,0.3194645600175554,0.26953261859715505,5217,13676,3436,0.3875229522146088,0.6029122847567318,0.15388060369922524,0.3692699362413482,INTRINSIC_SHRINK,EXPAND,0.0730613973237434,0.03946033005604499,4732,323,4409,0.06825866441251056,0.9317413355874894,False,False,False,True,False,False,True,False,False,12,12,0.75,0.5646472736024825,0.9166666666666666,0.5865613297130721,0.75,0.641843277048698,0.8333333333333334,0.5448022665382292,0.8333333333333334,0.6786021815538793,0.9166666666666666,0.585596744519585,0.6666666666666666,0.5694591810650281,0.4166666666666667,0.4496836918319671
