dataset,batch,weighted_loss,parameter_group,gradient_l2
flickr,0,info,visual_backbone,6.324755892154035
flickr,0,info,visual_l3_slot_branch,1.3308849898498494
flickr,0,info,visual_l4_slot_branch,2.508605965467241
flickr,0,info,visual_fusion,1.268350001943147
flickr,0,info,audio_backbone,31.154828936297445
flickr,0,info,audio_slot_branch,6.270152197973831
flickr,0,info,shared_slots,0.04732992181214728
flickr,0,info,image_decoder,0.0
flickr,0,info,audio_decoder,0.0
flickr,0,rec_img,visual_backbone,0.02051647207535772
flickr,0,rec_img,visual_l3_slot_branch,0.01526814723997661
flickr,0,rec_img,visual_l4_slot_branch,0.020468716521211853
flickr,0,rec_img,visual_fusion,0.016210383478151402
flickr,0,rec_img,audio_backbone,0.0
flickr,0,rec_img,audio_slot_branch,0.0
flickr,0,rec_img,shared_slots,0.00017669322181113485
flickr,0,rec_img,image_decoder,0.04741795897390188
flickr,0,rec_img,audio_decoder,0.0
flickr,0,rec_aud,visual_backbone,0.0
flickr,0,rec_aud,visual_l3_slot_branch,0.0
flickr,0,rec_aud,visual_l4_slot_branch,0.0
flickr,0,rec_aud,visual_fusion,0.0
flickr,0,rec_aud,audio_backbone,0.07758100403605529
flickr,0,rec_aud,audio_slot_branch,0.024647788745850045
flickr,0,rec_aud,shared_slots,0.00015144592501839237
flickr,0,rec_aud,image_decoder,0.0
flickr,0,rec_aud,audio_decoder,0.024952050329793855
flickr,0,div_img,visual_backbone,0.0026624398083462462
flickr,0,div_img,visual_l3_slot_branch,0.008569232370281569
flickr,0,div_img,visual_l4_slot_branch,0.0065190278926735
flickr,0,div_img,visual_fusion,0.0076699097259374325
flickr,0,div_img,audio_backbone,0.0
flickr,0,div_img,audio_slot_branch,0.0
flickr,0,div_img,shared_slots,9.634070323205964e-05
flickr,0,div_img,image_decoder,0.0
flickr,0,div_img,audio_decoder,0.0
flickr,0,div_aud,visual_backbone,0.0
flickr,0,div_aud,visual_l3_slot_branch,0.0
flickr,0,div_aud,visual_l4_slot_branch,0.0
flickr,0,div_aud,visual_fusion,0.0
flickr,0,div_aud,audio_backbone,0.09952858491817457
flickr,0,div_aud,audio_slot_branch,0.021853046505587188
