dataset,batch,weighted_loss,parameter_group,gradient_l2
vggss,0,info,visual_backbone,10.231751019331005
vggss,0,info,visual_l3_slot_branch,2.5519419879582177
vggss,0,info,visual_l4_slot_branch,5.366719483200086
vggss,0,info,visual_fusion,3.0217538095786978
vggss,0,info,audio_backbone,74.35070485037713
vggss,0,info,audio_slot_branch,10.709278790196569
vggss,0,info,shared_slots,0.08772806574431515
vggss,0,info,image_decoder,0.0
vggss,0,info,audio_decoder,0.0
vggss,0,rec_img,visual_backbone,0.010326913965617955
vggss,0,rec_img,visual_l3_slot_branch,0.03511001080864368
vggss,0,rec_img,visual_l4_slot_branch,0.046025762933746
vggss,0,rec_img,visual_fusion,0.03773851567100206
vggss,0,rec_img,audio_backbone,0.0
vggss,0,rec_img,audio_slot_branch,0.0
vggss,0,rec_img,shared_slots,0.0004137572582900639
vggss,0,rec_img,image_decoder,0.10178989047783289
vggss,0,rec_img,audio_decoder,0.0
vggss,0,rec_aud,visual_backbone,0.0
vggss,0,rec_aud,visual_l3_slot_branch,0.0
vggss,0,rec_aud,visual_l4_slot_branch,0.0
vggss,0,rec_aud,visual_fusion,0.0
vggss,0,rec_aud,audio_backbone,0.10315812965677133
vggss,0,rec_aud,audio_slot_branch,0.021914733414927622
vggss,0,rec_aud,shared_slots,0.00015198242136597065
vggss,0,rec_aud,image_decoder,0.0
vggss,0,rec_aud,audio_decoder,0.02227367961462282
vggss,0,div_img,visual_backbone,0.009386436665314425
vggss,0,div_img,visual_l3_slot_branch,0.03471471874220793
vggss,0,div_img,visual_l4_slot_branch,0.028458421353501646
vggss,0,div_img,visual_fusion,0.020856826513587754
vggss,0,div_img,audio_backbone,0.0
vggss,0,div_img,audio_slot_branch,0.0
vggss,0,div_img,shared_slots,0.00048348113525746236
vggss,0,div_img,image_decoder,0.0
vggss,0,div_img,audio_decoder,0.0
vggss,0,div_aud,visual_backbone,0.0
vggss,0,div_aud,visual_l3_slot_branch,0.0
vggss,0,div_aud,visual_l4_slot_branch,0.0
vggss,0,div_aud,visual_fusion,0.0
vggss,0,div_aud,audio_backbone,0.203654899219717
vggss,0,div_aud,audio_slot_branch,0.11429711543479859
vggss,0,div_aud,shared_slots,0.0012335819485017915
vggss,0,div_aud,image_decoder,0.0
vggss,0,div_aud,audio_decoder,0.0
vggss,0,att_space,visual_backbone,0.07422838246311414
vggss,0,att_space,visual_l3_slot_branch,0.0
vggss,0,att_space,visual_l4_slot_branch,0.011738181338772757
vggss,0,att_space,visual_fusion,0.0
vggss,0,att_space,audio_backbone,0.2399842818309283
vggss,0,att_space,audio_slot_branch,0.033507112332241094
vggss,0,att_space,shared_slots,0.0003233522349553299
