epoch,learning_rate,epoch_seconds,loss_coarse,loss_equiv,loss_total,mean_valid_ratio,skipped_small_overlap_samples,actual_flip_ratio,mean_crop_scale,aud_l4_ciou,aud_l4_auc,aud_fine_ciou,aud_fine_auc
1,5e-05,12.747343063354492,3.204419940280227e-05,0.00025759752950249,0.000289641725174032,0.6613852442839206,0,0.49499198717948717,0.7765732086621798,0.756,0.6023999999999999,0.764,0.6057999999999999
2,5e-05,9.405853986740112,3.831914177564427e-05,0.00023005452217498364,0.00026837366227156075,0.6619407259500943,0,0.4980969551282051,0.7780380340722891,0.756,0.6023999999999999,0.772,0.6107999999999999
3,5e-05,10.840744018554688,5.243383631563913e-05,0.00018843315289511034,0.00024086699033012756,0.6626372536023458,0,0.5029046474358975,0.7779760162035624,0.756,0.6023999999999999,0.784,0.622
4,5e-05,10.258309602737427,6.88863383868757e-05,0.0001571094068752315,0.00022599574451585516,0.6635315418243408,0,0.49819711538461536,0.7800724475811689,0.756,0.6023999999999999,0.792,0.6229999999999999
5,5e-05,9.597559690475464,7.30909603776243e-05,0.0001544102866692134,0.00022750124686027472,0.6616576237556262,0,0.5052083333333334,0.7775517946634537,0.756,0.6023999999999999,0.784,0.6232
6,5e-05,10.999291181564331,7.413416964342244e-05,0.00014795280936269616,0.0002220869777001775,0.6625743982119437,0,0.49779647435897434,0.7790254461459625,0.756,0.6023999999999999,0.796,0.6251999999999999
7,5e-05,10.448488473892212,7.327802077037259e-05,0.000147182864542955,0.00022046088587301664,0.6635044599190737,0,0.5028044871794872,0.7798153146719321,0.756,0.6023999999999999,0.776,0.6226
8,5e-05,10.19359540939331,7.486276202447091e-05,0.00014555482275915355,0.00022041758497018748,0.6609846002016312,0,0.49619391025641024,0.7765481701264014,0.756,0.6023999999999999,0.776,0.6230000000000002
9,5e-05,9.828681707382202,7.444788132441971e-05,0.00014501490267530942,0.0002194627834400401,0.6620756357144086,0,0.4996995192307692,0.7785199926449702,0.756,0.6023999999999999,0.772,0.6232
10,5e-05,9.47427248954773,7.473642752022267e-05,0.00014432721125045553,0.00021906363895724123,0.6626561620296576,0,0.5004006410256411,0.7789313136002957,0.756,0.6023999999999999,0.764,0.6230000000000001
11,5e-05,10.659712314605713,7.468653180134985e-05,0.00014208804686159754,0.00021677457791669533,0.6626377671192853,0,0.5043068910256411,0.7787732527806208,0.756,0.6023999999999999,0.768,0.6234000000000001
12,5e-05,11.175368070602417,7.584515156057209e-05,0.00014248326083478064,0.00021832841164910069,0.6628319468253698,0,0.48778044871794873,0.7786334447371654,0.756,0.6023999999999999,0.768,0.6228
13,5e-05,9.613254308700562,7.557266937324013e-05,0.00014438732297350772,0.0002199599917870588,0.6619928616743821,0,0.5022035256410257,0.7776920229960711,0.756,0.6023999999999999,0.76,0.621
14,5e-05,10.028912782669067,7.577366415763464e-05,0.0001419745016252049,0.0002177481663425286,0.6622943572508984,0,0.4911858974358974,0.777753580839206,0.756,0.6023999999999999,0.764,0.6198
