epoch,learning_rate,epoch_seconds,gradient_l2_mean,parameter_l2,info_loss,recon_loss,div_loss,a2v_loss,v2a_loss,original_match_loss,d_pos,d_neg,g_match,cram_loss,weighted_cram_loss,total_loss,AUD_cIoU,AUD_AUC,IQR_cIoU,IQR_AUC
1,5e-05,36.692198038101196,12.55118119747285,199.0680396658843,11.00503207475711,11.610746774917994,0.7320248394822463,2.1939826696418608e-05,1.7387208374249243e-05,3.9327035018197e-05,2.193982659147691e-05,2.193973973473289e-05,-8.667455357424796e-11,0.6931471763513027,0.6931471763513027,12.936389165046888,0.07289647150058162,0.21019775106630478,0.10217138425746414,0.2445424583171772
2,5e-05,31.42669439315796,6.497957802933504,199.10864240256024,10.382115877591646,6.913585112645076,0.0034968718074453184,3.1184725055656876e-05,6.817258836760559e-07,3.186645062086404e-05,3.1184724402686326e-05,3.09719512013264e-05,-2.1277377053425977e-07,0.6931472879189712,0.6931472879189712,11.770158156370504,0.3070957735556417,0.3677685149282668,0.3251260178363707,0.38026366808840645
3,5e-05,32.37341928482056,9.281920056023486,199.12396095156953,10.038806621844952,5.222035114581768,0.0005414224265573117,3.4946356372063e-05,1.0610201337467281e-06,3.60073765291301e-05,3.494635683847054e-05,3.433788459425649e-05,-6.084720084596157e-07,0.693147483544472,0.693147483544472,11.257812646719126,0.3280341217526173,0.3787320666925165,0.3280341217526173,0.3798371461806902
4,5e-05,32.24880790710449,12.710785203470811,199.14152767654923,9.790635915902945,5.1209150950113935,0.0012270355394157844,1.5919989215408583e-05,4.2096949816648424e-07,1.6340958749284393e-05,1.5919989145447453e-05,1.552499466365239e-05,-3.949944464501151e-07,0.6931473673918308,0.6931473673918308,10.997631806593676,0.3575029081039163,0.3924486234974797,0.3580845288871656,0.3931562621170997
5,5e-05,31.159608364105225,22.129675757391293,199.1622073407131,9.445486215444712,5.046749481788049,0.0015804621522338726,1.1513957640720317e-05,3.637527069526979e-07,1.1877710326538923e-05,1.151395754743881e-05,1.1466994132765998e-05,-4.696338042100624e-08,0.6931472069177872,0.6931472069177872,10.644654298440004,0.37146180690189995,0.3979934082977899,0.37514540519581235,0.398642884839085
6,5e-05,31.636703729629517,24.385082221575388,199.18351528175634,9.069579246716621,4.970348284794734,0.0014484936299805457,1.2124331568394644e-05,7.274132930235329e-06,1.939846445636179e-05,1.2124331405152005e-05,1.2989078827675445e-05,8.647473204967891e-07,0.6931467438355471,0.6931467438355471,10.261845270792643,0.36138037999224504,0.39298177588212496,0.3670027142303218,0.39477510663047694
7,5e-05,32.884681701660156,28.21144660267783,199.2048784550326,8.591610223819048,4.907896689879588,0.0024654364022306907,1.7238045984413475e-05,5.935297082405902e-05,7.659101692507438e-05,1.7238045844491215e-05,1.903940709524203e-05,1.8013608543044077e-06,0.6931462853382795,0.6931462853382795,9.783451985090206,0.38134936021713844,0.401638231872819,0.3863900736719659,0.40335401318340447
8,5e-05,30.91748023033142,52.64900163305409,199.23051893912603,8.092407495547564,4.844376612932254,0.005084314944747931,1.661517664895375e-05,2.69111681063805e-05,4.3526344457999446e-05,1.661517678887601e-05,1.9529002318636347e-05,2.9138257104932563e-06,0.6931457198583163,0.6931457198583163,9.274851872370792,0.3836758433501357,0.40329585110507954,0.3894920511826289,0.4050213260953859
9,5e-05,31.71266460418701,66.66379036754813,199.2541412295913,7.553192615509033,4.785865918183938,0.00435229643391302,2.2982685876717696e-05,3.449724494996003e-05,5.747993101324074e-05,2.2982685690154678e-05,2.7099853142340762e-05,4.117167154851277e-06,0.6931451192268958,0.6931451192268958,8.73110763843243,0.38755331523846454,0.4013668088406359,0.3970531213648701,0.4047692904226445
10,5e-05,31.61625075340271,61.124471688030496,199.27816782432325,6.9263966511457395,4.751183998890412,0.00702800979025853,1.794153570536321e-05,2.7500426184791977e-05,4.544196193679594e-05,1.7941535891926225e-05,2.356276476907974e-05,5.621229098697091e-06,0.6931443657630529,0.6931443657630529,8.099906383416592,0.38154323381155486,0.40081426909654905,0.3898797983714618,0.4031892206281505
