epoch,learning_rate,epoch_seconds,gradient_l2_mean,parameter_l2,info_loss,recon_loss,div_loss,a2v_loss,v2a_loss,original_match_loss,d_pos,d_neg,g_match,cram_loss,weighted_cram_loss,total_loss,AUD_cIoU,AUD_AUC,IQR_cIoU,IQR_AUC
1,5e-05,47.77290725708008,12.551182560320955,199.06802100773862,11.007036258012821,11.607766616038788,0.7322924214964494,2.1762993256766677e-05,1.7333844727300646e-05,3.9096838148767485e-05,2.1762992936111495e-05,2.199945176984422e-05,2.3645857429353504e-07,0.693147055613689,0.693147055613689,12.938098907470703,0.07289647150058162,0.2105758045754168,0.10275300504071345,0.24503683598293913
2,5e-05,28.949311017990112,7.274283694898,199.1086050191267,10.386697426820414,6.905789314172207,0.003301923437855947,2.8779975513642945e-05,6.419004632672836e-07,2.942187592079557e-05,2.8779975181327572e-05,2.855336475267205e-05,-2.2661008376901054e-07,0.6931472894472953,0.6931472894472953,11.773696336990747,0.30379992245056225,0.36763280341217525,0.32745250096936795,0.3807483520744475
3,5e-05,29.932212591171265,9.767582685982203,199.1236981560547,10.046217698317308,5.2437860660063915,0.0008311842699559071,3.449108860364411e-05,1.0637417237656057e-06,3.55548303886257e-05,3.449108804395506e-05,3.393420135976974e-05,-5.568871218067728e-07,0.6931474483930148,0.6931474483930148,11.267382597311949,0.3365645599069407,0.3827743311360993,0.3381155486622722,0.38344319503683594
4,5e-05,30.029387950897217,9.699040782359496,199.14179827331137,9.7878051170936,5.1208780117523975,0.0012490116597081607,1.5891892148945957e-05,4.4165908300387037e-07,1.6333551288064486e-05,1.5891892242227466e-05,1.5530944158224604e-05,-3.609479991021148e-07,0.6931473673918308,0.6931473673918308,10.994798709184696,0.34839084916634355,0.38774718883288106,0.3514928266770066,0.38925940286932925
5,5e-05,28.9688823223114,20.915915451276472,199.1623974261644,9.44930057036571,5.024920671414106,0.0020902297483422817,1.3437385720093376e-05,4.358568464095487e-07,1.387324253953874e-05,1.3437385860015638e-05,1.3407365072336501e-05,-3.002084625336465e-08,0.6931471931628692,0.6931471931628692,10.64653614239815,0.3623497479643273,0.3923710740597131,0.3639007367196588,0.3935633966653742
6,5e-05,29.70456576347351,27.76516096247978,199.183420355878,9.04327769157214,4.944443115821252,0.0015230813206961523,1.3354043520125859e-05,1.9246889405913418e-05,3.260093284879053e-05,1.3354043496805482e-05,1.4761433657184123e-05,1.4073900612670398e-06,0.6931464702655108,0.6931464702655108,10.234280830774551,0.3629313687475766,0.39343737882900354,0.36603334625823963,0.3943776657619233
7,5e-05,29.37621831893921,32.72618363223388,199.20594552744726,8.594491322835287,4.877659455323831,0.0019998015740360967,1.6531203096420562e-05,3.756260076233257e-05,5.409380378879201e-05,1.6531202933177927e-05,1.9177596326559207e-05,2.64639329354092e-06,0.6931458451809027,0.6931458451809027,9.781012486188839,0.3827064753780535,0.4007270259790617,0.3889104303993796,0.40248158200853046
8,5e-05,29.618388891220093,44.48554706514906,199.23071598946072,8.05794005516248,4.829206112103584,0.004300030891616375,1.7282041064903846e-05,5.122129989150637e-05,6.850334079316758e-05,1.7282040738418567e-05,2.1816425475826225e-05,4.5343845042038875e-06,0.6931449083181528,0.6931449083181528,9.241285910973183,0.3796044978673905,0.4021519968980225,0.3850329585110508,0.4039356339666538
9,5e-05,29.8053719997406,57.1760147592581,199.25488109550201,7.543479699354905,4.768712911850367,0.00606465273990463,2.169567848725889e-05,4.590998366601968e-05,6.76056618267933e-05,2.1695678440618136e-05,2.9058609680550246e-05,7.362931496456254e-06,0.6931434946182446,0.6931434946182446,8.720861557202461,0.3889104303993796,0.40368359829391237,0.3964715005816208,0.406756494765413
10,5e-05,31.451096534729004,61.174255101984464,199.2778671094582,6.967219462761512,4.724612236022949,0.003777530844299457,1.9291819579591855e-05,4.44532972137378e-05,6.374511688661117e-05,1.929181962623261e-05,2.7234422678026396e-05,7.94260300515303e-06,0.6931432027083176,0.6931432027083176,8.139576153877455,0.38251260178363705,0.4023943388910431,0.3904614191547111,0.40425552539744086
11,5e-05,29.367753982543945,73.3998538977883,199.30183061296074,6.367190275436792,4.683177043230105,0.006449354597582267,2.0431401002823783e-05,3.81516478787839e-05,5.858304911481145e-05,2.043140076962001e-05,3.087867732504562e-05,1.0447276240600519e-05,0.6931419510107774,0.6931419510107774,7.535153156671768,0.39162466072120977,0.40367390461419156,0.4003489724699496,0.4063590538968593
12,5e-05,30.51451063156128,70.68307154461114,199.3289570730781,5.730266302059858,4.632440102406037,0.006954485162471731,1.9691067045175423e-05,4.52456024038092e-05,6.493666912249934e-05,1.969106699853467e-05,3.0226279051977402e-05,1.0535212648112345e-05,0.693141914330996,0.693141914330996,6.893841388898018,0.3898797983714618,0.40470143466459874,0.39162466072120977,0.4060779371849554
13,5e-05,29.380317211151123,110.87579380451325,199.36065467335442,5.200518999344263,4.583028744428586,0.00632073327851219,2.221698788418554e-05,4.508412287880977e-05,6.73011107629953e-05,2.2216987930826293e-05,3.438411215775443e-05,1.2167123970403993e-05,0.693141085979266,0.693141085979266,6.359325176630264,0.38096161302830556,0.4023167894532765,0.38735944164404806,0.4038386971694456
14,5e-05,30.073150157928467,109.18360823760443,199.39289347656248,4.668479418143248,4.507714613890037,0.007945562975528913,2.5100498766196557e-05,4.405165180707207e-05,6.915215103967617e-05,2.5100498766196557e-05,3.972422163291739e-05,1.4623722843400454e-05,0.6931398663765345,0.6931398663765345,5.820100454183725,0.3945327646374564,0.4073865839472664,0.39879798371461805,0.40898604110120196
15,5e-05,30.079814910888672,114.95500490910902,199.41934373837947,4.202510680907812,4.454212922316331,0.008485172296133943,2.4302930493528645e-05,4.093636548182426e-05,6.52392959753529e-05,2.430293058681015e-05,4.0278193549826167e-05,1.5975262286725083e-05,0.6931391908572271,0.6931391908572271,5.34844359373435,0.40480806514152773,0.41032376890267547,0.40829778984102366,0.4113609926328034
16,5e-05,30.24742031097412,109.63722304171984,199.43962124661812,3.7711777075743065,4.414423477955354,0.008809592133053603,2.321906462244582e-05,4.0492826370516407e-05,6.371189047991394e-05,2.3219064669086573e-05,3.98506079084025e-05,1.663154372904384e-05,0.693138857682546,0.693138857682546,4.913011025159787,0.39821636293136875,0.407299340829779,0.40461419154711126,0.4082299340829779
17,5e-05,29.756004810333252,100.13578359402649,199.46230635238683,3.338132552611522,4.383530017657158,0.010892181442334102,2.5917340117769363e-05,4.014722794519726e-05,6.606456764319983e-05,2.5917340257691627e-05,4.3867503289873595e-05,1.7950162798978196e-05,0.6931381943898324,0.6931381943898324,4.4773194423088665,0.4055835595191935,0.409480418766964,0.40868553702985655,0.41099263280341225
18,5e-05,30.403513431549072,121.77900611465493,199.48815341690008,2.9503421233250546,4.346612429007505,0.01328030553383705,2.537658273911056e-05,3.9846431415450447e-05,6.522301443440553e-05,2.5376582365984526e-05,4.352245676459577e-05,1.814587428200936e-05,0.693138104218703,0.693138104218703,4.085991841096145,0.39879798371461805,0.4053896859247771,0.39918573090345094,0.4068728189220629
19,5e-05,29.60243582725525,123.78504956307849,199.5169992033902,2.7432189537928653,4.303513710315411,0.013581329717850074,2.6577615547770012e-05,4.281745751564486e-05,6.939507306341488e-05,2.6577615361206997e-05,4.543770037110871e-05,1.886008419368852e-05,0.693137743534186,0.693137743534186,3.8750057159326015,0.407134548274525,0.41112834431950374,0.41392012407910045,0.41302830554478487
20,5e-05,29.424151182174683,100.44674175856143,199.54096348516578,2.347655543914208,4.265038710374099,0.012941993271502165,2.56399730110738e-05,3.8340920395850655e-05,6.398089354684672e-05,2.5639972591307014e-05,4.459831800956566e-05,1.8958345558180903e-05,0.6931376992127835,0.6931376992127835,3.474989414215088,0.40364482357502907,0.4104982551376503,0.40887941062427297,0.41213648701046923
21,5e-05,29.91349172592163,100.10007308911875,199.56162406170458,2.2734634570586376,4.2287091842064495,0.012916683004452633,2.762596639700067e-05,3.7871020630028885e-05,6.549698716695182e-05,2.762596621043765e-05,4.8132758633866426e-05,2.0506792446749154e-05,0.6931369212957529,0.6931369212957529,3.397312647257096,0.39879798371461805,0.40977122915858866,0.40461419154711126,0.411331911593641
22,5e-05,29.484301567077637,96.05299223674257,199.58117461152318,1.9988135985839062,4.214077130342141,0.011830432077822013,2.7880942490390644e-05,4.2120163179322095e-05,7.000110520330521e-05,2.788094230382763e-05,4.6237106569326265e-05,1.8356164428741278e-05,0.6931379987643316,0.6931379987643316,3.121542465992463,0.40306320279177976,0.41173904614191553,0.4059713067080264,0.41309616130283056
