dataset,epoch,batch,sample_id,wrong_audio_1,wrong_audio_2,wrong_audio_3,wrong_audio_4,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,d_neg_min,d_neg_mean,d_neg_max,d_neg_std,mean_minus_min,min_minus_pos,mean_minus_pos
flickr,0,0,7860677224,3615517139,2563612288,3448253757,4515585871,2.1848252799827605e-05,7.865888619562611e-06,1.9306755348225124e-05,1.1996204193565063e-05,4.071268631378189e-05,7.865888619562611e-06,1.997038361878367e-05,4.071268631378189e-05,1.2656913725946011e-05,1.210449499922106e-05,-1.3982364180264995e-05,-1.877869181043934e-06
flickr,0,0,14896393667,7898613804,20672812241,3357686323,6199843673,6.15082390140742e-05,4.683137376559898e-05,8.053138299146667e-05,4.2092207877431065e-05,8.163711027009413e-05,4.2092207877431065e-05,6.277301872614771e-05,8.163711027009413e-05,1.839188294171326e-05,2.0680810848716646e-05,-1.941603113664314e-05,1.264779712073505e-06
flickr,0,0,3396061457,13764437195,8697614998,2719914017,18433476173,1.5641719073755667e-05,1.0341599590901751e-05,4.7866019485809375e-06,1.1545327652129345e-05,2.1687003027182072e-05,4.7866019485809375e-06,1.2090133054698526e-05,2.1687003027182072e-05,6.09909136854559e-06,7.303531106117589e-06,-1.085511712517473e-05,-3.5515860190571402e-06
flickr,0,0,4644381092,8854169189,21041971553,6469541267,2877403845,7.895509043009952e-05,5.886890721740201e-05,8.404684194829315e-05,2.2592155801248737e-05,3.9244619983946905e-05,2.2592155801248737e-05,5.11881312377227e-05,8.404684194829315e-05,2.2907785038297938e-05,2.8595975436473964e-05,-5.636293462885078e-05,-2.7766959192376817e-05
flickr,0,0,5954225716,2964246315,8303438109,4635286250,7165858159,3.476265192148276e-05,0.00016156415222212672,4.399329554871656e-05,0.00013748493802268058,3.063533586100675e-05,3.063533586100675e-05,9.341943041363265e-05,0.00016156415222212672,5.694351896326318e-05,6.27840945526259e-05,-4.127316060476005e-06,5.86567784921499e-05
flickr,0,0,8316280493,5666597092,15438732082,14419441773,3489826335,6.546609711222118e-06,1.3344199032871984e-05,2.420215059828479e-05,1.720205182209611e-05,1.1621194062172435e-05,1.1621194062172435e-05,1.659239887885633e-05,2.420215059828479e-05,4.8358990247786185e-06,4.971204816683894e-06,5.0745843509503175e-06,1.0045789167634211e-05
flickr,0,0,4084054889,21500351523,5084101672,2601137917,7769542964,8.08448385214433e-06,2.1301524611772038e-05,4.751310189021751e-05,1.3199126442486886e-05,3.260925586801022e-05,1.3199126442486886e-05,2.8655752203121665e-05,4.751310189021751e-05,1.288625015102714e-05,1.545662576063478e-05,5.114642590342555e-06,2.0571268350977334e-05
flickr,0,0,4917460581,2651396269,6551793435,8109979179,5678756206,8.044555215747096e-06,1.3649556422024034e-05,1.2457189768610988e-05,9.5968143796199e-06,3.913183536496945e-05,9.5968143796199e-06,1.8708848983806092e-05,3.913183536496945e-05,1.1882836693333243e-05,9.112034604186192e-06,1.5522591638728045e-06,1.0664293768058997e-05
flickr,0,0,9963245935,7251024262,15438732082,7585043796,6860386214,1.901981158880517e-05,2.351693547097966e-05,4.926027395413257e-05,3.28571732097771e-05,5.209526716498658e-05,2.351693547097966e-05,3.943241244996898e-05,5.209526716498658e-05,1.1762981444059603e-05,1.5915476978989318e-05,4.497123882174492e-06,2.041260086116381e-05
flickr,0,0,6996285737,23013101340,4084054889,3472126384,20561831362,1.629329563002102e-05,3.600478885346092e-05,1.9444196368567646e-05,5.704812429030426e-05,5.490535477292724e-05,1.9444196368567646e-05,4.1850616071315017e-05,5.704812429030426e-05,1.5310223695216597e-05,2.240641970274737e-05,3.1509007385466248e-06,2.5557320441293996e-05
flickr,0,0,13179847174,2472895680,5805318603,2601137917,2543615896,8.94782533578109e-06,1.313574375672033e-05,1.3233831850811839e-05,1.1388024176994804e-05,1.2369304386083968e-05,1.1388024176994804e-05,1.2531726042652735e-05,1.3233831850811839e-05,7.403081650215278e-07,1.1437018656579312e-06,2.4401988412137143e-06,3.5839007068716455e-06
flickr,0,0,24890125012,4635286250,4496382319,6505766683,14458984273,5.199687166168587e-06,1.4655423910880927e-05,2.7623373171081766e-05,3.794682925217785e-05,1.4010727682034485e-05,1.4010727682034485e-05,2.3559088504043757e-05,3.794682925217785e-05,9.924363093733792e-06,9.548360822009272e-06,8.811040515865898e-06,1.835940133787517e-05
flickr,0,0,21149735492,8516816241,3513488444,3867435187,2926691931,3.746945003513247e-05,1.1339170669089071e-05,2.1960464437142946e-05,3.1819396099308506e-05,1.3088959349261131e-05,1.1339170669089071e-05,1.9551997638700414e-05,3.1819396099308506e-05,8.147256717356823e-06,8.212826969611342e-06,-2.6130279366043396e-05,-1.7917452396432054e-05
flickr,0,0,5856273717,6171140310,2601137917,3214884444,6469541267,1.018115654005669e-05,2.9904989787610248e-05,1.5368248568847775e-05,2.5232355255866423e-05,2.6138170142075978e-05,1.5368248568847775e-05,2.4160940938600106e-05,2.9904989787610248e-05,5.370356139289942e-06,8.79269236975233e-06,5.187092028791085e-06,1.3979784398543416e-05
