dataset,epoch,batch,sample_id,wrong_audio_1,wrong_audio_2,wrong_audio_3,wrong_audio_4,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,d_neg_min,d_neg_mean,d_neg_max,d_neg_std,mean_minus_min,min_minus_pos,mean_minus_pos
vggss,0,0,r1ozI2B9ThU_000150,OR1bMqoI3bA_000090,DOidA_6Fips_000086,MigxkHfF9yU_000111,X1OSGt0o6gQ_000045,4.8835689085535705e-05,0.00013324434985406697,0.00011107826139777899,8.777137554716319e-05,0.0001925890683196485,8.777137554716319e-05,0.0001311707637796644,0.0001925890683196485,3.8934956795582884e-05,4.3399388232501224e-05,3.893568646162748e-05,8.233507469412871e-05
vggss,0,0,3C53g4sHXks_000000,rAXFPU3iPYE_000038,7QkDC4-6N0k_000006,Lm8qmWflU3M_000010,jwm-vxGgFf4_000067,1.0245216799376067e-05,3.778704922297038e-05,1.9647754015750252e-05,2.7431704438640736e-05,5.166588744032197e-05,1.9647754015750252e-05,3.4133098779420834e-05,5.166588744032197e-05,1.1994623077704209e-05,1.4485344763670582e-05,9.402537216374185e-06,2.3887881980044767e-05
vggss,0,0,MAbQ1p2Tj64_000284,1eE4EpXsmVc_000100,wMlEQauOaN0_000050,FZwBnn0ddzY_000360,6F7x1cBnlz4_000012,3.667231430881657e-05,3.264768383814953e-05,2.9881035516154952e-05,4.3108575482619926e-05,1.6024445358198136e-05,1.6024445358198136e-05,3.0415435048780637e-05,4.3108575482619926e-05,9.662878917094625e-06,1.43909896905825e-05,-2.064786895061843e-05,-6.25687926003593e-06
vggss,0,0,Y8pijwU1F4Q_000000,wrFyu2T1XOo_000016,7dUjeTRWask_000050,lP_DQRC5tb4_000094,HBvECRQBAJY_000007,6.0051679611206055e-05,2.4260254576802254e-05,5.0077545893145725e-05,4.807766526937485e-05,7.549500151071697e-05,2.4260254576802254e-05,4.947761681250995e-05,7.549500151071697e-05,1.8132425678093325e-05,2.5217362235707697e-05,-3.57914250344038e-05,-1.0574062798696104e-05
vggss,0,0,i0FvnNIGutE_000071,I1WYt6wqzVY_000120,tfMBn3nbECc_000154,Y3-gYRwkCGI_000020,objxhNp1zdI_000017,9.701999806566164e-05,3.7708636227762327e-05,0.00012360181426629424,0.0001079113208106719,0.00017208985809702426,3.7708636227762327e-05,0.00011032790735043818,0.00017208985809702426,4.814076649194376e-05,7.261927112267585e-05,-5.931136183789931e-05,1.3307909284776542e-05
vggss,0,0,tl8ULnKzsww_000030,fpE5br2Fd0o_000030,3uTRC1ipTs0_000090,2ZJ-kpYrje0_000038,N7nB6azh4WI_000230,3.211475632269867e-05,0.00016465556109324098,1.9651261027320288e-05,2.0191657313262112e-05,7.469478441635147e-05,1.9651261027320288e-05,6.979831596254371e-05,0.00016465556109324098,5.9155346457710365e-05,5.014705493522342e-05,-1.246349529537838e-05,3.7683559639845043e-05
vggss,0,0,T2h8qFlPDRY_000260,7yNJNXsAKKs_000020,b1h0Y01QMTo_000019,E2u-PM403CE_000149,qkyywjex5hs_000490,1.147041803051252e-05,5.9537433116929606e-05,2.1653018848155625e-05,1.8957938664243557e-05,3.2921754609560594e-05,1.8957938664243557e-05,3.3267536309722345e-05,5.9537433116929606e-05,1.6045939080387406e-05,1.4309597645478789e-05,7.487520633731037e-06,2.1797118279209826e-05
vggss,0,0,_bwi6VRGtKo_000030,ElkUvB2fK98_000340,lgF5hsIu_KA_000175,sLRfX_WNI4E_000203,fvwQZ20rVgo_000170,9.83427744358778e-05,5.867727304575965e-05,6.96391289238818e-05,9.069211228052154e-05,7.880032353568822e-05,5.867727304575965e-05,7.44522094464628e-05,9.069211228052154e-05,1.1775556279383022e-05,1.5774936400703155e-05,-3.966550139011815e-05,-2.3890564989414997e-05
vggss,0,0,zwlLu-B7uHI_000056,owt6KPFQ4lY_000058,3uTRC1ipTs0_000090,q7ltxGfZ_24_000000,n-CywTkq2yY_000145,7.869436376495287e-05,7.678011752432212e-05,2.1758884031441994e-05,4.5657063310500234e-05,0.0001439249754184857,2.1758884031441994e-05,7.203026007118751e-05,0.0001439249754184857,4.58643870475818e-05,5.027137603974552e-05,-5.6935479733510874e-05,-6.664103693765355e-06
vggss,0,0,nvEigyarmKk_000354,8zldVGDZgCw_000300,T2h8qFlPDRY_000260,N-DrnshEPpo_000037,7MDbadpZoY0_000030,3.074162304983474e-05,7.637774251634255e-05,5.311267887009308e-05,0.00012743637489620596,0.00012839333794545382,5.311267887009308e-05,9.633003355702385e-05,0.00012839333794545382,3.264005830158262e-05,4.3217354686930776e-05,2.2371055820258334e-05,6.558841050718911e-05
