dataset,group,metric,n,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,all,gt_response,250,-0.002982114553451538,-0.0010161995887756348,-0.03166453540325165,0.024734050035476685,0.05639858543872833,-0.00851863483786583,0.0023868236780166564,250
flickr,all,nearfp_response,250,0.011373597600682062,0.007969200611114502,-0.029533743858337402,0.05041113495826721,0.07994487881660461,0.003258367869173467,0.019486769705045558,247
flickr,all,gt_nearfp_gap,250,-0.014333995730288115,-0.009294688701629639,-0.040638625621795654,0.018658950924873352,0.059297576546669006,-0.02018186507015093,-0.008333236214361694,247
flickr,all,gt_vs_nearfp_auroc,250,-0.015199742823588592,-0.0075836181640625,-0.06344819680238378,0.033660888671875,0.09710908547425878,-0.025190876759881856,-0.004549144173440669,247
flickr,all,coverage,250,-0.007721668080452114,-0.0006027068548705161,-0.04633031469335955,0.035731631900368016,0.08206194659372756,-0.017893863627679706,0.0020093783602576137,250
flickr,all,precision,250,-0.010903269346425817,-0.010115009600933589,-0.047338778709381704,0.028221918866613488,0.07556069757599519,-0.01833546210500757,-0.0028675090648898347,250
flickr,all,pred_area_ratio,250,0.0006692442602040796,-0.0005978954081632959,-0.05583844866071433,0.060477120535714274,0.1163155691964286,-0.009829444355867351,0.011613004225127526,250
flickr,all,iou,250,-0.0113505793886308,-0.004807704790425249,-0.049978165742491115,0.035202215464627484,0.0851803812071186,-0.01978741210562718,-0.0027485734909795437,250
flickr,all,Hard_vs_Mean_RemoveFP,250,1144.72,406.0,35.5,1555.75,1520.25,929.9481000000001,1392.7745999999995,250
flickr,all,Hard_vs_Mean_RemoveTP,250,1170.196,556.0,61.5,1576.0,1514.5,977.8298,1370.1227,250
flickr,all,Hard_vs_Mean_AddTP,250,1018.724,468.5,88.25,1525.75,1437.5,864.621,1184.1782999999998,250
flickr,all,Hard_vs_Mean_AddFP,250,1329.772,743.5,164.25,1891.25,1727.0,1113.9189999999999,1564.7508999999995,250
