dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
flickr,10000130166,0,0,4082,242,162
flickr,10007936344,1,1046,66,428,869
flickr,10008553263,2,1399,430,88,711
flickr,10009662863,3,173,98,3126,2225
flickr,10013411946,4,405,261,2231,1928
flickr,10016382545,5,3588,7366,7,787
flickr,10031203703,6,60,0,2937,2494
flickr,10035917404,7,599,0,3213,549
flickr,10045181004,8,762,3230,415,1168
flickr,10060697266,9,430,2214,163,379
flickr,10061269855,10,367,2668,65,0
flickr,10067897816,11,1193,1056,0,2206
flickr,10069511285,12,1686,900,467,11
flickr,10079676496,13,316,24,1083,1037
flickr,10080652613,14,0,0,3039,575
flickr,10106776154,15,217,2429,498,293
flickr,10109936483,16,99,215,309,3761
flickr,10110769444,17,3914,360,443,124
flickr,10111706074,18,0,0,3263,2248
flickr,10119607346,19,2660,1116,902,32
flickr,10119736773,20,13,1154,1202,0
flickr,10129791115,21,0,0,4960,5419
flickr,10129813456,22,0,0,6501,3484
flickr,10163352444,23,0,0,3681,1225
flickr,10165890496,24,0,0,1878,1158
flickr,10173808724,25,0,820,1137,1831
flickr,10202025415,26,354,4291,989,247
flickr,10221582415,27,132,3431,89,3686
flickr,10234680056,28,69,1244,1653,515
flickr,10246013484,29,33,663,3481,1152
flickr,10268129763,30,833,112,740,3852
flickr,10278084464,31,0,1586,252,2328
flickr,10283938426,32,4541,1593,11,745
flickr,10289643764,33,2192,1075,0,0
flickr,10304554474,34,6,435,383,2837
flickr,10308472565,35,3703,394,46,0
flickr,10369815925,36,561,5474,797,20
flickr,10389014583,37,70,1676,99,2192
flickr,10409146004,38,30,322,1125,4032
flickr,10409351364,39,908,3586,5,581
flickr,10413912845,40,700,1545,0,649
flickr,10437048305,41,21,39,5899,1541
flickr,10440265465,42,3197,708,26,331
flickr,10441843213,43,1228,91,524,898
flickr,10446128125,44,11,0,2736,2179
flickr,10451898725,45,17748,13,0,1074
flickr,10468313544,46,3149,1103,11,591
flickr,10476442285,47,509,2,653,1451
flickr,10476446674,48,618,709,3,1
flickr,10477544895,49,354,445,6,1345
flickr,10481128583,50,0,0,2369,3896
flickr,10520382525,51,1358,162,281,329
flickr,10545790805,52,32,560,3020,1180
flickr,10548273474,53,4373,0,242,2595
flickr,10549911663,54,159,606,605,4100
flickr,10555704135,55,95,341,987,1070
flickr,10557361454,56,2162,0,366,788
flickr,10610974774,57,0,137,3107,230
flickr,10624261424,58,529,323,1460,1854
flickr,10635080206,59,2232,1040,0,0
flickr,10654057765,60,90,76,5120,1676
flickr,10659354545,61,78,1265,293,822
flickr,10666396623,62,743,909,1763,158
flickr,10667001125,63,713,0,0,4258
flickr,10701841844,64,3076,2434,0,773
flickr,10743985374,65,715,1918,622,323
flickr,10751849775,66,3625,854,30,19
flickr,10761625676,67,800,831,92,168
flickr,10771238614,68,511,1176,29,49
flickr,10795023275,69,455,0,514,1318
flickr,10796050285,70,107,650,450,3559
flickr,10805310706,71,0,0,1522,11537
flickr,10847897294,72,1789,552,1175,217
flickr,10859255295,73,0,0,2647,978
flickr,10862172945,74,234,957,1371,1149
flickr,10939270325,75,181,562,475,2121
flickr,10952523225,76,1859,2014,23,1103
flickr,10979853044,77,1198,110,104,1856
flickr,10980225216,78,1856,653,58,9
flickr,11002352834,79,645,1033,1261,196
flickr,11036641226,80,4210,156,0,162
flickr,11050409385,81,394,179,2111,4059
flickr,11071986404,82,4699,344,1,143
flickr,11101358996,83,0,0,2215,3461
flickr,11154049584,84,2915,5792,79,123
flickr,11314266424,85,525,178,1527,381
flickr,11650557765,86,1152,167,399,2024
flickr,11764496003,87,1178,100,1144,0
flickr,11765015695,88,98,2216,174,221
flickr,11776645404,89,811,2017,561,521
flickr,12015590114,90,0,17,3086,5163
flickr,12031178616,91,142,721,216,179
flickr,12048726756,92,352,0,92,3190
flickr,12066557153,93,2941,0,0,0
flickr,12103535156,94,33,482,159,790
flickr,12158276143,95,2816,409,478,1511
flickr,12328837165,96,5877,29,2807,555
flickr,12373955905,97,65,963,1274,999
flickr,12444360833,98,0,1115,3075,2789
flickr,12512072175,99,172,36,2048,954
flickr,12534178685,100,0,66,2372,4776
flickr,12598610153,101,237,1127,379,356
flickr,12599965145,102,0,1296,138,408
flickr,12729873904,103,0,51,4786,1825
flickr,13153991894,104,2580,82,0,1538
flickr,13234495505,105,4508,3046,0,0
flickr,13409856383,106,17,1874,0,0
flickr,13447842855,107,4376,1817,150,296
flickr,13579448834,108,2440,150,1681,653
flickr,13660204414,109,697,470,470,567
flickr,13721325644,110,573,2397,35,1196
