dataset,comparison,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,Hard-minus-Mean,gt_response,-0.002982114553451538,-0.0010161995887756348,-0.03166453540325165,0.024734050035476685,0.05639858543872833,-0.008465082478523255,0.0023808670341968516,250
flickr,Hard-minus-Mean,nearfp_response,0.011373597600682062,0.007969200611114502,-0.029533743858337402,0.05041113495826721,0.07994487881660461,0.003574972871223442,0.019589338198243846,247
flickr,Hard-minus-Mean,gt_nearfp_gap,-0.014333995730288115,-0.009294688701629639,-0.040638625621795654,0.018658950924873352,0.059297576546669006,-0.020273296649639425,-0.008448158919449281,247
flickr,Hard-minus-Mean,gt_vs_nearfp_auroc,-0.015199742823588592,-0.0075836181640625,-0.06344819680238378,0.033660888671875,0.09710908547425878,-0.025602482859372822,-0.004421130627545319,247
flickr,Hard-minus-Mean,coverage,-0.007721668080452114,-0.0006027068548705161,-0.04633031469335955,0.035731631900368016,0.08206194659372756,-0.017848341428658352,0.001907055972438334,250
flickr,Hard-minus-Mean,precision,-0.010903269346425817,-0.010115009600933589,-0.047338778709381704,0.028221918866613488,0.07556069757599519,-0.018735264938002122,-0.0031462563265775957,250
flickr,Hard-minus-Mean,pred_area_ratio,0.0006692442602040796,-0.0005978954081632959,-0.05583844866071433,0.060477120535714274,0.1163155691964286,-0.010413697783801022,0.01090676219706631,250
flickr,Hard-minus-Mean,iou,-0.0113505793886308,-0.004807704790425249,-0.049978165742491115,0.035202215464627484,0.0851803812071186,-0.019573610477007834,-0.003100412343841028,250
flickr,Hard-minus-Mean,audio_swap_spearman,-0.0021383924256655165,-0.0018494897959184242,-0.005666454081632605,0.0008641581632653217,0.0065306122448979265,-0.0031315501415659364,-0.001144683512836856,250
flickr,Hard-minus-Mean,audio_map_mae,3.6730822175741196e-06,7.931397703941911e-06,-4.3610652937786654e-05,4.9773814680520445e-05,9.33844676183071e-05,-6.0994794112048115e-06,1.3661911370581931e-05,250
