dataset,model,sample_id,sample_index,readout,iou
flickr,mean_cram,10000130166,0,AUD,0.7151409991871444
flickr,mean_cram,10007936344,1,AUD,0.7576507936507937
flickr,mean_cram,10008553263,2,AUD,0.41325650530333613
flickr,mean_cram,10009662863,3,AUD,0.6193296623633027
flickr,mean_cram,10013411946,4,AUD,0.5944360118710496
flickr,mean_cram,10016382545,5,AUD,0.5971175790164754
flickr,mean_cram,10031203703,6,AUD,0.8630348676708876
flickr,mean_cram,10035917404,7,AUD,0.6234541877459246
flickr,mean_cram,10045181004,8,AUD,0.6356135214266703
flickr,mean_cram,10060697266,9,AUD,0.7904125789096723
flickr,mean_cram,10061269855,10,AUD,0.7049163350150168
flickr,mean_cram,10067897816,11,AUD,0.3271398848405671
flickr,mean_cram,10069511285,12,AUD,0.8027436922652695
flickr,mean_cram,10079676496,13,AUD,0.8373566444783062
flickr,mean_cram,10080652613,14,AUD,0.8127358645358186
flickr,mean_cram,10106776154,15,AUD,0.6427890080884371
flickr,mean_cram,10109936483,16,AUD,0.7255390096839028
flickr,mean_cram,10110769444,17,AUD,0.6148552513139174
flickr,mean_cram,10111706074,18,AUD,0.6186418458311485
flickr,mean_cram,10119607346,19,AUD,0.5101455216232834
flickr,mean_cram,10119736773,20,AUD,0.8652089220554747
flickr,mean_cram,10129791115,21,AUD,0.6714221704453804
flickr,mean_cram,10129813456,22,AUD,0.7688748296343659
flickr,mean_cram,10163352444,23,AUD,0.7925475210339002
flickr,mean_cram,10165890496,24,AUD,0.5239492912008993
flickr,mean_cram,10173808724,25,AUD,0.7654232626024475
flickr,mean_cram,10202025415,26,AUD,0.7751827372218558
flickr,mean_cram,10221582415,27,AUD,0.7036671622917332
flickr,mean_cram,10234680056,28,AUD,0.6540156458169645
flickr,mean_cram,10246013484,29,AUD,0.7235283194057567
flickr,mean_cram,10268129763,30,AUD,0.794212962962963
flickr,mean_cram,10278084464,31,AUD,0.634641651031895
flickr,mean_cram,10283938426,32,AUD,0.4567533838917155
flickr,mean_cram,10289643764,33,AUD,0.6633729523963796
flickr,mean_cram,10304554474,34,AUD,0.6377753701697364
flickr,mean_cram,10308472565,35,AUD,0.6092455458611336
flickr,mean_cram,10369815925,36,AUD,0.8077896758424024
flickr,mean_cram,10389014583,37,AUD,0.6491817037347881
flickr,mean_cram,10409146004,38,AUD,0.5513533419259805
flickr,mean_cram,10409351364,39,AUD,0.8304500842668782
flickr,mean_cram,10413912845,40,AUD,0.37641136428484084
flickr,mean_cram,10437048305,41,AUD,0.6143581221437474
